str_no_string|PRÁZDNÝ STRING!
str_already_to_many_ammobox|Tvůj tým v tomto kole již použil příliš mnoho muničních beden.
str_cannon_is_already_in_use|Toto dělo již někdo obsluhuje.
str_already_to_many_players_class_s21|Příliš mnoho hráčů již hraje jako {s21}. Vyber si jinou jednotku.
str_already_to_many_players_rank_mus|V této jednotce je již příliš mnoho hudebníků. Vyber si někoho jiného.
str_already_to_many_players_rank_srg|Příliš mnoho hráčů v této jednotce hraje jako {s21}. Vyber si někoho jiného.
str_already_to_many_players_rank_off|Příliš mnoho hráčů v této jednotce hraje jako {s21}. Vyber si někoho jiného.
str_chk_class_limits|Povolit omezení tříd
str_chk_class_limits_player_count|Minimum hráčů pro povolení limitu tříd:
str_limit_grenadier|Limit pěší gardy na tým (%):
str_limit_skirmisher|Limit lehké pěchoty na tým (%):
str_limit_rifle|Max. počet střelců lehké pěchoty (%):
str_limit_cavalry|Limit jezdectva  na tým (%):
str_limit_lancer|Max. počet jízdních kopiníků (%):
str_limit_hussar|Max. počet husarů (%):
str_limit_dragoon|Max. počet dragounů (%):
str_limit_cuirassier|Max. počet kyrysníků (%):
str_limit_heavycav|Max. počet neobrněné těžké jízdy (%):
str_limit_artillery|Limit dělostřelectva na tým (%):
str_limit_rocket|Limit raketometčíků na tým (%):
str_limit_sapper|Limit sapérů na tým (%):
str_limit_musician|Limit hudebníků na jednotku (poč.):
str_limit_sergeant|Limit četařů na jednotku (poč.):
str_limit_officer|Limit kapitánů na jednotku (poč.):
str_limit_general|Limit generálů na tým (poč.):
str_build_points_team_1|Stavební body pro první tým:
str_build_points_team_2|Stavební body pro druhý tým:
str_allow_multiple_firearms|Povolit držení více palných zbraní
str_enable_bonuses|Povolit bonusy
str_bonus_strength|Bonusová síla (%):
str_bonus_range|Bonusová vzdálenost v metrech:
str_num_bots_per_squad|Počet botů na četu:
str_scale_squad_size|Upravit velikost čety podle týmu
str_max_num_bots|Max. počet botů:
str_chance_of_falling_off_horse|Riziko pádu z koně po zásahu (%):
str_damage_from_horse_dying|Zranění způsobené jezdci po zabití koně (%):
str_admin_start_map_s0_s1_s2_s5_s6|Hráč {s0} mění mapu na {s1} v režimu {s2} a s národy {s5} a {s6}.
str_admin_set_max_num_players_s0_reg1|Hráč {s0} mění maximální počet hráčů na {reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1|Hráč {s0} mění počet botů pro tým {s1} na {reg1}.
str_admin_set_friendly_fire_s0_s9|Hráč {s0} povoluje střelbu do vlastních řad pro tým {s9}.
str_admin_set_melee_friendly_fire_s0_s9|Hráč {s0} povoluje zranění spolubojovníků pro tým {s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|Hráč {s0} nastavuje zranění vlastní zbraní na {reg1} %.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|Hráč {s0} nastavuje poškození spoluhráčů vlastní palbou na {reg1} %.
str_admin_set_ghost_mode_s0_s1|{s0} nastavuje režim pozorovatele na {s1}.
str_admin_set_control_block_dir_s0_s1|{s0} nastavuje ovládání krytí na {s1}.
str_admin_set_combat_speed_s0_s1|{s0} nastavuje rychlost boje na {s1}.
str_admin_set_respawn_count_s0_s1|{s0} nastavuje počet oživení obránců na {s1}.
str_admin_set_add_to_servers_list_s0_s9|{s0} přidává server do seznamu serverů {s9}.
str_admin_set_respawn_period_s0_reg1|{s0} mění dobu oživení na {reg1} s.
str_admin_set_game_max_minutes_s0_reg1|{s0} mění časový limit mapy na {reg1} min.
str_admin_set_round_max_seconds_s0_reg1|{s0} mění délku kola na {reg1} s.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} nastavuje oživení hráčů jako botů na {s9}.
str_admin_set_game_max_points_s0_reg1|{s0} mění maximální počet bodů na {reg1}.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} mění počet bodů získaných za vlajky na {reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} mění počet bodů získaných za obsazování vlajky na {reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} nastavuje počáteční násobitel zlatých na {reg1} %.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} nastavuje násobitel zlatých za boj na {reg1} %.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} nastavuje násobitel zlatých za kolo na {reg1} %.
str_admin_set_server_name_s1_s0|{s1} mění název serveru na {s0}
str_admin_set_game_password_s1_s0|{s1} nastavuje heslo pro přístup na server na {s0}
str_admin_set_welcome_message_s1|Hráč {s1} změnil uvítací zprávu.
str_admin_set_welcome_message_s1_s0|Hráč {s1} mění uvítací zprávu na {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} nastavuje limit pro platné hlasování na {reg1} %.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} nastavuje limit pro automatické vyrovnání týmů na {s1}.
str_admin_set_num_bots_voteable_s0_reg1|{s0} mění maximální počet botů, o kterém lze hlasovat na {reg1}.
str_admin_set_factions_voteable_s0_s9|{s0} mění hlasování o národech na {s9}.
str_admin_set_maps_voteable_s0_s9|{s0} mění hlasování o mapách na {s9}.
str_admin_set_kick_voteable_s0_s9|{s0} mění hlasování o vyloučení na {s9}.
str_admin_set_ban_voteable_s0_s9|{s0} mění hlasování o zákazu přístupu na server na {s9}.
str_admin_set_allow_player_banners_s0_s9|{s0} nastavuje používání vlastních praporů na {s9}.
str_admin_set_force_default_armor_s0_s9|{s0} nastavuje vynucení základního brnění na {s9}.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} nastavuje zákaz palných zbraní na {s9}.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} nastavuje automatické vyloučení/zákaz za zabití spoluhráčů na {s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} nastavuje počet zabití spoluhráčů před automatickým vyloučením/zákazem na {reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} nastavuje automatické zabití zbloudilých koní na {s9}.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} nastavuje automatické prohození týmů při obléhání a bitvě na {s9}.
str_admin_set_use_class_limits_s0_s9|{s0} nastavuje použití limitů pro třídy na {s9}.
str_admin_set_class_limit_player_count_s0_reg1|{s0} nastavuje minimální počet hráčů nutný pro povolení limitů tříd na {reg1}.
str_admin_set_limit_grenadier_s0_reg1|{s0} nastavuje limit granátníků na {reg1} % týmu.
str_admin_set_limit_skirmisher_s0_reg1|{s0} nastavuje limit lehké pěchoty na {reg1} % týmu.
str_admin_set_limit_rifle_s0_reg1|{s0} nastavuje limit střelců na {reg1} % lehké pěchoty.
str_admin_set_limit_cavalry_s0_reg1|{s0} nastavuje limit jezdců na {reg1} % týmu.
str_admin_set_limit_lancer_s0_reg1|{s0} nastavuje limit kopiníků na {reg1} % jízdy.
str_admin_set_limit_hussar_s0_reg1|{s0} nastavuje limit husarů na {reg1} % jízdy.
str_admin_set_limit_dragoon_s0_reg1|{s0} nastavuje limit dragounů na {reg1} % jízdy.
str_admin_set_limit_cuirassier_s0_reg1|{s0} nasatvuje limit kyrysníků na {reg1} % jízdy.
str_admin_set_limit_heavycav_s0_reg1|{s0} nastavuje limit neobrněné těžké jízdy na {reg1} % jízdy.
str_admin_set_limit_artillery_s0_reg1|{s0} nastavuje limit dělostřelectva na {reg1} % týmu.
str_admin_set_limit_rocket_s0_reg1|{s0} nastavuje limit raketometčíků na {reg1} % týmu.
str_admin_set_limit_sapper_s0_reg1|{s0} nastavuje limit sapérů na {reg1} % týmu.
str_admin_set_limit_musician_s0_reg1|{s0} nastavuje limit hudebníků na {reg1} na jednotku.
str_admin_set_limit_sergeant_s0_reg1|{s0} nastavuje limit četařů na {reg1} na jednotku.
str_admin_set_limit_officer_s0_reg1|{s0} nastavuje limit důstojníků na {reg1} na jednotku.
str_admin_set_limit_general_s0_reg1|{s0} nastavuje limit generálů na {reg1} na národ.
str_admin_set_build_points_team_1_s0_reg1|{s0} nastavuje počet stavebních bodů pro první tým na {reg1}.
str_admin_set_build_points_team_2_s0_reg1|{s0} nastavuje počet stavebních bodů pro druhý tým na {reg1}.
str_admin_set_squad_size_s0_reg1|{s0} nastavuje počet botů na četu na {reg1}.
str_admin_set_scale_squad_size_s0_s9|{s0} nastavuje poměr velikosti čety k týmu na {s9}.
str_admin_set_max_num_bots_s0_reg1|{s0} nastavuje maximální počet botů na {reg1}.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} nastavuje povolení více palných zbraní na {s9}.
str_admin_set_enable_bonuses_s0_s9|{s0} nastavuje používání bonusů na {s9}.
str_admin_set_bonus_strength_s0_reg1|{s0} nastavuje sílu bonusů na {reg1}%.
str_admin_set_bonus_range_s0_reg1|{s0} nastavuje dosah bonusů v metrech na {reg1}.
str_admin_set_fall_off_horse_s0_reg1|{s0} nastavuje riziko pádu z koně po zásahu na {reg1}%.
str_admin_set_horse_dying_s0_reg1|{s0} nastavuje zranění způsobené jezdci po zabití koně na {reg1}%.
str_mute_all|Ztišit všechny hráče
str_unmute_all|Zesílit všechny hráče
str_slay_player|Zabít hráče
str_slay_player_s2_s3|{s2} zabíjí hráče {s3}.
str_slay_all|Zabít všechny
str_slay_all_s2|{s2} zabíjí všechny.
str_freeze_player|Zmrazit hráče
str_freeze_player_s2_s3|{s2} zmrazuje hráče {s3}.
str_freeze_all|Zmrazit všechny
str_freeze_all_s2|{s2} zmrazuje všechny.
str_swap_player|Přemístit hráče
str_swap_player_s2_s3|Hráč {s2} přemístil hráče {s3} do druhého týmu.
str_swap_all|Přemístit všechny
str_swap_all_s2|Hráč {s2} přemístil všechny do druhého týmu.
str_forceautobalance_all|Vynutit automatické vyrovnání
str_forceautobalance_all_s2|Hráč {s2} vynutil automatické vyrovnání týmů.
str_spec_player|Přepnout hráče mezi pozorovatele
str_spec_player_s2_s3|{s2} přepíná hráče {s3} mezi pozorovatele.
str_spec_all|Přepnout všechny
str_spec_all_s2|{s2} přepípá všechny na pozorovatele
str_kick_player_s2_s3|{s2} vylučuje hráče {s3}.
str_ban_player_s2_s3|{s2} zakazuje vstup na server hráči {s3}.
str_ban_player_temp|Zakázat dočasně přístup
str_ban_player_temp_s2_s3|{s2} dočasně zakazuje přístup hráči {s3}.
str_ban_hammer_s2_s3|Nejsvětější {s2} trefuje hráče {s3} Kladivem zhouby. Sbohem!
str_admin_cheats|Cheaty
str_choose_a_cheat_type|Vyber cheat:
str_cheat_spawn_hammer|Seslat Kladivo zhouby
str_cheat_spawn_hammer_s2|{s2} vyvolává Kladivo zhouby.
"str_cheat_spawn_hammer_2_s2|A pozdvihá nejsvětější {s2} posvátné Kladivo zhouby i praví: ""Ó, Pane náš, požehnej tomuto Kladivu zhouby a dopřej nám rozšmelcovat s ním naše nepřátele na hadry."" A Pán se pousmál."
str_cheat_spawn_shotgun|Seslat brokovnici
str_cheat_spawn_shotgun_s2|{s2} vyvolává brokovnici.
str_cheat_spawn_rocketlauncher|Seslat raketomet
str_cheat_spawn_rocketlauncher_s2|{s2} vyvolává raketomet.
str_cheat_spawn_grenade|Seslat ruční granát
str_cheat_spawn_grenade_s2|{s2} vyvolává ruční granát.
"str_cheat_spawn_grenade_2_s2|A pozdvihá nejsvětější {s2} posvátný ruční granát i praví: ""Ó, Pane náš, požehnej tomuto granátu a dopřej nám roztrhat s ním naše nepřátele na maličké kousíčky ve tvém jménu."" A Pán se pousmál."
str_cheat_spawn_horse|Seslat Adminova koně
str_cheat_spawn_horse_s2|{s2} vyvolává adminova koně.
str_cheat_beacon_player|Ozářit hráče
str_cheat_beacon_player_s2_s3|{s2} zapíná majáček nad hráčem {s3}.
str_cheat_heal_player|Uzdravit hráče
str_cheat_heal_player_s2_s3|{s2} uzdravuje hráče {s3}.
str_cheat_heal_all|Uzdravit všechny
str_cheat_heal_all_s2|{s2} uzdravuje všechny.
str_cheat_ammo_player|Doplnit munici
str_cheat_ammo_player_s2_s3|{s2} doplňuje munici hráči {s3}.
str_cheat_ammo_all|Doplnit všem
str_cheat_ammo_all_s2|{s2} doplňuje munici všem hráčům.
str_cheat_tele_to_player|Teleportovat hráče
str_cheat_tele_to_player_s2_s3|{s2} teleportuje hráče {s3}.
str_cheat_tele_bring_player|Přinést hráče
str_cheat_tele_bring_player_s2_s3|{s2} teleportuje hráče {s3} na svou pozici.
str_cheat_tele_wall|Teleportovat skrz zeď
str_cheat_tele_wall_s2|Hráč {s2} teleportován.
str_admin_chat|Chat adminů
str_admin_chat_intern|Interní chat adminů
str_admin_chat_s1_s0|*Admin*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|Povolit automatické vyloučení/zákaz
str_num_max_teamkills_before_kick|Zabití spoluhráčů před vyloučení/zákazem
str_chk_auto_horse|Povolit automatické zabití zbloudilých koní
str_chk_auto_swap|Povolit automatické přeřazení týmů při obléhání a bitvách.
str_reset_map|Resetovat mapu
str_reset_map_s2|{s2} resetuje mapu.
str_console_command|Administrátorský panel
str_player_kicked_cheating_s2|{s2} se vylučuje pro podvádění.
str_next_page|Další strana
str_auto_assign|Automatické přiřazení
str_begin|Spustit
str_game_rules|Pravidla hry:^
str_britain_name|Spojené království
str_france_name|Francouzské císařství
str_prussia_name|Pruské království
str_russia_name|Ruská říše
str_austria_name|Rakouské císařství
str_rhine_name|Rýnský spolek
str_infantry|Pěchota
str_cavalry|Jízda
str_specialists|Specialisté
str_ranker|Vojín
str_equipment|Vybavení:
str_random|Libovolné
str_howitzer|Houfnice
str_cannon|Dělo
str_all_fire_now|Všichni pal!
str_left_fire_now|Pálit vlevo teď!
str_middle_fire_now|Pálit na střed teď!
str_right_fire_now|Pálit vpravo teď!
str_fire_at_my_command|Palte na můj rozkaz
str_use_melee_weapons|Nasadit kontaktní zbraně
str_use_ranged_weapons|Použít palné zbraně
str_melee_weapons|Kontaktní zbraně
str_ranged_weapons|Palné zbraně
str_formation|Formace
str_very_tight|Velmi těsná
str_tight|Těsná
str_loose|Volná
str_very_loose|Velmi volná
str_form_1_row|Utvořit 1 řadu
str_form_reg0_rows|Uspořádat do {reg0} řad
str_confirm_quit_mission|Opravdu si přeješ opustit tuto hru (postup hrou bude ztracen)?
str_no_troop|Volné
str_morning|Ráno
str_noon|Poledne
str_evening|Večer
str_night|Noc
str_timeofday|Denní doba:
str_fog_none|Není
str_fog_light|Mírná
str_fog_medium|Střední
str_fog_thick|Hustá
str_fog_amount|Hustota mlhy:
str_rain_amount|Hustota deště:
str_mm_stakes_construct|Velký ježek
str_mm_stakes2_construct|Dřevěné kůly
str_sandbags_construct|Pytle s pískem
str_chevaux_de_frise_tri_construct|Malý ježek
str_gabion_construct|Zídka
str_fence_construct|Plot
str_plank_construct|Prkna
str_earthwork1_construct|Prostý zákop
str_explosives_construct|Výbušná bedna
str_reg6_build_points|Stavebních bodů: {reg6}
str_reg7_build_points_cost|Cena: {reg7} stavebních bodů
str_repair_prop|Opravit
str_destructible_object|Zničitelný předmět
str_build_prop|Postavit
str_dig_prop|Vykopat
str_undig_prop|Zahrabat
str_construct_deconstruct|Postavit/rozebrat
str_ignite|Zapálit!
str_invalid_flag_selection|Vyber vlajku v držení tvého týmu.
str_invalid_prop_select|Nedostatek stavebních bodů!
str_invalid_prop_place|Tento předmět sem nelze umístit!
str_sail_brit|Námořník, HMS Neptune
str_sail_fren|Námořník, Intrepide
str_select_track|Vybrat skladbu:
str_music_calls|Rozkazy:
str_bagpipe_extras|Další melodie (pouze dudy):
"str_play_together|Povolit možnost ""Hrát společně"
str_drum_britain_1|Britští granátníci
str_drum_britain_2|Dívka, co doma jsem ji zanechal
str_drum_britain_3|Lilliburlero
str_drum_britain_4|Mužové z Harlechu
str_drum_britain_5|Vpřed, Britannie
str_drum_france_1|Aux Champs
str_drum_france_2|La Charge
str_drum_france_3|La Diane ou Rigodon
str_drum_france_4|La Grenadiere
str_drum_france_5|Le Pas Cadence
str_drum_prussia_1|York'scher Marsch
str_drum_prussia_3|Hohenfriedberger Marsch
str_drum_prussia_4|Preussischer Lockmarsch
str_drum_prussia_5|Parademarsch der Spielleute
str_drum_prussia_6|Praesentiermarsch
str_drum_russia_1|Pohod Grenaderskij
str_drum_russia_2|Pohod Lejb Gvardii Izmailovskogo Polka
str_drum_russia_3|Marsh Kolonni Idushej v Ataku
str_drum_russia_4|Pohod Lejb Gvardii Preobrazhenskogo Polka
str_drum_russia_5|Pohod Lejb Gvardii Semenovskogo Polka
str_drum_austria_1|Oestereeichischer Grenadiermarsch
str_drum_austria_2|Coburger Marsch
str_drum_austria_3|Pappenheimer Marsch
str_drum_austria_4|Pariser Einzugsmarsch
str_drum_austria_5|Prinz von Eugen
str_drum_highland_1|All the Blue Bonnets Are O'er the Border
str_drum_highland_2|Bonnie Dundee
str_drum_signal_1|Večerka
str_drum_signal_2|Palbu zastavit
str_drum_signal_3|K bubeníkovi
str_fife_britain_1|Britští granátníci
str_fife_britain_2|Dívka, co doma jsem ji zanechal
str_fife_britain_3|Lilliburlero March
str_fife_britain_4|Mužové z Harlechu
str_fife_britain_5|Vpřed, Britannie
str_fife_france_1|Aux Champs
str_fife_france_2|La Charge
str_fife_france_3|La Diane ou Rigodon
str_fife_france_4|La Grenadiere
str_fife_france_5|Le Pas Cadence
str_fife_prussia_1|York'scher Marsch
str_fife_prussia_2|Hohenfriedberger Marsch
str_fife_prussia_3|Preussischer Lockmarsch
str_fife_prussia_4|Parademarsch der Spielleute
str_fife_prussia_5|Praesentiermarsch
str_fife_russia_1|Pohod Grenaderskij
str_fife_russia_2|Pohod Lejb Gvardii Izmailovskogo Polka
str_fife_russia_3|Marsh Kolonni Idushej v Ataku
str_fife_russia_4|Pohod Lejb Gvardii Preobrazhenskogo Polka
str_fife_russia_5|Pohod Lejb Gvardii Semenovskogo Polka
str_fife_austria_1|Oestereeichischer Grenadiermarsch
str_fife_austria_2|Coburger Marsch
str_fife_austria_3|Pappenheimer Marsch
str_fife_austria_4|Pariser Einzugsmarsch
str_fife_austria_5|Prinz von Eugen
str_bugle_britain_1|Britské boty
str_bugle_britain_2|Britská lehká pěchota
str_bugle_france_1|Dans le Hussards
str_bugle_france_2|La Marche
str_bugle_prussia_1|Althessischer Reitermarsch
str_bugle_prussia_2|Fehrbelliner Reitermarsch
str_bugle_prussia_3|Marsch der Freiwilligen Jaeger
str_bugle_russia_1|Pohod Mushketerskij
str_bugle_russia_2|Pohod Artillerijskij i dlia Saperov
str_bugle_russia_3|Pohod Egerskij
str_bugle_austria_1|Strauch Marsch
str_bugle_austria_2|Frohes Leben Marsch
str_bugle_signal_1|Všichni ke mně
str_bugle_signal_2|Široké řady
str_bugle_signal_3|Sevřít řady
str_bugle_signal_4|Na nepřítele
str_bugle_signal_5|Palbu zahájit
str_bagpipes_britain_1|All the Blue Bonnets Are O'er the Border
str_bagpipes_britain_2|Bonnie Dundee
str_bagpipes_extra_1|Black Bear
str_bagpipes_extra_2|Amazing Grace
str_bagpipes_extra_3|Balmoral
str_bagpipes_extra_4|Bonnie Dundee
str_bagpipes_extra_5|Cock o' the North
str_bagpipes_extra_6|Highland Cathedral
str_bagpipes_extra_7|My Home
str_bagpipes_extra_8|Scotland the Brave
str_bagpipes_extra_9|Skye Boat Song
str_piano_tune_1|Beethoven - Pro Elišku
str_piano_tune_2|Beethoven - Ecossaise
str_piano_tune_3|Erik Satie - Gymnopedie 3
str_piano_tune_4|Beethoven - Laendler
str_piano_tune_5|Lift Motif
str_piano_tune_6|Bach - Předehra
str_piano_tune_7|Wagner - Svatební pochod
str_piano_tune_8|Schubert - Ave Maria
str_organ_tune_1|Bach - Toccata a fuga
str_organ_tune_2|Bach - Toccata a fuga 2
str_organ_tune_3|Bach - Předehra a fuga
str_organ_tune_4|Buxtehude - Předehra
str_organ_tune_5|Tiny Fugue
str_organ_tune_6|Wagner - Svatební pochod
str_organ_tune_7|Bach - Chromatická fuga
str_organ_tune_8|Bach - Chromatická fantasie
str_flag_reg3|Vlajky {reg3}
str_mp_arabian_harbour_flag_1|Hospůdka
str_mp_arabian_harbour_flag_2|Dvorek
str_mp_arabian_harbour_flag_3|Přístav
str_mp_arabian_harbour_flag_4|Maják
str_mp_arabian_harbour_flag_5|Tržiště
str_mp_arabian_village_flag_1|Vinařství
str_mp_arabian_village_flag_2|Zemědělská usedlost
str_mp_arabian_village_flag_3|Opevněné město
str_mp_ardennes_flag_1|Ferme du Fresnois
str_mp_ardennes_flag_2|Ferme de la Grange Dimiere
str_mp_ardennes_flag_3|Strážní věž
str_mp_ardennes_flag_4|Rybářská chatrč
str_mp_ardennes_flag_5|Ferme de Bray
str_mp_ardennes_flag_6|Mrtvý les
str_mp_ardennes_flag_7|Skaliska
str_mp_avignon_flag_1|Tábor
str_mp_avignon_flag_2|Město
str_mp_avignon_flag_3|Mlýn
str_mp_avignon_flag_4|Vesnice
str_mp_borodino_flag_1|Město
str_mp_borodino_flag_2|Vesnice
str_mp_borodino_flag_3|Pevnůstka
str_mp_borodino_flag_4|Mlýn
str_mp_borodino_flag_5|Borodino
str_mp_borodino_flag_6|Velká pevnost
str_mp_borodino_flag_7|Malá pevnost
str_mp_columbia_hill_farm_flag_1|Les
str_mp_columbia_hill_farm_flag_2|Stodola
str_mp_columbia_hill_farm_flag_3|Hospodářství
str_mp_columbia_hill_farm_flag_4|Vinice
str_mp_european_city_flag_1|Kostel
str_mp_european_city_flag_2|Náměstí
str_mp_european_city_flag_3|U Vince
str_mp_european_city_flag_4|Ulice
str_mp_french_farm_flag_1|Les
str_mp_french_farm_flag_2|Pevnůstka
str_mp_french_farm_flag_3|Statek
str_mp_hungarian_plains_flag_1|Tkalcovna
str_mp_hungarian_plains_flag_2|Město
str_mp_hungarian_plains_flag_3|Mlýn
str_mp_hungarian_plains_flag_4|Opuštěný dům
str_mp_hungarian_plains_flag_5|Chatrč
str_mp_hungarian_plains_flag_6|Panství
str_mp_landshut_flag_1|Landshut
str_mp_landshut_flag_2|Cesta na Abensberg
str_mp_landshut_flag_3|Předměstí Landshutu
str_mp_landshut_flag_4|Most
str_mp_landshut_flag_5|Srub
str_mp_landshut_flag_6|Statek
str_mp_landshut_flag_7|Brod
str_mp_russian_village_flag_1|Dřevorubecká osada
str_mp_russian_village_flag_2|Lovecná osada
str_mp_russian_village_flag_3|Ruská vesnice
str_mp_minden_flag_1|Základní tábor
str_mp_minden_flag_2|Minden
str_mp_minden_flag_3|Hahlen
str_mp_minden_flag_4|Statek Netsband
str_mp_minden_flag_5|Stemmer
str_mp_minden_flag_6|Hospoda Todtenhausen
str_mp_minden_flag_7|Kaple Malbergen
str_mp_minden_flag_8|Neuland
str_mp_minden_flag_9|Finter Reie
str_mp_oaksfield_flag_1|Velitelství  1
str_mp_oaksfield_flag_2|Velitelství  2
str_mp_oaksfield_flag_3|Zemědělská usedlost
str_mp_oaksfield_flag_4|Trh
str_mp_oaksfield_flag_5|Oakstown
str_mp_quatre_bras_flag_1|Pireaumont
str_mp_quatre_bras_flag_2|Quatre Bras
str_mp_quatre_bras_flag_3|Bossu Woods
str_mp_quatre_bras_flag_4|Petit Pireaumont
str_mp_quatre_bras_flag_5|Gemioncourt
str_mp_river_crossing_flag_1|Pevnost 1
str_mp_river_crossing_flag_2|Pevnost 2
str_mp_river_crossing_flag_3|Martinice
str_mp_roxburgh_flag_1|Rybářský trh
str_mp_roxburgh_flag_2|Vesnice u řekx
str_mp_roxburgh_flag_3|Sídlo u jezera
str_mp_roxburgh_flag_4|Řemeslnická usedlost
str_mp_roxburgh_flag_5|Middleton
str_mp_roxburgh_flag_6|Svatně
str_mp_roxburgh_flag_7|Dřevorubecký srub
str_mp_schemmerbach_flag_1|Statek u Schmmerbachu
str_mp_schemmerbach_flag_2|Most u Schemmerbachu
str_mp_schemmerbach_flag_3|Brod
str_mp_schemmerbach_flag_4|Konopné pole
str_mp_slovenian_village_flag_1|Cesta ke slovinské vesnici
str_mp_slovenian_village_flag_2|Přístav
str_mp_slovenian_village_flag_3|Slovinská vesnice
str_mp_slovenian_village_flag_4|Les
str_mp_slovenian_village_flag_5|Řeka
str_mp_champs_elysees_flag_1|Západní ulice
str_mp_champs_elysees_flag_2|Východní ulice
str_mp_champs_elysees_flag_3|Jihozápadní čtvrť
str_mp_champs_elysees_flag_4|Jihovýchodní čtvrť
str_mp_champs_elysees_flag_5|Severovýchodní čtvrť
str_mp_champs_elysees_flag_6|Severozápadní čtvrť
str_mp_champs_elysees_flag_7|Arc de Triomphe
str_mp_fort_vincey_flag_1|Pevnost Whittington
str_mp_fort_vincey_flag_2|Pevnůstka
str_mp_fort_vincey_flag_3|Předsunutá pevnůstka
str_mp_fort_vincey_flag_4|Zákop
str_mp_fort_vincey_flag_5|Velká pevnost
str_mp_swamp_flag_1|Tábor
str_mp_swamp_flag_2|Siegburg
str_mp_swamp_flag_3|Most
str_mp_swamp_flag_4|Ostrov v mokřině
str_mp_swamp_flag_5|Hlavní silnice
str_mp_swamp_flag_6|Hřbitov
str_mp_swamp_flag_7|Rybářská chata
str_mp_walloon_farm_flag_1|Východní ležení
str_mp_walloon_farm_flag_2|Západní ležení
str_mp_walloon_farm_flag_3|Východní kopec
str_mp_walloon_farm_flag_4|Statek
str_mp_walloon_farm_flag_5|Západní kopec
str_mp_walloon_farm_flag_6|Pevnůstka
str_scene_making_welcome_message|Vítej v režimu editace hry.^Můžeš zde vytvářet nové scénáře nebo upravovat ty stávající.^^Nastavení rekvizit:^^# Počasí:^spr mm weather time      # var1 = time of day 0-23; Výchozí = 15 (hodin)^spr mm weather rain      # var1 = rain type; 1 = rain 2 = snow, var2 = rain amount 0-25^spr mm weather clouds    # var1 = cloud amount 0-100; Default = 30^spr mm weather fog       # var1 = fog distance in meters x 10 where fog completely blocks visibility. 1-127^spr mm weather thunder   # var1 = thunder type: 0 = none 1 = thunder only 2 = thunder & lighting,^                         # var2 = thunder frequency 0-100 ; the higher value the more thunder.^^# Door props:^All openable doors       # var1 = Team ownership; 1 = Team1 can open, 2 = Team2 can open; else all can open.^^# Cannon setting props:^spr mm spawn with cannon # If added to the map artillery sargeants spawn with the cannon.^
str_tutorial_info_1|U čerta! Tohle je zatracený kafe! Já chtěl ČAAAAJ!!!... Povídám! Ty tam! Vítej v úvodu hry hře Mount&Blade: Napoleonic Wars, drahý příteli!^ Výcvik začni tím, že pomocí kláves ""WASD"" dojdeš na pozici označenou šipkou. Myší se může rozhlížet kolem: Jistě ti tak neunikne žádný Francouz, že ne? Bleee!"
str_tutorial_info_2|Vidíš před sebou ten úžasný britský vynález? Podívej se na mušketu a stiskem klávesy ""F"" ji seber!"
str_tutorial_info_3|Skvělé! Konečne jste ozbrojen, pane! Pojďme společně poškádlit terče, které stojí před námi.^Přidržením levého tlačítka myši mušketu zacílíš. Pohybem myši svou mušku upravíš. Nezapomínej, že muškety jsou poněkud nepředvídatelné. Abychom byli přesnější, jsou příšerně nepřesné. Bleeee!^Jakmile dostaneš cíl na mušku, pusť levé tlačítko myši a zbraň vystřelí!
str_tutorial_info_4|Smůla! Tvoje rána minula cíl. Nabij a zkus to znovu.^ Stiskni levé tlačítko myši a počkej, až bude zbraň nabitá - trvá to několik vteřin, měj proto trpělivost. Pamatuj, že během dobíjení se nemůžeš pohybovat.^Až budeš mít nabito, zkus se trefit znovu. Pokud cíl nezasáhneš, nic si z toho nedělej. Opět nabij a vystřel.
str_tutorial_info_5|Výborně! Jestli chceš, můžeš v nácviku pokračovat.^ Pokud máš dojem, že už ti střelba jde, pokračuj do prostoru vyznačeného šipkou vlevo.
