str_no_string|NO STRING!
str_quick_battle_scene_4|草 原 
str_quick_battle_scene_6|沙 漠 
str_map_basic|地 图 
str_game_type_basic|游 戏 类 型 
str_battle|战 场 
str_character|角 色 
str_player|玩 家 
str_enemy|敌 人 
str_faction|国 家 
str_start|开 始 
str_custom_battle|自 定 义 战 场 
str_plus|+
str_minus|-
str_server_name_s0|服 务 器 名 字 ： {s0}
str_map_name_s0|地 图 名 称 ： {s0}
str_game_type_s0|游 戏 类 型 ： {s0}
str_remaining_time_s0reg0_s1reg1|剩 余 时 间 ： {s0}{reg0}： {s1}{reg1}
str_a_duel_request_is_sent_to_s0|给 您 发 送 决 斗 邀 请 {s0}。 
str_s0_offers_a_duel_with_you|{s0}与 你 决 斗 。 
str_your_duel_with_s0_is_cancelled|你 和 {s0}的 决 斗 被 取 消 。 
str_a_duel_between_you_and_s0_will_start_in_3_seconds|你 和 {s0}的 决 斗 将 在 3秒 钟 后 开 始 。 
str_you_have_lost_a_duel|你 输 掉 了 决 斗 。 
str_you_have_won_a_duel|你 赢 得 了 决 斗 ！ 
str_server_s0|[服 务 器 ]： {s0}
str_disallow_ranged_weapons|禁 止 远 程 武 器 。 
str_ranged_weapons_are_disallowed|不 允 许 远 程 武 器 。 
str_ranged_weapons_are_allowed|允 许 远 程 武 器 。 
str_duel_starts_in_reg0_seconds|决 斗 将 在 {reg0}秒 后 开 始 … … 
str_true|True
str_false|False
str_teamkilled_s1_s2|{s1}误 杀 {s2}。 
str_kick_server_kills_first_s1_reg5|{s1}因 为 {reg5}次 误 杀 后 踢 出 ， 首 次 。 
str_kick_server_kills_second_s1_reg5|{s1}因 为 {reg5}次 误 杀 后 踢 出 ， 第 二 次 。 
str_ban_server_kills_s1_reg5|{s1}因 为 {reg5}次 踢 出 后 被 禁 止 进 入 服 务 器 。 
str_warning_message_first_reg5|你 已 经 误 杀 {reg5}名 玩 家 在 这 张 地 图 中 ， 注 意 ！ 
str_warning_message_second_reg5|你 已 经 误 杀 {reg5}名 玩 家 在 这 张 地 图 中 ， 注 意 ， 下 一 次 会 被 踢 出 ！ 
str_kick_to_message_first|你 现 在 因 为 过 度 误 杀 被 踢 出 ， 注 意 ！ 
str_kick_to_message_second|你 现 在 因 为 过 度 误 杀 被 踢 出 ， 注 意 ！ 下 一 次 就 禁 止 进 入 服 务 器 ！ 
str_ban_to_message|你 已 经 因 为 过 度 误 杀 被 禁 止 进 入 服 务 器 ， 永 别 ！ 
str_auto_kick_message_s1|{s1}过 度 误 杀 被 踢 出 。 
str_auto_ban_message_s1|{s1}过 度 误 杀 被 禁 止 。 
str_server_hq_base_retake_s1|{s1}夺 回 他 们 的 基 地 ！ ！ 
str_server_hq_base_attack_s1|{s1}的 基 地 正 在 遭 受 攻 击 ！ 
str_player_left_server_s1_reg13|{s1}离 开 了 游 戏 ， ID ： {reg13}
str_push_cannon|推 大 炮 
str_fire_cannon|发 射 
str_aim_cannon|瞄 准 
str_unlimber_cannon|卸 下 大 炮 
str_limber_cannon|牵 引 大 炮 
str_load_cartridge|装 填 炮 弹 
str_load_bomb|装 填 臼 炮 炮 弹 
str_load_rocket|装 填 火 箭 弹 
str_reload_cannon|装 填 大 炮 
str_pick_up_round|拿 起 实 心 弹 
str_pick_up_shell|拿 起 榴 弹 
str_pick_up_canister|拿 起 霰 弹 
str_pick_up_bomb|拿 起 臼 炮 炮 弹 
str_pick_up_rocket|拿 起 火 箭 
str_play_piano|演 奏 钢 琴 
str_play_organ|演 奏 风 琴 
str_take_a_shit|使 用 马 桶 
str_play_bell|摇 铃 
str_take_ship_control|操 控 船 只 
str_cannot_use_piano|无 法 在 马 背 上 演 奏 钢 琴 ！ 
str_cannot_use_organ|无 法 在 马 背 上 演 奏 风 琴 ！ 
str_cannot_use_piano_angle|无 法 从 背 面 演 奏 钢 琴 ！ 
str_cannot_use_organ_angle|无 法 从 背 面 演 奏 风 琴 ！ 
str_cannot_use_toilet|无 法 在 马 背 上 使 用 马 桶 ！ 
str_piano_in_use|有 其 他 人 已 经 在 弹 琴 了 ！ 
str_organ_in_use|有 其 他 人 已 经 在 演 奏 风 琴 了 ！ 
str_toilet_in_use|有 其 他 人 已 经 在 使 用 马 桶 了 ！ 
str_cannot_use_cannon|你 不 是 炮 兵 部 队 ， 无 法 操 作 大 炮 ！ 
str_cannot_use_rocket|你 不 是 火 箭 炮 部 队 ， 无 法 操 作 火 箭 炮 ！ 
str_cannon_not_loaded|大 炮 尚 未 装 填 ！ 
str_cannon_already_has_ball|炮 弹 已 经 装 填 完 毕 了 ！ 
str_cannon_already_loaded|大 炮 已 经 装 填 完 毕 了 ！ 
str_cannot_carry_more_cannon_ammo|你 不 能 携 带 更 多 的 炮 弹 了 ！ 
str_cannon_cannot_load_type|这 门 炮 不 能 用 这 种 炮 弹 ！ 
str_need_to_have_a_lighter|你 需 要 点 火 器 来 发 射 大 炮 ！ 
str_need_to_have_a_ramrod|你 需 要 推 弹 杆 来 装 填 大 炮 ！ 
str_need_to_have_a_ball|你 需 要 炮 弹 来 装 填 大 炮 ！ 
str_need_to_have_a_horse|你 需 要 炮 兵 马 来 牵 引 大 炮 ！ 
str_horse_already_has_cannon|这 匹 马 已 经 牵 引 上 大 炮 了 ！ 
str_already_to_many_barricades|你 的 队 伍 这 轮 已 经 建 造 够 多 的 防 御 工 事 了 。 
str_already_to_many_ammobox|你 的 队 伍 这 轮 已 经 刷 出 够 多 的 弹 药 盒 了 。 
str_cannon_is_already_in_use|这 门 大 炮 正 在 被 使 用 中 。 
str_already_to_many_players_class_s21|已 经 有 太 多 的 玩 家 在 选 择 {s21}了 ， 请 选 择 其 他 单 位 。 
str_already_to_many_players_rank_mus|已 经 有 足 够 的 玩 家 在 选 择 乐 手 了 ， 请 选 择 其 他 单 位 。 
str_already_to_many_players_rank_srg|已 经 有 太 多 的 玩 家 选 择 {s21}了 ， 请 选 择 其 他 单 位 。 
str_already_to_many_players_rank_off|已 经 有 太 多 的 玩 家 选 择 {s21}了 ， 请 选 择 其 他 单 位 。 
str_chk_class_limits|启 用 兵 种 限 制 
str_chk_class_limits_player_count|设 定 启 用 兵 种 限 制 的 最 少 玩 家 数 目 ： 
str_limit_grenadier|每 队 近 卫 步 兵 最 大 数 量 百 分 比 (%)： 
str_limit_skirmisher|每 队 轻 步 兵 最 大 数 量 百 分 比 (%)： 
str_limit_rifle|轻 步 兵 中 来 复 枪 兵 最 大 数 量 百 分 比 (%)： 
str_limit_cavalry|每 队 骑 兵 最 大 数 量 百 分 比 (%)： 
str_limit_lancer|骑 兵 中 枪 骑 兵 最 大 数 量 百 分 比 (%)： 
str_limit_hussar|骑 兵 中 骠 骑 兵 最 大 数 量 百 分 比 (%)： 
str_limit_dragoon|骑 兵 中 龙 骑 兵 最 大 数 量 的 百 分 比 (%)： 
str_limit_cuirassier|骑 兵 中 胸 甲 骑 兵 最 大 数 量 百 分 比 (%)
str_limit_heavycav|骑 兵 中 无 甲 重 骑 兵 最 大 数 量 百 分 比 (%)： 
str_limit_artillery|每 队 炮 兵 最 大 数 量 百 分 比 (%)： 
str_limit_rocket|每 队 火 箭 炮 兵 最 大 数 量 百 分 比 (%)： 
str_limit_sapper|每 队 工 兵 最 大 数 量 百 分 比 (%)： 
str_limit_musician|每 个 兵 种 乐 手 最 大 数 量 (nr)： 
str_limit_sergeant|每 个 兵 种 军 士 /旗 手 最 大 数 量 (nr)： 
str_limit_officer|每 个 兵 种 军 官 最 大 数 量 (nr)： 
str_limit_general|每 队 将 军 最 大 数 量 (nr)： 
str_build_points_team_1|1队 的 建 造 点 数 ： 
str_build_points_team_2|2队 的 建 造 点 数 ： 
str_allow_multiple_firearms|允 许 携 带 复 数 的 火 器 
str_enable_bonuses|开 启 加 强 
str_bonus_strength|加 强 力 量 (%)： 
str_bonus_range|加 强 射 程 （ 米 ） ： 
str_num_bots_per_squad|每 小 队 虚 拟 人 数 量 ： 
str_scale_squad_size|调 整 小 队 人 数 以 平 衡 总 人 数 
str_max_num_bots|最 大 虚 拟 人 数 量 : 
str_chance_of_falling_off_horse|中 弹 后 坠 马 几 率 (%)： 
str_damage_from_horse_dying|坠 马 对 骑 手 的 伤 害 (%)： 
str_admin_start_map_s0_s1_s2_s5_s6|{s0}将 地 图 改 为 {s2}模 式 下 的 {s1}， 国 家 为 {s5}和 {s6}。 
str_admin_set_max_num_players_s0_reg1|{s0}将 最 大 玩 家 数 目 设 置 为 {reg1}。 
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0}将 {s1}的 虚 拟 人 数 目 设 置 为 {reg1}。 
str_admin_set_friendly_fire_s0_s9|{s0}将 允 许 远 程 友 军 伤 害 设 置 为 {s9}。 
str_admin_set_melee_friendly_fire_s0_s9|{s0}将 允 许 友 军 伤 害 设 置 为 {s9}。 
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0}将 友 军 伤 害 对 自 身 的 反 弹 率 设 为 为 {reg1}%。 
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{{s0}将 友 军 伤 害 对 友 军 的 反 弹 率 设 为 为 {reg1}%。 
str_admin_set_ghost_mode_s0_s1|{s0}将 幽 灵 模 式 设 定 为 {s1}。 
str_admin_set_control_block_dir_s0_s1|{s0}将 格 挡 方 向 控 制 设 定 为 {s1}。 
str_admin_set_combat_speed_s0_s1|{s0}将 战 斗 速 度 设 定 为 {s1}。 
str_admin_set_respawn_count_s0_s1|{s0}将 防 御 方 最 大 重 生 次 数 设 定 为 {s1}。 
str_admin_set_add_to_servers_list_s0_s9|{s0}将 此 服 务 器 加 入 服 务 器 名 单 设 定 为 {s9}。 
str_admin_set_respawn_period_s0_reg1|{s0}将 重 生 时 间 设 定 为 {s9}。 
str_admin_set_game_max_minutes_s0_reg1|{s0}将 地 图 时 间 限 制 设 定 为 {s9}。 
str_admin_set_round_max_seconds_s0_reg1|{s0}将 每 局 时 间 限 制 设 定 为 {s9}。 
str_admin_set_player_respawn_as_bot_s0_s9|{s0}将 玩 家 死 亡 后 切 换 到 虚 拟 人 设 定 为 {s9}。 
str_admin_set_game_max_points_s0_reg1|{s0}将 游 戏 最 大 分 数 设 定 为 {s9}。 
str_admin_set_point_gained_from_flags_s0_reg1|{s0}将 旗 帜 奖 励 分 数 设 置 为 {reg1}。 
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0}将 夺 旗 奖 励 队 伍 分 数 设 置 为 {reg1}。 
str_admin_set_initial_gold_multiplier_s0_reg1|{s0}将 玩 家 初 始 金 币 设 置 为 {reg1}%。 
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0}将 战 斗 得 到 的 金 币 比 率 设 置 为 {reg1}%。 
str_admin_set_round_earnings_multiplier_s0_reg1|{s0}将 每 轮 额 外 金 币 奖 励 设 置 为 {reg1}%。 
str_admin_set_server_name_s1_s0|{s1}将 服 务 器 名 称 设 置 为 {s0}
str_admin_set_game_password_s1_s0|{s1}将 服 务 器 密 码 设 置 为 {s0}
str_admin_set_welcome_message_s1|{s1}改 变 了 服 务 器 介 绍 
str_admin_set_welcome_message_s1_s0|{s1}将 服 务 器 介 绍 设 置 为 {s0}
str_admin_set_valid_vote_ratio_s0_reg1|{s0}将 投 票 通 过 最 低 百 分 比 设 置 为 {reg1}%。 
str_admin_set_auto_team_balance_limit_s0_s1|{s0}将 自 动 平 衡 队 伍 限 制 设 置 为 {s1}。 
str_admin_set_num_bots_voteable_s0_reg1|{s0}将 允 许 投 票 的 最 大 虚 拟 人 数 量 设 置 为 {reg1}。 
str_admin_set_factions_voteable_s0_s9|{s0}将 允 许 国 家 投 票 设 置 为 {s9}。 
str_admin_set_maps_voteable_s0_s9|{s0}将 允 许 地 图 投 票 设 置 为 {s9}。 
str_admin_set_kick_voteable_s0_s9|{s0}将 允 许 投 票 踢 出 玩 家 设 置 为 {s9}。 
str_admin_set_ban_voteable_s0_s9|{s0}将 允 许 投 票 禁 止 玩 家 设 置 为 {s9}。 
str_admin_set_allow_player_banners_s0_s9|{s0}将 允 许 使 用 个 人 旗 帜 设 置 为 {s9}。 
str_admin_set_force_default_armor_s0_s9|{s0}将 强 制 初 始 防 具 设 置 为 {s9}。 
str_admin_set_disallow_ranged_weapons_s0_s9|{s0}将 禁 止 远 程 武 器 设 置 为 {s9}。 
str_admin_set_mod_variable_auto_kick_s0_s9|{s0}将 自 动 踢 出 队 友 杀 手 设 置 为 {s9}。 
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0}将 误 杀 次 数 临 界 值 设 置 为 {reg1}。 
str_admin_set_mod_variable_auto_horse_s0_s9|{s0}将 自 动 杀 死 无 主 马 匹 设 置 为 {s9}。 
str_admin_set_mod_variable_auto_swap_s0_s9|{s0}将 攻 城 和 战 场 模 式 中 自 动 交 换 队 伍 设 置 为 {s9}。 
str_admin_set_use_class_limits_s0_s9|{s0}将 使 用 兵 种 限 制 设 置 为 {s9}。 
str_admin_set_class_limit_player_count_s0_reg1|{s0}将 兵 种 限 制 所 需 要 的 最 小 玩 家 数 目 设 置 为 {reg1}。 
str_admin_set_limit_grenadier_s0_reg1|{s0}将 近 卫 步 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_skirmisher_s0_reg1|{s0}将 轻 步 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_rifle_s0_reg1|{s0}将 来 复 枪 兵 比 率 设 置 为 轻 步 兵 的 {reg1}%。 
str_admin_set_limit_cavalry_s0_reg1|{s0}将 骑 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_lancer_s0_reg1|{s0}将 枪 骑 兵 比 率 设 置 为 骑 兵 的 {reg1}%。 
str_admin_set_limit_hussar_s0_reg1|{s0}将 轻 骑 兵 比 率 设 置 为 骑 兵 的 {reg1}%。 
str_admin_set_limit_dragoon_s0_reg1|{s0}将 龙 骑 兵 比 率 设 置 为 骑 兵 的 {reg1}%。 
str_admin_set_limit_cuirassier_s0_reg1|{s0}将 胸 甲 骑 兵 比 率 设 置 为 骑 兵 的 {reg1}%。 
str_admin_set_limit_heavycav_s0_reg1|{s0}将 无 甲 重 骑 兵 比 率 设 置 为 骑 兵 的 {reg1}%。 
str_admin_set_limit_artillery_s0_reg1|{s0}将 炮 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_rocket_s0_reg1|{s0}将 火 箭 炮 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_sapper_s0_reg1|{s0}将 工 兵 比 率 设 置 为 队 伍 的 {reg1}%。 
str_admin_set_limit_musician_s0_reg1|{s0}将 每 个 兵 种 军 乐 手 最 大 数 目 设 置 为 {reg1}。 
str_admin_set_limit_sergeant_s0_reg1|{s0}将 每 个 兵 种 军 士 /旗 手 最 大 数 目 设 置 为 {reg1}。 
str_admin_set_limit_officer_s0_reg1|{s0}将 每 个 兵 种 军 官 最 大 数 目 设 置 为 {reg1}。 
str_admin_set_limit_general_s0_reg1|{s0}将 每 队 将 军 最 大 数 目 设 置 为 {reg1}。 
str_admin_set_build_points_team_1_s0_reg1|{s0}将 1队 的 建 造 点 数 设 置 为 {reg1}。 
str_admin_set_build_points_team_2_s0_reg1|{s0}将 2队 的 建 造 点 数 设 置 为 {reg1}。 
str_admin_set_squad_size_s0_reg1|{s0}将 每 小 队 虚 拟 人 数 量 设 置 为 {reg1}。 
str_admin_set_scale_squad_size_s0_s9|{s0}将 自 动 平 衡 小 队 人 数 设 置 为 {s9}。 
str_admin_set_max_num_bots_s0_reg1|{s0}将 最 大 虚 拟 人 数 量 设 置 为 {reg1}。 
str_admin_set_allow_multiple_firearms_s0_s9|{s0}将 允 许 携 带 复 数 火 器 设 置 为 {s9}。 
str_admin_set_enable_bonuses_s0_s9|{s0}将 开 启 加 强 设 置 为 {s9}。 
str_admin_set_bonus_strength_s0_reg1|{s0}将 力 量 加 强 设 为 {reg1}%。 
str_admin_set_bonus_range_s0_reg1|{s0}将 射 程 加 强 设 为 {reg1}米 。 
str_admin_set_fall_off_horse_s0_reg1|{s0}将 坠 马 几 率 设 置 为 {reg1}%。 
str_admin_set_horse_dying_s0_reg1|{s0}将 坠 马 伤 害 设 置 为 {reg1}%。 
str_mute_all|沉 默 所 有 玩 家 
str_unmute_all|取 消 沉 默 所 有 玩 家 
str_slay_player|杀 死 玩 家 
str_slay_player_s2_s3|{s2}杀 死 了 玩 家 {s3}。 
str_slay_all|杀 死 所 有 人 
str_slay_all_s2|{s2}杀 死 了 所 有 人 。 
str_freeze_player|冻 结 玩 家 
str_freeze_player_s2_s3|{s2}冻 结 了 玩 家 {s3}。 
str_freeze_all|冻 结 所 有 人 
str_freeze_all_s2|{s2}冻 结 了 所 有 人 。 
str_swap_player|交 换 玩 家 
str_swap_player_s2_s3|{s2}把 玩 家 {s3} 换 到 对 面 的 阵 营 。 
str_swap_all|交 换 所 有 人 
str_swap_all_s2|{s2}把 所 有 人 换 到 对 面 的 阵 营 。 
str_forceautobalance_all|自 动 平 衡 
str_forceautobalance_all_s2|{s2}设 置 了 队 伍 强 制 自 动 平 衡 。 
str_spec_player|把 玩 家 移 到 旁 观 席 
str_spec_player_s2_s3|{s2}把 玩 家 {s3}移 到 了 旁 观 席 。 
str_spec_all|把 所 有 人 移 到 旁 观 席 
str_spec_all_s2|{s2}把 所 有 人 移 到 了 旁 观 席 
str_kick_player_s2_s3|{s2}踢 出 了 玩 家 {s3}。 
str_ban_player_s2_s3|{s2}永 久 禁 止 了 玩 家 {s3}。 
str_ban_player_temp|暂 时 禁 止 玩 家 
str_ban_player_temp_s2_s3|{s2}暂 时 禁 止 了 玩 家 {s3}。 
str_ban_hammer_s2_s3|{s2}把 禁 止 王 锤 砸 到 了 {s3}的 脸 上 ， 永 别 了 ！ 
str_admin_cheats|作 弊 
str_choose_a_cheat_type|选 择 一 种 作 弊 类 型 ： 
str_cheat_spawn_hammer|制 造 禁 止 王 锤 
str_cheat_spawn_hammer_s2|{s2}制 造 了 一 个 禁 止 王 锤 。 
str_cheat_spawn_hammer_2_s2|然 后 圣 {s2}高 高 举 起 那 神 圣 禁 锤 ， 说 道 ： “ 主 啊 ， 祝 福 您 这 神 圣 禁 锤 ， 在 您 的 仁 慈 下 ， 有 了 它 您 能 将 您 的 敌 人 砸 成 粉 末 。 ” 接 着 上 帝 嘴 角 露 出 了 微 笑 。 
str_cheat_spawn_shotgun|制 造 霰 弹 枪 
str_cheat_spawn_shotgun_s2|{s2}制 造 了 一 把 霰 弹 枪 。 
str_cheat_spawn_rocketlauncher|制 造 火 箭 发 射 器 
str_cheat_spawn_rocketlauncher_s2|{s2}制 造 了 一 把 火 箭 发 射 器 。 
str_cheat_spawn_grenade|制 造 圣 手 榴 弹 
str_cheat_spawn_grenade_s2|{s2}制 造 了 一 个 圣 手 榴 弹 。 
str_cheat_spawn_grenade_2_s2|然 后 圣 {s2}高 高 举 起 那 神 圣 手 雷 ， 说 道 ： “ 主 啊 ， 祝 福 您 这 神 圣 手 雷 ， 在 您 的 仁 慈 下 ， 有 了 它 您 能 将 您 的 敌 人 炸 成 粉 末 。 ” 接 着 上 帝 嘴 角 露 出 了 微 笑 。 
str_cheat_spawn_horse|制 造 管 理 员 之 马 
str_cheat_spawn_horse_s2|{s2}制 造 了 一 匹 管 理 员 之 马 。 
str_cheat_beacon_player|标 记 玩 家 
str_cheat_beacon_player_s2_s3|{s2}标 记 了 玩 家 {s3}。 
str_cheat_heal_player|医 治 玩 家 
str_cheat_heal_player_s2_s3|{s2}医 治 了 玩 家 {s3}。 
str_cheat_heal_all|医 治 所 有 人 
str_cheat_heal_all_s2|{s2}医 治 了 所 有 人 。 
str_cheat_ammo_player|补 充 玩 家 弹 药 
str_cheat_ammo_player_s2_s3|{s2}补 充 了 玩 家 {s3}的 弹 药 
str_cheat_ammo_all|补 充 所 有 人 弹 药 
str_cheat_ammo_all_s2|{s2}补 充 了 所 有 人 的 弹 药 。 
str_cheat_tele_to_player|传 送 到 玩 家 
str_cheat_tele_to_player_s2_s3|{s2}传 送 自 己 到 玩 家 {s3}。 
str_cheat_tele_bring_player|召 唤 玩 家 
str_cheat_tele_bring_player_s2_s3|{s2}把 玩 家 {s3}传 送 到 自 己 跟 前 。 
str_cheat_tele_wall|瞬 移 穿 墙 
str_cheat_tele_wall_s2|{s2}使 用 了 瞬 移 。 
str_admin_chat|管 理 员 发 言 
str_admin_chat_intern|管 理 员 私 聊 
str_admin_chat_s1_s0|*管 理 员 *[{s1}]： {s0}
str_inter_admin_chat_s1_s0|[{s1}]： {s0}
str_chk_auto_kick|启 用 自 动 踢 出 /禁 止 
str_num_max_teamkills_before_kick|自 动 踢 出 /禁 止 临 界 值 ： 
str_chk_auto_horse|启 用 自 动 杀 死 无 主 马 
str_chk_auto_swap|启 用 攻 城 和 战 场 模 式 自 动 交 换 团 队 
str_reset_map|重 置 地 图 
str_reset_map_s2|{s2}重 置 了 地 图 。 
str_console_command|管 理 员 控 制 台 
str_player_kicked_cheating_s2|{s2}由 于 作 弊 被 踢 出 了 服 务 器 。 
str_next_page|下 一 页 
str_auto_assign|自 动 选 择 
str_begin|开 始 
str_game_rules|游 戏 规 则 ： ^
str_britain_name|联 合 王 国 
str_france_name|法 兰 西 帝 国 
str_prussia_name|普 鲁 士 王 国 
str_russia_name|俄 罗 斯 帝 国 
str_austria_name|奥 地 利 帝 国 
str_rhine_name|莱 茵 邦 联 
str_infantry|步 兵 
str_cavalry|骑 兵 
str_specialists|专 业 兵 
str_ranker|士 兵 
str_equipment|装 备 
str_random|随 机 
str_howitzer|榴 弹 炮 
str_cannon|加 农 炮 
str_all_fire_now|全 体 开 火 ！ 
str_left_fire_now|左 翼 开 火 ！ 
str_middle_fire_now|中 间 开 火 ！ 
str_right_fire_now|右 翼 开 火 ！ 
str_fire_at_my_command|听 命 开 火 ！ 
str_use_melee_weapons|使 用 近 战 武 器 
str_use_ranged_weapons|使 用 远 程 武 器 
str_melee_weapons|近 战 武 器 
str_ranged_weapons|远 程 武 器 
str_formation|队 形 
str_very_tight|非 常 密 集 
str_tight|密 集 
str_loose|松 散 
str_very_loose|非 常 松 散 
str_form_1_row|列 成 1排 
str_form_reg0_rows|列 成 {reg0}排 
str_confirm_quit_mission|你 真 的 要 退 出 当 前 的 任 务 （ 任 务 进 度 将 丢 失 ） ？ 
str_no_troop|空 缺 
str_morning|早 晨 
str_noon|中 午 
str_evening|傍 晚 
str_night|夜 晚 
str_timeofday|时 间 ： 
str_fog_none|无 
str_fog_light|弱 
str_fog_medium|中 
str_fog_thick|厚 
str_fog_amount|雾 量 ： 
str_rain_amount|雨 量 ： 
str_mm_stakes_construct|大 型 拒 马 
str_mm_stakes2_construct|木 桩 
str_sandbags_construct|沙 袋 
str_chevaux_de_frise_tri_construct|小 型 拒 马 
str_gabion_construct|土 筐 
str_fence_construct|栅 栏 
str_plank_construct|木 板 
str_earthwork1_construct|简 易 土 垒 
str_explosives_construct|炸 药 箱 
str_reg6_build_points|现 有 建 造 点 数 ： {reg6}
str_reg7_build_points_cost|需 要 ： {reg7}建 造 点 数 
str_repair_prop|修 复 
str_destructible_object|可 摧 毁 物 品 
str_build_prop|建 造 物 品 
str_dig_prop|挖 （ 按 X填 ） 
str_undig_prop|填 （ 按 X挖 ） 
str_construct_deconstruct|建 造 /拆 毁 
str_ignite|点 燃 ！ 
str_invalid_flag_selection|选 择 一 个 你 的 队 伍 控 制 的 旗 帜 。 
str_invalid_prop_select|没 有 足 够 的 建 造 点 数 ！ 
str_invalid_prop_place|你 不 能 将 该 物 品 架 置 在 这 里 ！ 
str_sail_brit|海 王 星 号 水 手 
str_sail_fren|无 畏 号 水 手 
str_select_track|选 择 曲 目 ： 
str_music_calls|命 令 ： 
str_bagpipe_extras|附 加 曲 目 （ 风 笛 独 有 ） ： 
str_play_together|允 许 “ 一 起 演 奏 ” 
str_drum_britain_1|不 列 颠 掷 弹 兵 
str_drum_britain_2|我 留 在 身 后 的 女 孩 
str_drum_britain_3|利 利 布 勒 罗 
str_drum_britain_4|哈 勒 赫 勇 士 
str_drum_britain_5|统 治 吧 ！ 不 列 颠 尼 亚 ！ 
str_drum_france_1|在 战 场 上 
str_drum_france_2|冲 锋 
str_drum_france_3|利 戈 顿 起 床 鼓 
str_drum_france_4|掷 弹 兵 
str_drum_france_5|放 慢 脚 步 
str_drum_prussia_1|约 克 军 团 进 行 曲 
str_drum_prussia_3|霍 亨 弗 里 德 伯 格 进 行 曲 
str_drum_prussia_4|普 鲁 士 洛 克 进 行 曲 
str_drum_prussia_5|军 乐 队 游 行 进 行 曲 
str_drum_prussia_6|军 礼 进 行 曲 
str_drum_russia_1|掷 弹 兵 进 行 曲 
str_drum_russia_2|伊 兹 迈 洛 夫 斯 基 近 卫 团 进 行 曲 
str_drum_russia_3|纵 队 冲 锋 进 行 曲 
str_drum_russia_4|普 列 奥 布 拉 仁 斯 基 近 卫 团 进 行 曲 
str_drum_russia_5|谢 苗 诺 夫 斯 基 近 卫 团 进 行 曲 
str_drum_austria_1|奥 地 利 掷 弹 兵 进 行 曲 
str_drum_austria_2|科 堡 进 行 曲 
str_drum_austria_3|帕 朋 海 默 进 行 曲 
str_drum_austria_4|巴 黎 入 城 进 行 曲 
str_drum_austria_5|欧 根 亲 王 
str_drum_highland_1|所 有 的 蓝 帽 都 已 越 过 边 境 
str_drum_highland_2|美 丽 的 邓 迪 
str_drum_signal_1|宿 营 ， 熄 灯 
str_drum_signal_2|停 火 
str_drum_signal_3|鼓 手 鸣 鼓 
str_fife_britain_1|不 列 颠 掷 弹 兵 
str_fife_britain_2|我 留 在 身 后 的 女 孩 
str_fife_britain_3|利 利 布 勒 罗 
str_fife_britain_4|哈 勒 赫 勇 士 
str_fife_britain_5|统 治 吧 ！ 不 列 颠 尼 亚 ！ 
str_fife_france_1|在 战 场 上 
str_fife_france_2|冲 锋 
str_fife_france_3|利 戈 顿 起 床 鼓 
str_fife_france_4|掷 弹 兵 
str_fife_france_5|放 慢 脚 步 
str_fife_prussia_1|约 克 军 团 进 行 曲 
str_fife_prussia_2|霍 亨 弗 里 德 伯 格 进 行 曲 
str_fife_prussia_3|普 鲁 士 洛 克 进 行 曲 
str_fife_prussia_4|军 乐 队 游 行 进 行 曲 
str_fife_prussia_5|军 礼 进 行 曲 
str_fife_russia_1|掷 弹 兵 进 行 曲 
str_fife_russia_2|伊 兹 迈 洛 夫 斯 基 近 卫 团 进 行 曲 
str_fife_russia_3|纵 队 冲 锋 进 行 曲 
str_fife_russia_4|普 列 奥 布 拉 仁 斯 基 近 卫 团 进 行 曲 
str_fife_russia_5|谢 苗 诺 夫 斯 基 近 卫 团 进 行 曲 
str_fife_austria_1|奥 地 利 掷 弹 兵 进 行 曲 
str_fife_austria_2|科 堡 进 行 曲 
str_fife_austria_3|帕 朋 海 默 进 行 曲 
str_fife_austria_4|巴 黎 入 城 进 行 曲 
str_fife_austria_5|欧 根 亲 王 
str_bugle_britain_1|不 列 颠 的 靴 子 
str_bugle_britain_2|不 列 颠 轻 步 兵 
str_bugle_france_1|在 骠 骑 兵 之 中 
str_bugle_france_2|进 军 
str_bugle_prussia_1|旧 黑 森 骑 兵 进 行 曲 
str_bugle_prussia_2|费 尔 贝 林 骑 兵 进 行 曲 
str_bugle_prussia_3|志 愿 猎 兵 进 行 曲 
str_bugle_russia_1|火 枪 兵 进 行 曲 
str_bugle_russia_2|炮 兵 工 兵 进 行 曲 
str_bugle_russia_3|猎 兵 进 行 曲 
str_bugle_austria_1|灌 木 进 行 曲 
str_bugle_austria_2|幸 福 生 活 进 行 曲 
str_bugle_signal_1|大 家 集 合 
str_bugle_signal_2|拉 长 阵 线 
str_bugle_signal_3|合 拢 队 列 
