str_no_string|스트링 없음!
str_poll_for_changing_the_map|맵 변경
str_poll_for_changing_the_map_and_factions|맵과 국가 변경
str_poll_for_changing_number_of_bots|해당 팀의 봇 숫자 변경
str_poll_for_kicking_a_player|플레이어 추방
str_poll_for_banning_a_player|플레이어 밴
str_choose_a_player|플레이어 선택:
str_choose_a_map|맵 선택:
str_choose_a_faction_for_team_reg0|{reg0} 의 국가 선택:
str_choose_number_of_bots_for_team_reg0|{reg0} 의 봇 숫자 선택:
str_spectator|관전자
str_spectators|관전자
str_score_2|점수
str_command|지휘:
str_profile_banner_selection_text|프로필에 사용할 배너 선택:
str_use_default_banner|해당 국가 배너 사용
str_player_name_s1|- {s1}
str_space|" "
str_us_|"아군 "
str_allies_|"동맹 "
str_enemies_|"적군 "
str_routed|도주함
str_maximum_seconds_for_round_is_reg0|라운드 최대 시간: {reg0} 초
str_respawn_period_is_reg0_seconds|리스폰 주기: {reg0} 초
str_bots_upper_limit_for_votes_is_reg0|투표 가능 최대 봇 숫자: {reg0}.
str_map_is_voteable|맵 투표 가능.
str_map_is_not_voteable|맵 투표 불가능.
str_factions_are_voteable|국가 변경 투표 가능.
str_factions_are_not_voteable|국가 변경 투표 불가능.
str_players_respawn_as_bot|플레이어가 봇으로 리스폰 가능.
str_players_do_not_respawn_as_bot|플레이어가 봇으로 리스폰 불가능.
str_kicking_a_player_is_voteable|플레이어 추방 투표 가능.
str_kicking_a_player_is_not_voteable|플레이어 추방 투표 불가능.
str_banning_a_player_is_voteable|플레이어 밴 투표 가능.
str_banning_a_player_is_not_voteable|플레이어 밴 투표 불가능.
str_player_banners_are_allowed|플레이어 임의 배너 사용 가능.
str_player_banners_are_not_allowed|플레이어 임의 배너 사용 불가능.
str_default_armor_is_forced|기본 방어구 강제 적용됨.
str_default_armor_is_not_forced|기본 방어구 강제 적용되지 않음.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|투표가 통과되기 위한 최소 찬성표 비율: {reg0}%
str_auto_team_balance_threshold_is_reg0|팀 인원 균형 초과 허용치: {reg0}.
str_starting_gold_ratio_is_reg0|기본 지급 골드: {reg0}%
str_combat_gold_bonus_ratio_is_reg0|전투 골드 보너스: {reg0}%
str_round_gold_bonus_ratio_is_reg0|라운드 골드 보너스: {reg0}%
str_point_gained_from_flags_is_reg0|깃발 획득 시 얻는 포인트: {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|거점 점령 시 얻는 포인트: {reg0}%
str_map_time_limit_is_reg0|맵 제한 시간: {reg0} 분
str_team_points_limit_is_reg0|팀 포인트 제한: {reg0}.
str_defender_spawn_count_limit_is_s1|방어측 목숨: {s1} 개.
str_system_error|시스템 에러!
str_routed_2|도주함
str_s42|{s42}
str_you|당신
str_we|저희
str_quick_battle_french_farm|프랑스 농장
str_quick_battle_landshut|란츠후트
str_quick_battle_river_crossing|강가
str_quick_battle_spanish_village|스페인 마을
str_quick_battle_strangefields|낯선 들판
str_quick_battle_scene_1|언덕
str_quick_battle_scene_2|눈덮인 평원
str_quick_battle_scene_3|산림
str_quick_battle_scene_4|스텝
str_quick_battle_scene_6|사막
str_map_basic|맵
str_game_type_basic|게임 유형
str_battle|일반 전투
str_character|캐릭터
str_player|플레이어
str_enemy|적군
str_faction|국가
str_start|시작
str_custom_battle|커스텀 전투
str_plus|+
str_minus|-
str_server_name_s0|서버명: {s0}
str_map_name_s0|맵 이름: {s0}
str_game_type_s0|게임 유형: {s0}
str_remaining_time_s0reg0_s1reg1|남은 시간: {s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0|{s0} 에게 결투 신청을 보냈습니다.
str_s0_offers_a_duel_with_you|{s0} 의 결투 제의가 들어옴.
str_your_duel_with_s0_is_cancelled|당신과 {s0} 의 결투가 취소되었습니다.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|당신과 {s0} 의 결투가 3초 내로 시작합니다.
str_you_have_lost_a_duel|당신이 결투에서 졌습니다.
str_you_have_won_a_duel|당신이 결투에서 이겼습니다!
str_server_s0|[SERVER]: {s0}
str_disallow_ranged_weapons|원거리 무기 사용 금지
str_ranged_weapons_are_disallowed|원거리 무기 사용 금지됨.
str_ranged_weapons_are_allowed|원거리 무기 사용 허용됨.
str_duel_starts_in_reg0_seconds|결투가 {reg0} 초 내로 시작됩니다...
str_true|가능
str_false|불가능
str_teamkilled_s1_s2|{s1} 의 아군 공격으로 {s2} 사망.
str_kick_server_kills_first_s1_reg5|"{s1} 의 팀킬 횟수가 {reg5} 회에 도달하여 자동으로 추방됨,1회."
str_kick_server_kills_second_s1_reg5|"{s1} 의 팀킬 횟수가 {reg5} 회에 도달하여 자동으로 추방됨,2회."
str_ban_server_kills_s1_reg5|{s1} 의 팀킬 횟수가 {reg5} 회를 초과하여 자동 밴 조치됨.
str_warning_message_first_reg5|"당신은 이 맵에서 이미 {reg5} 아군 플레이어를 죽였습니다,주의하십시오!"
str_warning_message_second_reg5|"당신은 이 맵에서 이미 {reg5} 아군 플레이어를 죽였습니다,주의하십시오,한번 더 하면 추방됩니다!"
str_kick_to_message_first|"당신은 이제 과도한 아군 사살로 추방됩니다,주의하십시오!"
str_kick_to_message_second|"당신은 이제 과도한 아군 사살로 추방됩니다,주의하십시오! 다음에는 밴 조치됩니다!"
str_ban_to_message|"당신은 이제 과도한 아군 사살로 밴 조치됩니다,안녕히 가십시오!"
str_auto_kick_message_s1|{s1} 의 팀킬 횟수가 너무 많아 자동 추방됨.
str_auto_ban_message_s1|{s1} 의 팀킬 횟수가 너무 많아 자동 밴 조치됨.
str_server_hq_base_retake_s1|{s1} 의 본진 재탈환이 시작되었습니다!!
str_server_hq_base_attack_s1|{s1} 의 본진이 공격받고 있습니다!!
str_player_left_server_s1_reg13|"{s1} 의 서버 퇴장,ID: {reg13}"
str_push_cannon|대포 밀기
str_fire_cannon|대포 발사
str_aim_cannon|조종 개시
str_unlimber_cannon|포차견인대 결속 해제
str_limber_cannon|포차견인대 결속
str_load_cartridge|탄약 투입
str_load_bomb|박격포탄 투입
str_load_rocket|로켓 투입
str_reload_cannon|대포 재장전
str_pick_up_round|통상탄 집어들기
str_pick_up_shell|포탄 집어들기 (작렬탄)
str_pick_up_canister|산탄 집어들기
str_pick_up_bomb|박격포탄 집어들기
str_pick_up_rocket|로켓 발사기 집어들기
str_play_piano|피아노 연주
str_play_organ|오르간 연주
str_take_a_shit|변기 사용
str_play_bell|타종
str_take_ship_control|선박 조종
str_cannot_use_piano|말을 타면서 피아노를 칠 수 없습니다!
str_cannot_use_organ|말에 탄 상태로 오르간을 연주할 수 없습니다!
str_cannot_use_piano_angle|피아노를 뒤에서 연주할 수 없습니다.
str_cannot_use_organ_angle|오르간을 뒤에서 연주할 수 없습니다.
str_cannot_use_toilet|말에 탄 상태로 변기를 사용할 수 없습니다!
str_piano_in_use|이미 누군가가 피아노를 연주하고 있습니다!
str_organ_in_use|이미 누군가가 오르간을 연주하고 있습니다!
str_toilet_in_use|이미 누군가가 변기를 사용하고 있습니다!
str_cannot_use_cannon|당신은 포병대가 아니므로 대포를 사용할 수 없습니다!
str_cannot_use_rocket|당신은 로켓 사수가 아니므로 로켓을 사용할 수 없습니다!
str_cannon_not_loaded|대포 약실이 비어있음!
str_cannon_already_has_ball|대포 약실에 탄환이 이미 있음!
str_cannon_already_loaded|이 대포는 이미 장전되어 있습니다!
str_cannot_carry_more_cannon_ammo|포탄을 2개 이상 들 수 없습니다!
str_cannon_cannot_load_type|이 대포는 해당 탄약을 장전할 수 없습니다
str_need_to_have_a_lighter|대포를 발사하려면 점화 막대가 필요합니다!
str_need_to_have_a_ramrod|대포를 장전하려면 꽂을대가 필요합니다!
str_need_to_have_a_ball|대포를 장전하려면 탄약이 필요합니다!
str_need_to_have_a_horse|대포를 연결하기 위해선 포차견인대가 필요합니다!
str_horse_already_has_cannon|이 포차견인대는 이미 대포와 연결되어 있습니다!
str_already_to_many_barricades|이번 라운드에 설치된 방어물이 너무 많습니다.
str_already_to_many_ammobox|이번 라운드에 설치된 탄약 상자가 너무 많습니다.
str_cannon_is_already_in_use|이 대포는 이미 누군가가 사용하고 있습니다.
str_already_to_many_players_class_s21|이미 너무 많은 플레이어가 {s21} 병종을 선택했습니다. 다른 병종을 선택하십시오.
str_already_to_many_players_rank_mus|이미 너무 많은 플레이어가 군악병을 선택했습니다. 다른 병종을 선택하십시오.
str_already_to_many_players_rank_srg|이미 너무 많은 플레이어가 {s21} 병종을 선택했습니다. 다른 병종을 선택하십시오.
str_already_to_many_players_rank_off|이미 너무 많은 플레이어가 {s21} 병종을 선택했습니다. 다른 병종을 선택하십시오.
str_chk_class_limits|병종 제한 적용
str_chk_class_limits_player_count|병종 제한을 적용시키기 위해 필요한 최소 플레이어 수:
str_limit_grenadier|근위보병 인원 제한 (%):
str_limit_skirmisher|경보병 인원 제한 (%):
str_limit_rifle|소총병 및 경보병 제한(%):
str_limit_cavalry|기병 인원 제한 (%):
str_limit_lancer|기병 중 창기병 인원 제한 (%):
str_limit_hussar|기병 중 경기병 인원 제한 (%):
str_limit_dragoon|기병 중 용기병 인원 제한 (%):
str_limit_cuirassier|기병 중 흉갑기병 인원 제한 (%):
str_limit_heavycav|기병 중 일반 중기병 인원 제한 (%):
str_limit_artillery|포병 인원수 제한 (%):
str_limit_rocket|로켓 사수 인원 제한 (%):
str_limit_sapper|공병 인원수 제한 (%):
str_limit_musician|군악병 인원 제한 (명):
str_limit_sergeant|부대열 군의관 인원수 제한 (명):
str_limit_officer|부대별 장교 인원수 제한 (명):
str_limit_general|장성 인원 제한 (명):
str_build_points_team_1|1번 팀 빌드 포인트:
str_build_points_team_2|2번 팀 빌드 포인트:
str_allow_multiple_firearms|여러개의 총기 사용 허용
str_enable_bonuses|보너스 활성화
str_bonus_strength|보너스 적용치 (%):
str_bonus_range|보너스 적용 거리(미터):
str_num_bots_per_squad|부대별 봇 숫자:
str_scale_squad_size|팀 균형에 알맞게 봇 숫자를 조정
str_max_num_bots|최대 봇 숫자 제한:
str_chance_of_falling_off_horse|피격시 낙마 확률 (%):
str_damage_from_horse_dying|말이 죽었을 때 탑승자가 입는 피해량(%):
str_admin_start_map_s0_s1_s2_s5_s6|"{s0} 에 의해 맵: {s1},게임 모드: {s2},국가: {s5} vs {s6} 으로 변경됨."
str_admin_set_max_num_players_s0_reg1|{s0} 에 의해 최대 플레이어 숫자가 {reg1} 명으로 변경됨.
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0} 에 의해 {s1} 의 봇 숫자가 {reg1} 명으로 변경됨.
str_admin_set_friendly_fire_s0_s9|{s0} 에 의해 아군 원거리 공격이 {s9} 으로 변경됨.
str_admin_set_melee_friendly_fire_s0_s9|{s0} 에 의해 아군 근접 공격이 {s9} 으로 변경됨.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0} 에 의해 아군 사격시 자신이 입는 데미지가 {reg1} %로 변경됨.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{s0} 에 의해 아군 사격시 상대방이 받는 데미지가 {reg1} %로 변경됨.
str_admin_set_ghost_mode_s0_s1|{s0} 에 의해 {s1} 의 유령 모드 발동.
str_admin_set_control_block_dir_s0_s1|{s0} 에 의해 방어 방향 조작이 {s1} 으로 변경됨.
str_admin_set_combat_speed_s0_s1|{s0} 에 의해 전투 속도가 {s1} 으로 변경됨.
str_admin_set_respawn_count_s0_s1|{s0} 에 의해 방어팀 부활 횟수 제한이 {s1} 회로 변경됨.
str_admin_set_add_to_servers_list_s0_s9|{s0} 에 의해 공식 서버 목록 등재여부가 {s9} 으로 변경됨.
str_admin_set_respawn_period_s0_reg1|{s0} 에 의해 부활 주기가 {reg1} 초로 변경됨.
str_admin_set_game_max_minutes_s0_reg1|{s0} 에 의해 맵 제한 시간이 {reg1} 분으로 변경됨.
str_admin_set_round_max_seconds_s0_reg1|{s0} 에 의해 라운드 제한 시간이 {reg1} 초로 변경됨.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} 에 의해 봇으로의 부활 여부가 {s9} 으로 변경됨.
str_admin_set_game_max_points_s0_reg1|{s0} 에 의해 게임 최대 점수가 {reg1} 점으로 변경됨.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} 에 의해 깃발 점령시 획득 점수가 {reg1} 점으로 변경됨.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} 에 의해 거점 점령 시 획득 점수가 {reg1} 점으로 변경됨.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} 에 의해 초기 골드값이 {reg1} %으로 변경됨.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} 에 의해 전투 골드 보너스가 {reg1} % 로 변경됨.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} 에 의해 라운드 골드 보너스 값이 {reg1} % 으로 변경됨.
str_admin_set_server_name_s1_s0|{s1} 에 의해 서버 이름이 {s0} (으)로 변경됨
str_admin_set_game_password_s1_s0|{s1} 에 의해 비밀번호가 {s0} (으) 로 변경됨
str_admin_set_welcome_message_s1|{s1} 서버 환영 메시지 변경.
str_admin_set_welcome_message_s1_s0|{s1} 서버 환영 메시지 설정 {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} 에 의해 투표 통과에 필요한 찬성 비율이 {reg1} % 로 변경됨.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} 에 의해 자동 팀 균형 초과 허용치가 {s1} 명으로 변경됨.
str_admin_set_num_bots_voteable_s0_reg1|{s0} 에 의해 투표 가능 최대 봇 숫자가 {reg1} 명으로 변경됨.
str_admin_set_factions_voteable_s0_s9|{s0} 에 의해 국가 투표 가능여부가 {s9} 으로 변경됨.
str_admin_set_maps_voteable_s0_s9|{s0} 에 의해 맵 투표 가능 여부가 {s9} 으로 변경됨.
str_admin_set_kick_voteable_s0_s9|{s0} 에 의해 추방 투표 가능여부가 {s9} 으로 변경됨.
str_admin_set_ban_voteable_s0_s9|{s0} 에 의해 밴 투표 가능여부가 {s9} 으로 변경됨.
str_admin_set_allow_player_banners_s0_s9|{s0} 에 의해 개인 배너 사용이 {s9} 으로 변경됨.
str_admin_set_force_default_armor_s0_s9|{s0} 에 의해 최소 갑옷 수치가 {s9} 로 변경됨.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} 에 의해 원거리 무기 사용이 {s9} 으로 변경됨.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} 에 의해 아군 사살 시 자동 추방/밴 여부가 {s9} 으로 변경됨.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} 에 의해 자동 추방/밴 조치되는 아군 사살 횟수가 {reg1} 명으로 변경됨.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} 에 의해 버려진 말 자동 사살여부가 {s9} 으로 변경됨.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} 에 의해 라운드 종료시 팀 자동 변경여부가 {s9} 으로 변경됨.
str_admin_set_use_class_limits_s0_s9|{s0} 에 의해 병종 제한이 {s9} 으로 변경됨.
str_admin_set_class_limit_player_count_s0_reg1|{s0} 에 의해 병종제한 가능 최소 인원수가 {reg1} 명으로 변경됨.
str_admin_set_limit_grenadier_s0_reg1|{s0} 에 의해 각 팀 척탄병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_skirmisher_s0_reg1|{s0} 에 의해 각 팀 경보병 인원 제한이 {reg1} %로 변경됨.
str_admin_set_limit_rifle_s0_reg1|{s0} 에 의해 각 팀의 경보병 중 소총병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_cavalry_s0_reg1|{s0} 에 의해 각 팀의 기병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_lancer_s0_reg1|{s0} 에 의해 기병 중 창기병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_hussar_s0_reg1|{s0} 에 의해 기병 중 경기병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_dragoon_s0_reg1|{s0} 에 의해 기병 중 용기병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_cuirassier_s0_reg1|{s0} 에 의해 기병 중 흉갑기병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_heavycav_s0_reg1|{s0} 에 의해 기병 중 일반 중기병 인원제한이 {reg1} % 로 변경됨.
str_admin_set_limit_artillery_s0_reg1|{s0} 에 의해 각 팀 포병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_rocket_s0_reg1|{s0} 에 의해 각 팀 로켓 사수 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_sapper_s0_reg1|{s0} 에 의해 각 팀 공병 인원 제한이 {reg1} % 로 변경됨.
str_admin_set_limit_musician_s0_reg1|{s0} 에 의해 각 부대별 군악병 인원 제한이 {reg1} 명으로 변경됨.
str_admin_set_limit_sergeant_s0_reg1|{s0} 에 의해 각 부대별 부사관 인원 제한이 {reg1} 명으로 변경됨.
str_admin_set_limit_officer_s0_reg1|{s0} 에 의해 각 부대별 장교 인원 제한이 {reg1} 명으로 변경됨.
str_admin_set_limit_general_s0_reg1|{s0} 에 의해 각 팀 장성 인원 제한이 {reg1} 명으로 변경됨.
str_admin_set_build_points_team_1_s0_reg1|{s0} 에 의해 첫번째 팀의 빌드포인트가 {reg1} 포인트로 변경됨.
str_admin_set_build_points_team_2_s0_reg1|{s0} 에 의해 두번째 팀의 빌드 포인트가 {reg1} 포인트로 변경됨.
str_admin_set_squad_size_s0_reg1|{s0} 에 의해 부대별 봇 숫자가 {reg1} 명으로 변경됨.
str_admin_set_scale_squad_size_s0_s9|{s0} 에 의해 팀 균형에 따른 부대 크기 조절여부가 {s9} 으로 변경됨.
str_admin_set_max_num_bots_s0_reg1|{s0} 에 의해 최대 봇 숫자가 {reg1} 명으로 변경됨.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} 에 의해 여러개의 화기 소지 허용가능 여부가 {s9} 으로 변경됨.
str_admin_set_enable_bonuses_s0_s9|{s0} 에 의해 보너스 적용이 {s9} 으로 변경.
str_admin_set_bonus_strength_s0_reg1|{s0} 에 의해 보너스 수치가 {reg1}% 로 변경됨.
str_admin_set_bonus_range_s0_reg1|{s0} 에 의해 보너스 적용 거리가 {reg1} 미터로 변경됨.
str_admin_set_fall_off_horse_s0_reg1|{s0} 에 의해 피격시 낙마 확률이 {reg1} % 로 변경됨.
str_admin_set_horse_dying_s0_reg1|{s0} 에 의해 말 사망시 탑승자가 입는 데미지가 {reg1} % 로 변경됨.
str_mute_all|모든 플레이어 음소거
str_unmute_all|모든 플레이어 음소거 해제
str_slay_player|플레이어 사살
str_slay_player_s2_s3|{s2} 에 의해 {s3} 에게 벼락이 내리꽂음.
str_slay_all|전원 사살
str_slay_all_s2|{s2} 에 의해 모두가 몰살당함.
str_freeze_player|플레이어 포박하기
str_freeze_player_s2_s3|{s2} 에 의해 {s3} 의 몸이 포박됨.
str_freeze_all|전원 포박하기
str_freeze_all_s2|{s2} 에 의해 전원 포박됨
str_swap_player|플레이어 팀 강제 변경
str_swap_player_s2_s3|{s2} 에 의해 {s3} 의 팀이 변경됨.
str_swap_all|전원 팀 전환
str_swap_all_s2|{s2} 에 의해 전원 팀 교체됨.
str_forceautobalance_all|팀 균형 자동조정 활성화
str_forceautobalance_all_s2|{s2} 에 의해 팀 균형 자동조정이 활성화됨.
str_spec_player|플레이어를 관전자로 전환
str_spec_player_s2_s3|{s2} 에 의해 {s3} 의 팀이 관전자로 변경됨.
str_spec_all|전원 팀 교체
str_spec_all_s2|{s2} 에 의해 전원 팀 교체됨
str_kick_player_s2_s3|{s2} 에 의해 {s3} 의 추방이 이뤄짐.
str_ban_player_s2_s3|{s2} 에 의해 {s3} 에게 영구 밴 조치가 내려짐.
str_ban_player_temp|플레이어 임시 밴
str_ban_player_temp_s2_s3|{s2} 에 의해 {s3} 에게 임시 밴 조치가 내려짐.
str_ban_hammer_s2_s3|"성 {s2} 께서 밴해머로 {s3} 의 면상을 후려치셨다,잘 가시오!"
str_admin_cheats|치트
str_choose_a_cheat_type|치트 유형 선택:
str_cheat_spawn_hammer|밴 해머 소환
str_cheat_spawn_hammer_s2|{s2} 의 밴 해머가 소환됨.
str_cheat_spawn_hammer_2_s2|"그러자 {s2} 께서 밴해머를 높게 드시더니 말하기를,오 주여,이 밴해머에 축복을 내리사 주님께서 주님의 은혜로 주님의 적을 산산조각내시기를.,"
str_cheat_spawn_shotgun|샷건 소환
str_cheat_spawn_shotgun_s2|{s2} 의 샷건이 소환됨.
str_cheat_spawn_rocketlauncher|로켓 발사기 소환
str_cheat_spawn_rocketlauncher_s2|{s2} 의 로켓 발사기가 소환됨.
str_cheat_spawn_grenade|수류탄 소환
str_cheat_spawn_grenade_s2|{s2} 의 신성 수류탄이 소환됨.
str_cheat_spawn_grenade_2_s2|"그러자 {s2} 께서 수류탄을 높게 드시더니 말하기를,오 주여,이 수류탄에 축복을 내리사 주님께서 주님의 은혜로 주님의 적을 산산조각내시기를.,"
str_cheat_spawn_horse|어드민 말 소환
str_cheat_spawn_horse_s2|{s2} 의 어드민 말이 소환됨.
str_cheat_beacon_player|플레이어 위치 표시
str_cheat_beacon_player_s2_s3|{s2} 에 의해 {s3} 의 위치 표시기가 작동.
str_cheat_heal_player|플레이어 치료
str_cheat_heal_player_s2_s3|{s2} 에 의해 {s3} 의 체력이 회복됨.
str_cheat_heal_all|전원 치료
str_cheat_heal_all_s2|{s2} 에 의해 전원 체력 회복됨.
str_cheat_ammo_player|플레이어 탄약 채우기
str_cheat_ammo_player_s2_s3|{s2} 에 의해 {s3} 의 탄약이 재보충됨.
str_cheat_ammo_all|전원 탄약 채우기
str_cheat_ammo_all_s2|{s2} 에 의해 전원 탄약 재보충됨.
str_cheat_tele_to_player|플레이어 위치로 순간이동
str_cheat_tele_to_player_s2_s3|{s2} 의 순간이동이 시전되어 {s3} 의 위치로 이동함.
str_cheat_tele_bring_player|플레이어 데려오기
str_cheat_tele_bring_player_s2_s3|{s3} 에게 순간이동이 시전되어 {s2} 의 위치로 강제 이동됨.
str_cheat_tele_wall|물체를 통과하여 순간이동
str_cheat_tele_wall_s2|{s2} 의 순간이동이 시전됨.
str_admin_chat|어드민 공지
str_admin_chat_intern|서버 어드민 간 대화
str_admin_chat_s1_s0|*어드민*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|자동 추방/밴 활성화
str_num_max_teamkills_before_kick|자동 추방/밴 되기까지의 팀킬 횟수 한도
str_chk_auto_horse|버려진 말 자동 사살 활성화
str_chk_auto_swap|공성전 및 일반 전투에서 팀 자동 변경 활성화.
str_reset_map|맵 초기화
str_reset_map_s2|{s2} 에 의해 맵이 초기화됩니다.
str_console_command|어드민 입력창
str_player_kicked_cheating_s2|{s2} 의 치트 사용으로 인한 자동 퇴장.
str_next_page|다음 페이지
str_auto_assign|팀 자동 배정
str_begin|시작
str_game_rules|게임 규칙:^
str_britain_name|대영제국
str_france_name|프랑스 제국
str_prussia_name|프로이센 왕국
str_russia_name|러시아 제국
str_austria_name|오스트리아 제국
str_rhine_name|라인 동맹
str_infantry|보병
str_cavalry|기병
str_specialists|특수 병과
str_ranker|사병
str_equipment|장비:
str_random|무작위
str_howitzer|곡사포
str_cannon|평사포
str_all_fire_now|전체 사격!
str_left_fire_now|좌측 대열 발사!
str_middle_fire_now|중앙 대열 발사!
str_right_fire_now|우측 대열 발사!
str_fire_at_my_command|명령에 따라 발사
str_use_melee_weapons|근접 무기 사용
str_use_ranged_weapons|원거리 무기 사용
str_melee_weapons|근접 무기
str_ranged_weapons|원거리 무기
str_formation|대형
str_very_tight|매주 좁은
str_tight|좁은
str_loose|넉넉한
str_very_loose|매우 넉넉한
str_form_1_row|1열로 정렬
str_form_reg0_rows|{reg0} 열로 정렬
str_confirm_quit_mission|정말로 현재 미션에서 나가시겠습니까? (미션 진행 상황 잃음)
str_no_troop|비어있음
str_morning|아침
str_noon|주간
str_evening|저녁
str_night|야간
str_timeofday|맵 시각:
str_fog_none|없음
str_fog_light|빛 밝기
str_fog_medium|보통
str_fog_thick|짙은
str_fog_amount|안개 밀도:
str_rain_amount|강수량:
str_mm_stakes_construct|대형 방마책
str_mm_stakes2_construct|목책
str_sandbags_construct|모래주머니
str_chevaux_de_frise_tri_construct|소형 방마책
str_gabion_construct|돌망태
str_fence_construct|울타리
str_plank_construct|널빤지
str_earthwork1_construct|흙더미
str_explosives_construct|폭발물 상자
str_reg6_build_points|잔여 빌드 포인트: {reg6}
str_reg7_build_points_cost|소모되는 빌드 포인트:{reg7}
str_repair_prop|수리
str_destructible_object|파괴 가능한 물체
str_build_prop|구조물 건설
str_dig_prop|퍼올리기
str_undig_prop|파내리기
str_construct_deconstruct|건설/철거
str_ignite|점화!
str_invalid_flag_selection|당신의 팀이 차지한 거점을 선택하십시오.
str_invalid_prop_select|빌드 포인트가 부족함!
str_invalid_prop_place|이곳에 물체를 놓을 수 없습니다!
str_sail_brit|HMS 넵튠 선원
str_sail_fren|인터피드 호 선원
str_select_track|곡 선택:
str_music_calls|지휘 명령:
str_bagpipe_extras|추가 곡 (백파이프 전용):
str_play_together|합주 활성화
str_drum_britain_1|영국 척탄병 행진곡
str_drum_britain_2|내가 두고 온 그녀
str_drum_britain_3|릴리부레로
str_drum_britain_4|할렉의 사나이들
str_drum_britain_5|룰 브리타니아
str_drum_france_1|샹젤리제
str_drum_france_2|돌격 신호
str_drum_france_3|명중 신호
str_drum_france_4|척탄병
str_drum_france_5|도보 박자
str_drum_prussia_1|요크 행진곡
str_drum_prussia_3|호헨프리드베르거 행진곡
str_drum_prussia_4|프로이센 행진 전주곡
str_drum_prussia_5|프로이센 분열 행진곡
str_drum_prussia_6|프로이센 사열 행진곡
str_drum_russia_1|러시아 척탄병 행진곡
str_drum_russia_2|이즈마일롭스키 근위대 행진곡
str_drum_russia_3|콜로니 이두셰즈 진격 행진곡
str_drum_russia_4|프레오브라젠스키 근위대 행진곡
str_drum_russia_5|시멘노프스키 근위대 행진곡
str_drum_austria_1|오스트리아 척탄병 행진곡
str_drum_austria_2|코버그 행진곡
str_drum_austria_3|파펜하이머 행진곡
str_drum_austria_4|파리 입성행진곡
str_drum_austria_5|프린츠 폰 오이겐 행진곡
str_drum_highland_1|지평선에 펼쳐진 파란 모자들
str_drum_highland_2|보니 던디
str_drum_signal_1|영내 도보 박자
str_drum_signal_2|사격 중지
str_drum_signal_3|집결신호
str_fife_britain_1|영국 척탄병 행진곡
str_fife_britain_2|내가 두고 온 그녀
str_fife_britain_3|릴리부레로 행진곡
str_fife_britain_4|할렉의 사나이들
str_fife_britain_5|룰 브리타니아
str_fife_france_1|샹젤리제
str_fife_france_2|돌격 신호
str_fife_france_3|명중 신호
str_fife_france_4|척탄병
str_fife_france_5|도보 박자
str_fife_prussia_1|요크 행진곡
str_fife_prussia_2|호헨프리드베르거 행진곡
str_fife_prussia_3|프로이센 행진 전주곡
str_fife_prussia_4|프로이센 분열 행진곡
str_fife_prussia_5|프로이센 사열 행진곡
str_fife_russia_1|러시아 척탄병 행진곡
str_fife_russia_2|이즈마일롭스키 근위대 행진곡
str_fife_russia_3|콜로니 이두셰즈 진격 행진곡
str_fife_russia_4|프레오브라젠스키 근위대 행진곡
str_fife_russia_5|시멘노프스키 근위대 행진곡
str_fife_austria_1|오스트리아 척탄병 행진곡
str_fife_austria_2|코버그 행진곡
str_fife_austria_3|파펜하이머 행진곡
str_fife_austria_4|파리 입성행진곡
str_fife_austria_5|프린츠 폰 오이겐 행진곡
str_bugle_britain_1|브리티쉬 부츠
str_bugle_britain_2|영국 경보병 행진곡
str_bugle_france_1|경기병대의 춤
str_bugle_france_2|행진
str_bugle_prussia_1|구 헤센 기병 행진곡
