ui_music_volume|음악 볼륨:
ui_hdr_mode|HDR 모드:
ui_autoexpore|자동 노출
ui_choose_profile|프로필 선택
ui_create|만들기
ui_edit|편집
ui_join_game|게임에 참가
ui_host_game|게임 생성
ui_custom|커스텀
ui_medium|보통
ui_male|남성
ui_female|여성
ui_gender|성별 선택:
ui_edit_profile|프로필 편집
ui_new_profile|새 프로필
ui_enter_username|사용자 이름 입력:
ui_invalid_username|플레이어 이름에는 문자, 숫자와 _ - * [ ] ~ 문자만 사용이 가능합니다.
ui_confirmation|정말이십니까?
ui_multiplayer|멀티 플레이어
ui_server_name|서버
ui_module_name|모듈
ui_game_type|게임 유형
ui_map_name|맵
ui_ping|핑
ui_dedicated|전용
ui_number_of_players|플레이어
ui_password_protected|비밀번호
ui_connect|연결
ui_local_area_network|근거리 통신망
ui_internet|인터넷
ui_favorites|즐겨찾기
ui_source|출처:
ui_server_password|서버 비밀번호:
ui_refresh|새로 고침
ui_start_search|검색 시작
ui_add_to_favorites|즐겨찾기에 등록
ui_remove_from_favorites|즐겨찾기에서 제거
ui_use_speedtree|빠른 나무 효과 사용
ui_use_instancing|인스턴스 사용
ui_error|오류
ui_error_server_full|서버가 꽉 찼습니다.
ui_error_server_full_for_non_private|해당 서버는 비밀번호 없이 들어올 수 있는 인원 제한에 도달했습니다.
ui_error_server_password_incorrect|잘못된 암호입니다.
ui_error_incorrect_serial|잘못된 제품 키.
ui_error_incorrect_authorization_key|인증 키가 잘못되었습니다.
ui_error_banned_from_server|해당 서버에서 밴 당했습니다.
ui_error_username_taken|당신의 프로필 이름을 이미 누군가가 사용 중입니다.
ui_error_authentication_failed|인증이 실패 했습니다.
ui_unable_to_connect_to_server|서버와 연결할 수 없습니다.
ui_connection_to_server_is_lost|해당 서버와의 연결이 끊어졌습니다.
ui_kicked_from_server|서버로부터 추방당했습니다.
ui_switch_to_module_question|해당 서버는 현재 실행중이지 않은 모듈로 플레이 중입니다. 마운트&블레이드 의 모듈을 지금 전환하시겠습니까?
ui_download_module_question|해당 서버는 본 컴퓨터에 설치되지 않은 모듈로 플레이 중입니다. 지금 해당 모듈에 대한 다운로드 사이트로 이동하시겠습니까?
ui_download_mb_new_version_question|해당 서버는 당신의 마운트&블레이드 버전 (%d.%d%d%d) 보다 더 높은 버전 (%d.%d%d%d) 으로 플레이 중입니다. 지금 TaleWorlds 다운로드 사이트로 이동하시겠습니까?
ui_download_mb_old_version_question|해당 서버는 당신의 마운트&블레이드 버전 (%d.%d%d%d) 보다 더 낮은 버전 (%d.%d%d%d) 으로 플레이 중입니다.
ui_download_module_new_version_question|해당 서버는 당신의 버전 (%d.%d%d%d) 보다 더 높은 버전 (%d.%d%d%d) 의 모듈로 플레이 중입니다. 지금 해당 모듈에 대한 다운로드 사이트로 이동하시겠습니까?
ui_download_module_old_version_question|해당 서버는 당신의 버전 (%d.%d%d%d) 보다 더 낮은 버전 (%d.%d%d%d) 의 모듈로 플레이 중입니다.
ui_authenticating_with_steam|스팀 인증 중...
ui_validating_serial_number|제품 키 유효성 확인 중...
ui_scanning_lan|로컬 네트워크 스캔 중...
ui_retrieving_servers|서버 목록 검색 중...
ui_shield_size2|규모: %dx%d
ui_click_to_view_notes|메모를 보려면 클릭
ui_retrieving_server_infos|서버 정보 불러오는 중 (%d)...
ui_connecting_to_server|서버 접속 중...
ui_requesting_to_join_the_game|게임 참가 요청 중...
ui_loading|불러오는 중...
ui_group_value_control|%d 부대!
ui_drop_weapon|무기 버리기
ui_multiplayer_message_all|전체 메시지 보내기
ui_multiplayer_message_team|팀 메시지 보내기
ui_command_line|입력 창
ui_use_ranged_weapon_as_melee|무기 모드 전환
ui_send_message_all|전체 메시지 보내기
ui_send_message_team|팀 메시지 보내기
ui_select|선택
ui_context_menu|현황 메뉴
ui_round_starts_in_value_seconds|%d 초 내로 라운드가 시작됩니다...
ui_watching_value|%s 의 경로를 따르는 중
ui_capital_spec|특성
ui_capital_dead|사망
ui_instancing_error1|인스턴스 버퍼를 잠글 수 없습니다 (크기: %d), 메쉬 인스턴스 장애 (오류 코드: %d)
ui_instancing_error2|인스턴스 객체 적용 불가능, 메쉬-인스턴싱 비활성화됨
ui_by_keyboard|마우스 움직임에 의해
ui_combat_speed_slowest|가장 느림
ui_combat_speed_slower|느림
ui_combat_speed_normal|보통
ui_combat_speed_faster|빠른
ui_combat_speed_fastest|가장 빠른
ui_module_newer_than_application|현재 선택하신 모듈은 게임의 더 높은 버전을 필요로 합니다.
ui_module_older_than_application|현재 선택하신 모듈은 게임의 더 낮은 버전을 필요로 합니다.
ui_unbalanced|불균형
ui_can_crush_through_blocks|방어동작을 뚫고 공격 가능
ui_turn_camera_with_horse|1인칭 시점에서 시야가 말과 함께 회전:
ui_widescreen_mode_on|복수 창 모드 활성화됨
ui_widescreen_mode_off|복수 창 모드 비활성화됨
ui_notification_cant_upgrade|(업그레이드 불가능: 돈이 부족함)
ui_turn_never|절대로
ui_turn_ranged_only|원거리 무기만
ui_turn_melee_only|근접 무기만
ui_turn_always|항상
ui_general_options|일반 설정
ui_vac_enabled|밸브 안티 치트 활성화됨
ui_campaign_ai|캠페인 인공지능:
ui_downloading_map|맵 다운로드 중 (%d KB)
ui_download_completed|다운로드가 완료되었습니다.
ui_server_filter|서버 필터
ui_has_players|플레이어 있음
ui_is_not_full|빈 자리 있음
ui_is_password_free|비밀번호 없음
ui_native_only|네이티브 전용
ui_ping_limit|핑 제한
ui_filter_info|%d 개의 서버와 %d 명의 플레이어가 필터링됨
ui_is_version_compatible|현재 모듈과 호환됨
ui_ttnet_account|TTNET Oyun account
ui_username|사용자 이름
ui_password|비밀번호
ui_error_incorrect_username_or_password|잘못된 사용자 이름 및 비밀번호
ui_validating_account|계정 확인 중...
ui_plase_enter_your_serial_key|제품 키를 입력하십시오
ui_texture_detail2|텍스쳐 품질:
ui_antialiasing2|안티 앨리어싱:
ui_napoleonic_key_does_not_exist|해당 모드는 나폴레오닉 워즈 DLC 를 필요로 합니다!
ui_delete_module_workshop|정말로 해당 모듈의 구독을 취소하시겠습니까?
ui_delete_module|정말로 해당 모듈을 삭제하시겠습니까?
ui_delete_native_module|네이티브 모드를 삭제할 수 없습니다.
ui_incompatible_module|해당 서버가 사용중인 모듈은 당신의 모듈과 호환되지 않습니다. 게임 시작 메뉴에서 플레이 할 모듈을 변경하실 수 있습니다.
