stringsfile version 1
1312
str_no_string NO_STRING!
str_auto_team_balance_done Teams_have_been_auto-balanced.
str_s1_won_round {s1}_has_won_the_round!
str_round_draw Time_is_up._Round_draw.
str_round_draw_no_one_remained No_one_left._Round_draw.
str_reset_to_default Reset_to_Default
str_done Done
str_player_name Player_Name
str_kills Kills
str_deaths Deaths
str_ping Ping
str_dead Dead
str_reg0_dead {reg0}_Dead
str_bots_reg0_agents Bots_({reg0}_agents)
str_bot_1_agent Bot_(1_agent)
str_score Score
str_score_reg0 Score:_{reg0}
str_flags_reg0 (Flags:_{reg0})
str_reg0_players ({reg0}_Players,__{reg40}_Alive,__{reg41}_Dead)
str_reg0_player ({reg0}_Player,__{reg40}_Alive,__{reg41}_Dead)
str_reg0_alive {reg0}_Alive
str_reg0_player_only {reg0}_Player
str_reg0_players_only {reg0}_Players
str_reg0_spectator {reg0}_Spectator
str_reg0_spectators {reg0}_Spectators
str_open_gate Open_Gate
str_close_gate Close_Gate
str_open_door Open_Door
str_close_door Close_Door
str_raise_ladder Raise_Ladder
str_drop_ladder Drop_Ladder
str_back Back
str_start_map Start_Map
str_choose_an_option Choose_an_option:
str_choose_a_poll_type Choose_a_poll_type:
str_choose_faction Nation_Selection
str_choose_a_faction Choose_a_nation:
str_choose_troop Flag_Selection
str_choose_a_troop Choose_a_regiment:
str_choose_items Troop_Selection
str_choose_an_item Choose_a_rank:
str_options Options
str_redefine_keys Redefine_Keys
str_submit_a_poll Submit_a_Poll
str_show_game_rules Show_game_rules
str_administrator_panel Administrator_Panel
str_kick_player Kick_Player
str_ban_player Ban_Player_Permanently
str_mute_player Mute_Player
str_unmute_player Unmute_Player
str_quit Quit
str_poll_for_changing_the_map Change_the_map
str_poll_for_changing_the_map_and_factions Change_the_map_and_nations
str_poll_for_changing_number_of_bots Change_number_of_bots_in_teams
str_poll_for_kicking_a_player Kick_a_player
str_poll_for_banning_a_player Ban_a_player
str_poll_for_custom_poll Custom_poll
str_choose_a_player Choose_a_player:
str_choose_a_map Choose_a_map:
str_choose_a_faction_for_team_reg0 Choose_a_nation_for_team_{reg0}:
str_choose_number_of_bots_for_team_reg0 Choose_number_of_bots_for_team_{reg0}:
str_spectator Spectator
str_spectators Spectators
str_score_2 Score
str_command Command:
str_profile_banner_selection_text Choose_a_banner_for_your_profile:
str_use_default_banner Use_Nation's_Banner
str_player_name_s1 -_{s1}
str_space _
str_us_ Us_
str_allies_ Allies_
str_enemies_ Enemies_
str_routed Routed
str_team_reg0_bot_count_is_reg1 {!}Team_{reg0}_bot_count_is_{reg1}.
str_input_is_not_correct_for_the_command_type_help_for_more_information {!}Input_is_not_correct_for_the_command._Type_'help'_for_more_information.
str_maximum_seconds_for_round_is_reg0 Maximum_seconds_for_round_is_{reg0}.
str_respawn_period_is_reg0_seconds Respawn_period_is_{reg0}_seconds.
str_bots_upper_limit_for_votes_is_reg0 Bots_upper_limit_for_votes_is_{reg0}.
str_map_is_voteable Map_is_voteable.
str_map_is_not_voteable Map_is_not_voteable.
str_factions_are_voteable Nations_are_voteable.
str_factions_are_not_voteable Nations_are_not_voteable.
str_players_respawn_as_bot Players_respawn_as_bot.
str_players_do_not_respawn_as_bot Players_do_not_respawn_as_bot.
str_kicking_a_player_is_voteable Kicking_a_player_is_voteable.
str_kicking_a_player_is_not_voteable Kicking_a_player_is_not_voteable.
str_banning_a_player_is_voteable Banning_a_player_is_voteable.
str_banning_a_player_is_not_voteable Banning_a_player_is_not_voteable.
str_player_banners_are_allowed Player_banners_are_allowed.
str_player_banners_are_not_allowed Player_banners_are_not_allowed.
str_default_armor_is_forced Default_armor_is_forced.
str_default_armor_is_not_forced Default_armor_is_not_forced.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0 Percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_{reg0}%.
str_auto_team_balance_threshold_is_reg0 Auto_team_balance_threshold_is_{reg0}.
str_starting_gold_ratio_is_reg0 Starting_gold_ratio_is_{reg0}%.
str_combat_gold_bonus_ratio_is_reg0 Combat_gold_bonus_ratio_is_{reg0}%.
str_round_gold_bonus_ratio_is_reg0 Round_gold_bonus_ratio_is_{reg0}%.
str_point_gained_from_flags_is_reg0 Team_points_gained_for_flags_is_{reg0}%.
str_point_gained_from_capturing_flag_is_reg0 Points_gained_for_capturing_flags_is_{reg0}%.
str_map_time_limit_is_reg0 Map_time_limit_is_{reg0}_minutes.
str_team_points_limit_is_reg0 Team_point_limit_is_{reg0}.
str_defender_spawn_count_limit_is_s1 Defender_spawn_count_is_{s1}.
str_system_error SYSTEM_ERROR!
str_routed_2 routed
str_s42 {s42}
str_s14 {!}{s14}
str_s1_reg1 {!}{s1}_({reg1})
str_s1_reg2 {!}{s1}_({reg2})
str_s1_reg3 {!}{s1}_({reg3})
str_s1_reg4 {!}{s1}_({reg4})
str_s1_reg5 {!}{s1}_({reg5})
str_s1_reg6 {!}{s1}_({reg6})
str_s1_reg7 {!}{s1}_({reg7})
str_s1_reg8 {!}{s1}_({reg8})
str_s1_reg9 {!}{s1}_({reg9})
str_reg13 {!}{reg13}
str_reg14 {!}{reg14}
str_reg15 {!}{reg15}
str_reg16 {!}{reg16}
str_reg17 {!}{reg17}
str_reg18 {!}{reg18}
str_reg19 {!}{reg19}
str_reg20 {!}{reg20}
str_reg21 {!}{reg21}
str_s40 {!}{s40}
str_s44 {!}{s44}
str_s41 {!}{s41}
str_s15 {!}{s15
str_s2_s3 {!}{s2}^{s3}
str_s1_s2 {!}{s1}_{s2}
str_s15_2 {!}{s15}
str_s13 {!}{s13}
str_s12 {!}{s12},
str_s12_2 {!}{s12}.
str_you you
str_we we
str_quick_battle_french_farm French_Farm
str_quick_battle_landshut Landshut
str_quick_battle_river_crossing River_Crossing
str_quick_battle_spanish_village Spanish_Village
str_quick_battle_strangefields Strangefields
str_quick_battle_scene_1 Hills
str_quick_battle_scene_2 Snowy_Plain
str_quick_battle_scene_3 Woodland
str_quick_battle_scene_4 Steppe
str_quick_battle_scene_6 Desert
str_map_basic Map
str_game_type_basic Game_Type
str_battle Battle
str_character Character
str_player Player
str_enemy Enemy
str_faction Nation
str_start Start
str_custom_battle Custom_Battle
str_plus +
str_minus -
str_server_name_s0 Server_Name:_{s0}
str_map_name_s0 Map_Name:_{s0}
str_game_type_s0 Game_Type:_{s0}
str_remaining_time_s0reg0_s1reg1 Remaining_Time:_{s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0 A_duel_offer_is_sent_to_{s0}.
str_s0_offers_a_duel_with_you {s0}_offers_a_duel_with_you.
str_your_duel_with_s0_is_cancelled Your_duel_with_{s0}_is_cancelled.
str_a_duel_between_you_and_s0_will_start_in_3_seconds A_duel_between_you_and_{s0}_will_start_in_3_seconds.
str_you_have_lost_a_duel You_have_lost_a_duel.
str_you_have_won_a_duel You_have_won_a_duel!
str_server_s0 [SERVER]:_{s0}
str_disallow_ranged_weapons Disallow_ranged_weapons
str_ranged_weapons_are_disallowed Ranged_weapons_are_disallowed.
str_ranged_weapons_are_allowed Ranged_weapons_are_allowed.
str_duel_starts_in_reg0_seconds Duel_starts_in_{reg0}_seconds...
str_true True
str_false False
str_teamkilled_s1_s2 {s1}_teamkilled_{s2}.
str_teamkilled_s1_a_bot {s1}_teamkilled_a_friendly_bot.
str_kick_server_kills_first_s1_reg5 {s1}_is_auto_kicked_for_having_{reg5}_teamkills,_first_time.
str_kick_server_kills_second_s1_reg5 {s1}_is_auto_kicked_for_having_{reg5}_teamkills,_second_time.
str_ban_server_kills_s1_reg5 {s1}_is_auto_banned_for_having_{reg5}_or_more_teamkills.
str_warning_message_first_reg5 You_have_already_teamkilled_{reg5}_players_this_map,_watch_out!
str_warning_message_second_reg5 You_have_already_teamkilled_{reg5}_players_this_map,_watch_out,_next_is_kick!
str_kick_to_message_first You_are_now_kicked_for_excessive_teamkilling,_watch_out!
str_kick_to_message_second You_are_now_kicked_for_excessive_teamkilling,_watch_out!_next_time_is_ban!
str_ban_to_message You_are_now_banned_for_excessive_teamkilling,_farewell!
str_auto_kick_message_s1 {s1}_is_auto_kicked_for_excessive_teamkilling.
str_auto_ban_message_s1 {s1}_is_auto_banned_for_excessive_teamkilling.
str_server_hq_base_retake_s1 The_{s1}_is_Retaking_Their_Base!!
str_server_hq_base_attack_s1 The_Base_of_{s1}_is_Under_Attack!!
str_player_left_server_s1_reg13 {s1}_has_left_the_game_with_ID:_{reg13}
str_push_cannon Push_Cannon
str_fire_cannon Fire_Cannon
str_aim_cannon Take_Control
str_unlimber_cannon Unlimber_Cannon
str_limber_cannon Limber_Cannon
str_load_cartridge Place_Ammunition
str_load_bomb Place_Mortar_Bomb
str_load_rocket Place_Rocket
str_reload_cannon Reload_Cannon
str_pick_up_round Take_Round_Shot
str_pick_up_shell Take_a_Shell_(Explosive)
str_pick_up_canister Take_a_Canister_Shot
str_pick_up_bomb Take_a_Mortar_Bomb
str_pick_up_rocket Pick_Up_Rocket_Launcher
str_play_piano Play_Piano
str_play_organ Play_Organ
str_take_a_shit Use_the_Toilet
str_play_bell Ring_the_Bell
str_take_ship_control Take_Ship_Control
str_cannot_use_piano You_cannot_play_a_piano_while_on_horseback!
str_cannot_use_organ You_cannot_play_a_organ_while_on_horseback!
str_cannot_use_piano_angle You_cannot_play_a_piano_from_it's_back.
str_cannot_use_organ_angle You_cannot_play_a_organ_from_it's_back.
str_cannot_use_toilet You_cannot_use_the_toilet_while_on_horseback!
str_piano_in_use Someone_else_is_already_playing_the_piano!
str_organ_in_use Someone_else_is_already_playing_the_organ!
str_toilet_in_use Someone_else_is_already_using_the_toilet!
str_cannot_use_cannon You_are_not_part_of_the_Artillery_Regiment_and_cannot_use_cannons!
str_cannot_use_rocket You_are_not_part_of_the_Rocketeer_Regiment_and_cannot_use_rockets!
str_cannon_not_loaded The_cannon_is_not_loaded!
str_cannon_already_has_ball This_cannon_already_has_a_cannonball!
str_cannon_already_loaded This_cannon_is_already_loaded!
str_cannot_carry_more_cannon_ammo You_cannot_carry_more_cannon_ammo!
str_cannon_cannot_load_type This_cannon_cannot_load_this_type_of_ammo
str_need_to_have_a_lighter You_need_to_have_a_lighter_to_fire_a_cannon!
str_need_to_have_a_ramrod You_need_to_have_a_ramrod_to_load_a_cannon!
str_need_to_have_a_ball You_need_to_have_ammunition_to_load_a_cannon!
str_need_to_have_a_horse You_need_a_horse_carriage_nearby_to_limber_a_cannon!
str_horse_already_has_cannon This_horse_already_has_a_cannon_limbered!
str_already_to_many_barricades Your_team_already_spawned_too_many_defenses_this_round.
str_already_to_many_ammobox Your_team_already_spawned_too_many_ammoboxes_this_round.
str_cannon_is_already_in_use This_cannon_is_already_being_used.
str_already_to_many_players_class_s21 There_are_already_too_many_players_playing_as_{s21}._Choose_another_unit.
str_already_to_many_players_rank_mus There_are_already_too_many_players_playing_as_Musician_in_this_unit._Choose_another_rank.
str_already_to_many_players_rank_srg There_are_already_too_many_players_playing_as_{s21}_in_this_unit._Choose_another_rank.
str_already_to_many_players_rank_off There_are_already_too_many_players_playing_as_{s21}_in_this_unit._Choose_another_rank.
str_chk_class_limits Enable_Class_Limits
str_chk_class_limits_player_count Min_players_to_enable_class_limits:
str_limit_grenadier Limit_of_Foot_Guards_in_each_team_(%):
str_limit_skirmisher Limit_of_Light_Infantry_in_each_team_(%):
str_limit_rifle Max_Riflemen_of_Light_Infantry_count_(%):
str_limit_cavalry Limit_of_Horsemen_in_each_team_(%):
str_limit_lancer Max_Lancers_of_Horsemen_count_(%):
str_limit_hussar Max_Hussars_of_Horsemen_count_(%):
str_limit_dragoon Max_Dragoons_of_Horsemen_count_(%):
str_limit_cuirassier Max_Cuirassiers_of_Horsemen_count_(%):
str_limit_heavycav Max_Unarmoured_Heavy_Cav_of_Horsemen_count_(%):
str_limit_artillery Limit_of_Artillery_in_each_team_(%):
str_limit_rocket Limit_of_Rocketeers_in_each_team_(%):
str_limit_sapper Limit_of_Engineers_in_each_team_(%):
str_limit_sapper_1 Limit_of_Sailors_and_Partizani_per_team_(%):
str_limit_sapper_2 Limit_Sappers,_Sailors,_Opol,_and_Parti_per_team_(%):
str_limit_musician Limit_of_Musicians_in_each_unit_(nr):
str_limit_sergeant Limit_of_Sergeants_in_each_unit_(nr):
str_limit_officer Limit_of_Captains_in_each_unit_(nr):
str_limit_general Limit_of_Generals_in_each_team_(nr):
str_build_points_team_1 Build_points_for_the_first_team:
str_build_points_team_2 Build_points_for_the_second_team:
str_allow_multiple_firearms Allow_carrying_of_multiple_firearms
str_enable_bonuses Enable_Bonuses
str_bonus_strength Bonus_Strength_(%):
str_bonus_range Bonus_Range_in_meters:
str_num_bots_per_squad Num_bots_per_squad:
str_scale_squad_size Scale_squad_size_to_balance_teams
str_max_num_bots Max_number_of_bots:
str_chance_of_falling_off_horse Chance_of_falling_off_horse_when_hit_(%):
str_damage_from_horse_dying Damage_dealt_to_rider_when_horse_dies_(%):
str_admin_start_map_s0_s1_s2_s5_s6 {s0}_Changed_the_map_to_{s1}_with_gamemode_{s2}_and_with_the_nations_{s5}_and_{s6}.
str_admin_set_max_num_players_s0_reg1 {s0}_Changed_the_maximum_number_of_players_to_{reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1 {s0}_Changed_the_number_of_bots_for_the_{s1}_to_{reg1}.
str_admin_set_friendly_fire_s0_s9 {s0}_Set_allow_ranged_friendly_fire_to_{s9}.
str_admin_set_melee_friendly_fire_s0_s9 {s0}_Set_allow_melee_friendly_fire_to_{s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1 {s0}_Set_the_friendly_fire_damage_to_self_ratio_to_{reg1}_%.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1 {s0}_Set_the_friendly_fire_damage_to_friend_ratio_to_{reg1}_%.
str_admin_set_ghost_mode_s0_s1 {s0}_Set_ghost_mode_to_{s1}.
str_admin_set_control_block_dir_s0_s1 {s0}_Set_control_block_direction_to_{s1}.
str_admin_set_combat_speed_s0_s1 {s0}_Set_the_combat_speed_to_{s1}.
str_admin_set_respawn_count_s0_s1 {s0}_Set_the_defender_spawn_count_to_{s1}.
str_admin_set_add_to_servers_list_s0_s9 {s0}_Set_add_server_to_servers_list_to_{s9}.
str_admin_set_respawn_period_s0_reg1 {s0}_Changed_the_respawn_period_to_{reg1}_seconds.
str_admin_set_game_max_minutes_s0_reg1 {s0}_Changed_the_map_timelimit_to_{reg1}_minutes.
str_admin_set_round_max_seconds_s0_reg1 {s0}_Changed_the_round_timelimit_to_{reg1}_seconds.
str_admin_set_player_respawn_as_bot_s0_s9 {s0}_Set_players_respawn_as_bots_to_{s9}.
str_admin_set_game_max_points_s0_reg1 {s0}_Changed_the_game_max_points_to_{reg1}.
str_admin_set_point_gained_from_flags_s0_reg1 {s0}_Changed_points_gained_from_flags_to_{reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1 {s0}_Changed_points_gained_from_capturing_a_flag_to_{reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1 {s0}_Set_the_initial_gold_multiplier_to_{reg1}_%.
str_admin_set_battle_earnings_multiplier_s0_reg1 {s0}_Set_the_combat_gold_multiplier_to_{reg1}_%.
str_admin_set_round_earnings_multiplier_s0_reg1 {s0}_Set_the_round_gold_bonus_multiplier_to_{reg1}_%.
str_admin_set_server_name_s1_s0 {s1}_Set_the_server_name_to_{s0}
str_admin_set_game_password_s1_s0 {s1}_Set_the_server_password_to_{s0}
str_admin_set_welcome_message_s1 {s1}_Changed_the_server_welcome_message.
str_admin_set_welcome_message_s1_s0 {s1}_Set_the_server_welcome_message_to_{s0}.
str_admin_set_valid_vote_ratio_s0_reg1 {s0}_Set_the_valid_vote_ratio_to_{reg1}_%.
str_admin_set_auto_team_balance_limit_s0_s1 {s0}_Set_the_auto_team_balance_limit_to_{s1}.
str_admin_set_num_bots_voteable_s0_reg1 {s0}_Changed_maximum_number_of_votable_bots_to_{reg1}.
str_admin_set_factions_voteable_s0_s9 {s0}_Set_nations_voteable_to_{s9}.
str_admin_set_maps_voteable_s0_s9 {s0}_Set_maps_voteable_to_{s9}.
str_admin_set_kick_voteable_s0_s9 {s0}_Set_kick_voteable_to_{s9}.
str_admin_set_ban_voteable_s0_s9 {s0}_Set_ban_voteable_to_{s9}.
str_admin_set_allow_player_banners_s0_s9 {s0}_Set_allow_individual_banners_to_{s9}.
str_admin_set_force_default_armor_s0_s9 {s0}_Set_force_minimum_armor_to_{s9}.
str_admin_set_disallow_ranged_weapons_s0_s9 {s0}_Set_disallow_ranged_weapons_to_{s9}.
str_admin_set_mod_variable_auto_kick_s0_s9 {s0}_Set_auto-kick/ban_for_teamkills_to_{s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1 {s0}_Set_the_ammount_of_teamkills_before_auto-kick/ban_to_{reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9 {s0}_Set_automatic_killing_of_stray_horses_to_{s9}.
str_admin_set_mod_variable_auto_swap_s0_s9 {s0}_Set_auto-swap_teams_at_siege_and_battle_to_{s9}.
str_admin_set_use_class_limits_s0_s9 {s0}_Set_use_class_limits_to_{s9}.
str_admin_set_class_limit_player_count_s0_reg1 {s0}_Set_minimum_players_to_enable_class_limits_to_{reg1}_players.
str_admin_set_limit_grenadier_s0_reg1 {s0}_Set_the_class_limit_for_Grenadiers_to_{reg1}_%_of_the_team.
str_admin_set_limit_skirmisher_s0_reg1 {s0}_Set_the_class_limit_for_Light_Infantry_to_{reg1}_%_of_the_team.
str_admin_set_limit_rifle_s0_reg1 {s0}_Set_the_class_limit_for_Riflemen_to_{reg1}_%_of_the_Light_Infantry.
str_admin_set_limit_cavalry_s0_reg1 {s0}_Set_the_class_limit_for_Horsemen_to_{reg1}_%_of_the_team.
str_admin_set_limit_lancer_s0_reg1 {s0}_Set_the_class_limit_for_Lancers_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_hussar_s0_reg1 {s0}_Set_the_class_limit_for_Hussars_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_dragoon_s0_reg1 {s0}_Set_the_class_limit_for_Dragoons_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_cuirassier_s0_reg1 {s0}_Set_the_class_limit_for_Cuirassiers_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_heavycav_s0_reg1 {s0}_Set_the_class_limit_for_Non-Armoured_Heavy_Cavalry_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_artillery_s0_reg1 {s0}_Set_the_class_limit_for_Artillery_to_{reg1}_%_of_the_team.
str_admin_set_limit_rocket_s0_reg1 {s0}_Set_the_class_limit_for_Rocketeers_to_{reg1}_%_of_the_team.
str_admin_set_limit_sapper_s0_reg1 {s0}_Set_the_class_limit_for_Sappers_to_{reg1}_%_of_the_team.
str_admin_set_limit_sapper_s0_reg1_1 {s0}_Set_the_class_limit_for_Partizani_and_Sailors_to_{reg1}_%_of_the_team.
str_admin_set_limit_sapper_s0_reg1_2 {s0}_Set_the_class_limit_for_Sappers,_Partizani,_Sailors,_and_Opolcheniye_to_{reg1}_%_of_the_team.
str_admin_set_limit_musician_s0_reg1 {s0}_Set_the_limit_for_the_Musician_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_sergeant_s0_reg1 {s0}_Set_the_limit_for_the_Sergeant_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_officer_s0_reg1 {s0}_Set_the_limit_for_the_Officer_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_general_s0_reg1 {s0}_Set_the_limit_for_Generals_to_{reg1}_persons_per_nation.
str_admin_set_build_points_team_1_s0_reg1 {s0}_Set_the_buildpoints_for_the_first_team_to_{reg1}_points.
str_admin_set_build_points_team_2_s0_reg1 {s0}_Set_the_buildpoints_for_the_second_team_to_{reg1}_points.
str_admin_set_squad_size_s0_reg1 {s0}_Set_the_squad_size_to_{reg1}_bots_per_squad.
str_admin_set_scale_squad_size_s0_s9 {s0}_Set_scale_squad_size_to_team_ratio_to_{s9}.
str_admin_set_max_num_bots_s0_reg1 {s0}_Set_the_max_number_of_bots_to_{reg1}.
str_admin_set_allow_multiple_firearms_s0_s9 {s0}_Set_allow_carrying_of_multiple_firearms_to_{s9}.
str_admin_set_enable_bonuses_s0_s9 {s0}_Set_use_bonuses_to_{s9}.
str_admin_set_bonus_strength_s0_reg1 {s0}_Set_the_strength_of_bonuses_to_{reg1}%.
str_admin_set_bonus_range_s0_reg1 {s0}_Set_the_range_of_bonuses_to_{reg1}_meters.
str_admin_set_fall_off_horse_s0_reg1 {s0}_Set_the_chance_to_fall_off_the_horse_when_hit_to_{reg1}%.
str_admin_set_horse_dying_s0_reg1 {s0}_Set_the_damaged_dealt_to_rider_when_horse_dies_to_{reg1}%.
str_mute_all Mute_All_Players
str_unmute_all Unmute_All_Players
str_slay_player Slay_Player
str_slay_player_s2_s3 {s2}_Slayed_Player_{s3}.
str_slay_all Slay_Everyone
str_slay_all_s2 {s2}_Slayed_Everyone.
str_freeze_player Freeze_Player
str_freeze_player_s2_s3 {s2}_Toggled_Freeze_on_Player_{s3}.
str_freeze_all Freeze_Everyone
str_freeze_all_s2 {s2}_Toggled_Freeze_on_Everyone
str_swap_player Swap_Player
str_swap_player_s2_s3 {s2}_Swapped_Player_{s3}_to_the_opposite_team.
str_swap_all Swap_Everyone
str_swap_all_s2 {s2}_Swapped_Everyone_to_the_opposite_team.
str_forceautobalance_all Force_Autobalance
str_forceautobalance_all_s2 {s2}_Forced_a_Autobalance_on_the_teams.
str_spec_player Swap_Player_to_Spectators
str_spec_player_s2_s3 {s2}_Swapped_Player_{s3}_to_Spectators.
str_spec_all Swap_Everyone
str_spec_all_s2 {s2}_Swapped_Everyone_to_Spectators
str_kick_player_s2_s3 {s2}_Kicked_Player_{s3}.
str_ban_player_s2_s3 {s2}_Permanently_Banned_Player_{s3}.
str_ban_player_temp Ban_Player_Temporary
str_ban_player_temp_s2_s3 {s2}_Temporary_Banned_Player_{s3}.
str_ban_hammer_s2_s3 Saint_{s2}_Smashed_The_Ban_Hammer_Right_in_{s3}'s_Face,_Farewell!
str_admin_cheats Cheats
str_choose_a_cheat_type Choose_a_cheat_type:
str_cheat_spawn_hammer Spawn_Ban_Hammer
str_cheat_spawn_hammer_s2 {s2}_Spawned_a_Ban_Hammer.
str_cheat_spawn_hammer_2_s2 And_Saint_{s2}_raised_the_holy_ban_hammer_up_on_high,_saying,_'O_Lord,_bless_this_thy_holy_ban_hammer,_that_with_it_thou_mayst_smash_thine_enemies_to_tiny_bits,_in_thy_mercy.'_And_the_Lord_did_grin.
str_cheat_spawn_shotgun Spawn_Shotgun
str_cheat_spawn_shotgun_s2 {s2}_Spawned_a_Shotgun.
str_cheat_spawn_rocketlauncher Spawn_Rocket_Launcher
str_cheat_spawn_rocketlauncher_s2 {s2}_Spawned_a_Rocket_Launcher.
str_cheat_spawn_balllauncher Spawn_Cannonball_Launcher
str_cheat_spawn_balllauncher_s2 {s2}_Spawned_a_Cannonball_Launcher.
str_cheat_spawn_grenade Spawn_Hand_Grenade
str_cheat_spawn_grenade_s2 {s2}_Spawned_a_Hand_Grenade.
str_cheat_spawn_grenade_2_s2 And_Saint_{s2}_raised_the_holy_grenade_up_on_high,_saying,_'O_Lord,_bless_this_thy_hand_grenade,_that_with_it_thou_mayst_blow_thine_enemies_to_tiny_bits,_in_thy_mercy.'_And_the_Lord_did_grin.
str_cheat_spawn_horse Spawn_Admin_Horse
str_cheat_spawn_horse_s2 {s2}_Spawned_an_Admin_Horse.
str_cheat_beacon_player Beacon_Player
str_cheat_beacon_player_s2_s3 {s2}_Toggled_Beacon_on_Player_{s3}.
str_cheat_heal_player Heal_Player
str_cheat_heal_player_s2_s3 {s2}_Healed_Player_{s3}.
str_cheat_heal_all Heal_Everyone
str_cheat_heal_all_s2 {s2}_Healed_Everyone.
str_cheat_ammo_player Refill_Player_Ammo
str_cheat_ammo_player_s2_s3 {s2}_Refilled_Player_{s3}'s_Ammo.
str_cheat_ammo_all Refill_Everyone
str_cheat_ammo_all_s2 {s2}_Refilled_Everyone's_Ammo.
str_cheat_tele_to_player Teleport_to_Player
str_cheat_tele_to_player_s2_s3 {s2}_Teleported_to_Player_{s3}.
str_cheat_tele_bring_player Bring_Player
str_cheat_tele_bring_player_s2_s3 {s2}_Teleported_Player_{s3}_to_Himself.
str_cheat_tele_wall Teleport_Through_Wall
str_cheat_tele_wall_s2 {s2}_Teleported.
str_admin_chat Admin_Chat
str_admin_chat_intern Internal_Admin_Chat
str_admin_chat_custom_poll Custom_Poll
str_admin_chat_s1_s0 *Admin*[{s1}]:_{s0}
str_inter_admin_chat_s1_s0 [{s1}]:_{s0}
str_chk_auto_kick Enable_auto-kick/ban
str_num_max_teamkills_before_kick Teamkills_before_auto-kick/ban
str_chk_auto_horse Enable_automatic_killing_of_stray_horses
str_chk_auto_swap Enable_auto-swap_teams_at_siege_and_battle.
str_reset_map Reset_Map
str_reset_map_s2 {s2}_Has_reset_the_Map.
str_console_command Admin_Console
str_player_kicked_cheating_s2 {s2}_Is_auto-kicked_from_the_server_for_cheating.
str_next_page Next_Page
str_auto_assign Auto-assign
str_begin Begin
str_game_rules Game_Rules:^
str_britain_name United_Kingdom
str_france_name French_Empire
str_prussia_name Kingdom_of_Prussia
str_russia_name Russian_Empire
str_austria_name Austrian_Empire
str_rhine_name Confederation_of_the_Rhine
str_infantry Infantry
str_cavalry Cavalry
str_specialists Specialists
str_ranker Ranker
str_equipment Equipment:
str_random Random
str_howitzer Howitzer
str_cannon Cannon
str_all_fire_now All_Fire_Now!
str_left_fire_now Left_Fire_Now!
str_middle_fire_now Middle_Fire_Now!
str_right_fire_now Right_Fire_Now!
str_fire_at_my_command Fire_At_My_Command
str_use_melee_weapons Use_Melee_Weapons
str_use_ranged_weapons Use_Ranged_Weapons
str_melee_weapons Melee_Weapons
str_ranged_weapons Ranged_Weapons
str_formation Formation
str_very_tight Very_Tight
str_tight Tight
str_loose Loose
str_very_loose Very_Loose
str_form_1_row Form_1_Row
str_form_reg0_rows Form_{reg0}_Rows
str_confirm_quit_mission Do_you_really_want_to_quit_the_current_mission_(mission_progress_will_be_lost)?
str_no_troop Free
str_morning Morning
str_noon Noon
str_evening Evening
str_night Night
str_timeofday Time_of_Day:
str_fog_none None
str_fog_light Light
str_fog_medium Medium
str_fog_thick Thick
str_fog_amount Fog_Amount:
str_rain_amount Rain_Amount:
str_mm_stakes_construct Large_Chevaux_de_Frise
str_mm_stakes2_construct Wooden_Stakes
str_sandbags_construct Sandbags
str_chevaux_de_frise_tri_construct Small_Chevaux_de_Frise
str_gabion_construct Gabion
str_fence_construct Fence
str_plank_construct Plank
str_earthwork1_construct Simple_Earthwork
str_explosives_construct Explosive_Crate
str_reg6_build_points Current_build_points:_{reg6}
str_reg7_build_points_cost Cost:_{reg7}_Build_Points
str_repair_prop Repair
str_destructible_object Destructible_Object
str_build_prop Construct_Object
str_dig_prop Dig
str_undig_prop Undig
str_construct_deconstruct Construct/Deconstruct
str_ignite Ignite!
str_invalid_flag_selection Select_a_flag_controlled_by_your_team.
str_invalid_prop_select Not_enough_build_points!
str_invalid_prop_place You_can't_place_this_prop_here!
str_invalid_prop_place_2 You_have_to_wait_half_a_second_between_making_props!
str_invalid_prop_place_3 You_can't_place_this_prop_here_and_you_have_to_wait_half_a_second_between_making_props!
str_sail_brit Marine,_1st_Battalion_-_Royal_Marines
str_sail_fren Marine,_24e_Bataillon_des_Equipages
str_select_track Select_track:
str_music_calls Command_Calls:
str_bagpipe_extras Additional_Tunes_(bagpipe_only):
str_play_together Enable_'Play_Together'
str_drum_britain_1 British_Grenadiers
str_drum_britain_2 The_Girl_I_Left_Behind_Me
