str_no_string|BRAK WIERSZA!
str_cannon_already_has_ball|To działo jest już załadowane kulą!
str_cannon_already_loaded|To działo jest już załadowane!
str_cannot_carry_more_cannon_ammo|Nie możesz unieść już więcej amunicji do dział!
str_cannon_cannot_load_type|Nie możesz załadować tego typu amunicji!
str_need_to_have_a_lighter|Musisz posiadać lontownicę, by odpalić działo!
str_need_to_have_a_ramrod|Musisz posiadać dosyłacz pocisku, by załadować działo!
str_need_to_have_a_ball|Musisz posiadać amunicję, by załadować działo!
str_need_to_have_a_horse|Musisz posiadać w pobliżu zaprzęg konny, by zaprząc działo!
str_horse_already_has_cannon|Ten koń już posiada zaprzężone działo!
str_already_to_many_barricades|Twoja drużyna skorzystała podczas tej rundy ze zbyt wysokiej liczby obwarowań.
str_already_to_many_ammobox|Twoja drużyna skorzystała podczas tej rundy ze zbyt wysokiej liczby amunicji.
str_cannon_is_already_in_use|To działo jest już wykorzystywane.
str_already_to_many_players_class_s21|Zbyt wysoka liczba graczy gra jako {s21}. Zmień rodzaj jednostki.
str_already_to_many_players_rank_mus|Zbyt wysoka liczba graczy gra jako Muzykant w tej jednostce. Wybież inną rangę.
str_already_to_many_players_rank_srg|Zbyt wysoka liczba graczy gra jako {s21} w tej jednostce. Wybież inną rangę.
str_already_to_many_players_rank_off|Zbyt wysoka liczba graczy gra jako {s21} w tej jednostce. Wybież inną rangę.
str_chk_class_limits|Włącz limit klas
str_chk_class_limits_player_count|Min. liczba graczy do włączenia limitu klas:
str_limit_grenadier|Maks. liczba Straży piechotnej w drużynach (%):
str_limit_skirmisher|Maks. liczba Lekkiej piechoty w drużynach (%):
str_limit_rifle|Maks. liczba Lekkich strzelców w drużynach (%):
str_limit_cavalry|Maks. liczba Konnicy w drużynach (%):
str_limit_lancer|Maks. liczba Lansjerów konnych w drużynach (%):
str_limit_hussar|Maks. liczba Husarii konnej w drużynach (%):
str_limit_dragoon|Maks. liczba Dragonów konnych w drużynach (%):
str_limit_cuirassier|Maks. liczba Kirasjerów konnych w drużynach (%):
str_limit_heavycav|Maks. liczba Niepanc. Ciężkiej Kaw. w drużynach (%):
str_limit_artillery|Ograniczenie Artylerzystów w drużynach (%):
str_limit_rocket|Ograniczenie Rakietników w drużynach (%):
str_limit_sapper|Ograniczenie Inżynierów w drużynach (%):
str_limit_musician|Ograniczenie Muzykantów w drużynach (%):
str_limit_sergeant|Ograniczenie Sierżantów w drużynach (%):
str_limit_officer|Ograniczenie Kapitanów w drużynach (%):
str_limit_general|Ograniczenie Generałów w drużynach (%):
str_build_points_team_1|Punkty budowy 1. drużyny:
str_build_points_team_2|Punkty budowy 2. drużyny:
str_allow_multiple_firearms|Zezwól na noszenie wielu broni
str_enable_bonuses|Włącz bonusy
str_bonus_strength|Bonus siły (%):
str_bonus_range|Bonus zasięgu (metry):
str_num_bots_per_squad|Liczba botów w oddziałach:
str_scale_squad_size|Skaluj rozmiar drużyny po współczynniku
str_max_num_bots|Maks. liczba botów:
str_chance_of_falling_off_horse|Prawdopodobieństwo upadku z konia po ciosie (%):
str_damage_from_horse_dying|Obrażenia zadawane jeźdźcowi po śmierci konia (%):
str_admin_start_map_s0_s1_s2_s5_s6|{s0} zmienia mapę na: {s1} w trybie gry: {s2} oraz nacjami: {s5} i {s6}.
str_admin_set_max_num_players_s0_reg1|{s0} zmienia maksymalną liczbę graczy na {reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0} zmienia liczbę botów dla drużyny {s1} na {reg1}.
str_admin_set_friendly_fire_s0_s9|{s0} ustawia wartość dystansowego 'friendly fire' na: {s9}.
str_admin_set_melee_friendly_fire_s0_s9|{s0} ustawia wartość 'friendly fire' w walce wręcz na: {s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0} ustawia odbicie 'friendly fire' w siebie na {reg1} %.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{s0} ustawia obr. 'friendly fire' w przyjaciół na {reg1} %.
str_admin_set_ghost_mode_s0_s1|{s0} ustawia tryb kamery na: {s1}.
str_admin_set_control_block_dir_s0_s1|{s0} ustawia kontrolę kierunku bloku na: {s1}.
str_admin_set_combat_speed_s0_s1|{s0} ustawia prędkość walki na: {s1}.
str_admin_set_respawn_count_s0_s1|{s0} ustawia liczbę odrodzeń obrońców na {s1}.
str_admin_set_add_to_servers_list_s0_s9|{s0} ustawia dodanie serwera do listy serwerów na: {s9}.
str_admin_set_respawn_period_s0_reg1|{s0} zmienia czas odrodzenia na {reg1} sek.
str_admin_set_game_max_minutes_s0_reg1|{s0} zmienia czas między zmianą mapy na {reg1} min.
str_admin_set_round_max_seconds_s0_reg1|{s0} zmienia czas rundy na {reg1} sek.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} ustawia odradzanie graczy w postaci botów na: {s9}.
str_admin_set_game_max_points_s0_reg1|{s0} zmienia maksymalną liczbę pkt. gry na {reg1}.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} zmienia liczbę pkt. za flagi na {reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} zmienia liczbę pkt. za zdobycie flagi na {reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} ustawia początkowy mnożnik złota na {reg1} %.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} ustawia współczynnik złota za walkę na {reg1} %.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} ustawia współczynnik złota za rundę na {reg1} %.
str_admin_set_server_name_s1_s0|{s1} ustawia nazwę serwera na: {s0}
str_admin_set_game_password_s1_s0|{s1} ustawia hasło serwera na: {s0}
str_admin_set_welcome_message_s1|{s1} zmienia wiadomość powitalną serwera.
str_admin_set_welcome_message_s1_s0|{s1} ustawia wiadomość powitalną serwera na: {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} ustawia próg głosowania na {reg1} %.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} ustawia automatyczny balans drużyny na {s1}.
str_admin_set_num_bots_voteable_s0_reg1|{s0} zmienia maks. liczbę botów z prawem głosu na {reg1}.
str_admin_set_factions_voteable_s0_s9|{s0} ustawia możliwość głosowania nad zmianą nacji na: {s9}.
str_admin_set_maps_voteable_s0_s9|{s0} ustawia możliwość głosowania nad zmianą mapy na: {s9}.
str_admin_set_kick_voteable_s0_s9|{s0} ustawia głosowania dot. wyrzucenia na: {s9}.
str_admin_set_ban_voteable_s0_s9|{s0} ustawia głosowania dot. banowania na: {s9}.
str_admin_set_allow_player_banners_s0_s9|{s0} ustawia zezwolenie na własne sztandary na: {s9}.
str_admin_set_force_default_armor_s0_s9|{s0} ustawia wymuszenie minimalnego pancerza na: {s9}.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} ustawia zakaz korzystania z broni dystansowej na: {s9}.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} ustawia auto-wyrzucanie/banowanie za zabójstwa w drużynie na: {s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} ustawia liczbę zab. w drużynie przed auto-wyrzuceniem/zbanowaniem na {reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} ustawia automatycznie zabijanie porzuconych koni na: {s9}.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} ustawia auto-zamianę drużyn podczas oblężeń i bitew na: {s9}.
str_admin_set_use_class_limits_s0_s9|{s0} ustawia limit klas na: {s9}.
str_admin_set_class_limit_player_count_s0_reg1|{s0} ustawia minimalną liczbę graczy wym. do włączenia limitu klas na {reg1}. graczy.
str_admin_set_limit_grenadier_s0_reg1|{s0} ustawia limit klasy Grenadierów na {reg1} % składu drużyny.
str_admin_set_limit_skirmisher_s0_reg1|{s0} ustawia limit klasy Lekkiej piechoty na {reg1} % składu drużyny.
str_admin_set_limit_rifle_s0_reg1|{s0} ustawia limit klasy Strzelców na {reg1} % składu drużyny.
str_admin_set_limit_cavalry_s0_reg1|{s0} ustawia limit klasy kawalerii na {reg1} % składu drużyny.
str_admin_set_limit_lancer_s0_reg1|{s0} ustawia limit klasy Lansjerów na {reg1} % składu kawalerii.
str_admin_set_limit_hussar_s0_reg1|{s0} ustawia limit klasy Husarii na {reg1} % składu kawalerii.
str_admin_set_limit_dragoon_s0_reg1|{s0} ustawia limit klasy Dragonów na {reg1} % składu kawalerii.
str_admin_set_limit_cuirassier_s0_reg1|{s0} ustawia limit klasy Kirasjerów na {reg1} % składu kawalerii.
str_admin_set_limit_heavycav_s0_reg1|{s0} ustawia limit klasy Niepanc. Ciężkiej Kaw. na {reg1} % składu kawalerii.
str_admin_set_limit_artillery_s0_reg1|{s0} ustawia limit klasy Artylerii na {reg1} % składu drużyny.
str_admin_set_limit_rocket_s0_reg1|{s0} ustawia limit klasy Rakietników na {reg1} % składu drużyny.
str_admin_set_limit_sapper_s0_reg1|{s0} ustawia limit klasy Saperów na {reg1} % składu drużyny.
str_admin_set_limit_musician_s0_reg1|{s0} ustawia limit Muzykantów na {reg1}. osób w jednostce.
str_admin_set_limit_sergeant_s0_reg1|{s0} ustawia limit Sierżantów na {reg1}. osób w jednostce.
str_admin_set_limit_officer_s0_reg1|{s0} ustawia limit Oficerów na {reg1}. osób w jednostce.
str_admin_set_limit_general_s0_reg1|{s0} ustawia limit Generałów na {reg1} osób w nacji.
str_admin_set_build_points_team_1_s0_reg1|{s0} ustawia punkty budowy 1. drużyny na {reg1} pkt.
str_admin_set_build_points_team_2_s0_reg1|{s0} ustawia punkty budowy 2. drużyny na {reg1} pkt.
str_admin_set_squad_size_s0_reg1|{s0} ustawia maks. ilość botów w oddziałach na {reg1}.
str_admin_set_scale_squad_size_s0_s9|{s0} ustawia współczynnik rozmiaru drużyny na: {s9}.
str_admin_set_max_num_bots_s0_reg1|{s0} ustawia maks. liczbę botów na {reg1}.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} ustawia zezwolenie na posiadanie wielu broni szt. broni palnej na: {s9}.
str_admin_set_enable_bonuses_s0_s9|{s0} ustawia wykorzystanie bonusów na: {s9}.
str_admin_set_bonus_strength_s0_reg1|{s0} ustawia bonus siły na {reg1}%.
str_admin_set_bonus_range_s0_reg1|{s0} ustawia bonus zasięgu na {reg1}%.
str_admin_set_fall_off_horse_s0_reg1|{s0} ustawia szanse na upadek z konia po trafieniu na {reg1}%.
str_admin_set_horse_dying_s0_reg1|{s0} ustawia obrażenia otrzymywane przez jeźdźca po śmierci konia na {reg1}%.
str_mute_all|Wycisz wszystkich graczy
str_unmute_all|Wyłącz wyciszenie wszystkich graczy
str_slay_player|Zgładź gracza
str_slay_player_s2_s3|Gracz {s2} zgładził gracza {s3}.
str_slay_all|Zgładź wszystkich
str_slay_all_s2|Gracz {s2} zgładził wszystkich.
str_freeze_player|Wstrzymaj gracza
str_freeze_player_s2_s3|Gracz {s2} wstrzymał gracza {s3}.
str_freeze_all|Wstrzymaj wszyst.
str_freeze_all_s2|Gracz {s2} wstrzymał wszystkich.
str_swap_player|Przenieś gracza
str_swap_player_s2_s3|Gracz {s2} przenosi gracza {s3} do drużyny przeciwnej.
str_swap_all|Przenieś wszyst.
str_swap_all_s2|Gracz {s2} przenosi wszystkich do drużyny przeciwnej.
str_forceautobalance_all|Wymuś autobalans
str_forceautobalance_all_s2|Gracz {s2} wymusza autobalans w drużynach.
str_spec_player|Przenieś gracza do obserw.
str_spec_player_s2_s3|Gracz {s2} przenosi gracza {s3} do obserwatorów.
str_spec_all|Przenieś wsz. do obserw.
str_spec_all_s2|Gracz {s2} przenosi wszystkich do obserwatorów.
str_kick_player_s2_s3|Gracz {s2} wyrzuca gracza {s3}.
str_ban_player_s2_s3|Gracz {s2} permanentnie banuje gracza {s3}.
str_ban_player_temp|Zbanuj gracza tymczasowo
str_ban_player_temp_s2_s3|Gracz {s2} tymczasowo banuje gracza {s3}.
str_ban_hammer_s2_s3|Gracz {s2} rzuca Młot Przeznaczenia, który uderza swą Świętą Mocą w gracza {s3}! Żegnaj!
str_admin_cheats|Oszustwa
str_choose_a_cheat_type|Wybierz typ:
str_cheat_spawn_hammer|Przywołaj Młot Przeznaczenia
str_cheat_spawn_hammer_s2|Gracz {s2} przywołał Młot Przeznaczenia.
str_cheat_spawn_hammer_2_s2|I święt{y/a} {s2} wzni{ósł/osła} Młot Przeznaczenia ku niebu mówiąc ''O, Panie, pobłogosław ten Młot Przeznaczenia, by siał zniszczenie pośród wrogów bez litości.'' A Pan uśmiechnął się i skinął.
str_cheat_spawn_shotgun|Przywołaj strzelbę
str_cheat_spawn_shotgun_s2|Gracz {s2} przywołał strzelbę.
str_cheat_spawn_rocketlauncher|Przywołaj rakietnicę
str_cheat_spawn_rocketlauncher_s2|Gracz {s2} przywołał rakietnicę.
str_cheat_spawn_grenade|Przywołaj granat
str_cheat_spawn_grenade_s2|Gracz {s2} przywołał granat.
str_cheat_spawn_grenade_2_s2|I święt{y/a} {s2} wzni{ósł/osła} Granat ku niebu mówiąc ''O, Panie, pobłogosław ten Granat Ręczny, by siał zniszczenie pośród wrogów bez litości.'' A Pan uśmiechnął się i skinął.
str_cheat_spawn_horse|Przywołaj konia admina
str_cheat_spawn_horse_s2|Gracz {s2} przywołał konia admina.
str_cheat_beacon_player|Oznacz gracza
str_cheat_beacon_player_s2_s3|Gracz {s2} oznacza gracza {s3}.
str_cheat_heal_player|Ulecz gracza
str_cheat_heal_player_s2_s3|Gracz {s2} uleczył gracza {s3}.
str_cheat_heal_all|Ulecz wszystkich
str_cheat_heal_all_s2|Gracz {s2} uleczył wszystkich.
str_cheat_ammo_player|Uzupełnij amunicję gracza
str_cheat_ammo_player_s2_s3|Gracz {s2} uzupełnił amunicję gracza {s3}.
str_cheat_ammo_all|Uzupełnij wszystkim
str_cheat_ammo_all_s2|Gracz {s2} uzupełnił amunicję wszystkim.
str_cheat_tele_to_player|Teleportuj do gracza
str_cheat_tele_to_player_s2_s3|Gracz {s2} teleportował się  do gracza {s3}.
str_cheat_tele_bring_player|Sprowadź gracza
str_cheat_tele_bring_player_s2_s3|Gracz {s2} sprowadził do siebie gracza {s3}.
str_cheat_tele_wall|Przejdź przez ścianę
str_cheat_tele_wall_s2|Gracz {s2} przeszedł przez ścianę.
str_admin_chat|Czat administratorski
str_admin_chat_intern|Wewnętrzny czat administratorski
str_admin_chat_s1_s0|*Admin*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|Włącz auto-wyrzucanie/banowanie
str_num_max_teamkills_before_kick|Liczba zabójstw przez auto-wyrzuceniem/banem:
str_chk_auto_horse|Włącz automatyczne zabijanie porzuconych koni
str_chk_auto_swap|Włącz auto-zamianę drużyn w oblężeniach i bitwach
str_reset_map|Przywróć ustawienia
str_reset_map_s2|Gracz {s2} zresetował mapę.
str_console_command|Konsola administratorska
str_player_kicked_cheating_s2|Gracz {s2} został auto-wyrzucony za oszustwa.
str_next_page|Dalej
str_auto_assign|Auto-przypisanie
str_begin|Dalej
str_game_rules|Zasady gry:^
str_britain_name|Wielka Brytania
str_france_name|Cesarstwo Francuskie
str_prussia_name|Królestwo Pruskie
str_russia_name|Cesarstwo Rosyjskie
str_austria_name|Cesarstwo Austriackie
str_rhine_name|Związek Reński
str_infantry|Piechota
str_cavalry|Kawaleria
str_specialists|Specjaliści
str_ranker|Szeregowiec
str_equipment|Wyposażenie:
str_random|Losowe
str_howitzer|Haubica
str_cannon|Armata
str_all_fire_now|Wszyscy - strzelać!
str_left_fire_now|Lewa - strzelać!
str_middle_fire_now|Środek - strzelać!
str_right_fire_now|Prawa - strzelać!
str_fire_at_my_command|Strzelać na rozkaz
str_use_melee_weapons|Używać broni do walki wręcz
str_use_ranged_weapons|Używać broni zasięgowej
str_melee_weapons|Broń do walki wręcz
str_ranged_weapons|Broń zasięgowa
str_formation|Szyk
str_very_tight|Bardzo zwarty
str_tight|Zwarty
str_loose|Luźny
str_very_loose|Bardzo luźny
str_form_1_row|Uformować szereg
str_form_reg0_rows|Uformować szeregi: {reg0}
str_confirm_quit_mission|Czy na pewno chcesz przerwać obecną misję?^(postęp zostanie utracony)
str_no_troop|Brak
str_morning|Poranek
str_noon|Południe
str_evening|Wieczór
str_night|Noc
str_timeofday|Pora dnia:
str_fog_none|Brak
str_fog_light|Słaba
str_fog_medium|Średnia
str_fog_thick|Gęsta
str_fog_amount|Mgła:
str_rain_amount|Opady:
str_mm_stakes_construct|Kozły hiszpańskie (duże)
str_mm_stakes2_construct|Palisada
str_sandbags_construct|Worki z piaskiem
str_chevaux_de_frise_tri_construct|Kozły hiszpańskie (małe)
str_gabion_construct|Kosz szańcowy
str_fence_construct|Zasieki
str_plank_construct|Deska
str_earthwork1_construct|Kopiec ziemny
str_explosives_construct|Skrzynia z ładunkiem
str_reg6_build_points|Dostępne pkt. budowy: {reg6}
str_reg7_build_points_cost|Koszt: {reg7} pkt. budowy
str_repair_prop|Napraw
str_destructible_object|Obiekt zniszczalny
str_build_prop|Buduj
str_dig_prop|Kop
str_undig_prop|Odkop
str_construct_deconstruct|Buduj/Zniszcz
str_ignite|Podpal!
str_invalid_flag_selection|Wybierz flagę kontrolowaną przez Twoją drużynę.
str_invalid_prop_select|Nie wystarczająca liczba punktów budowy!
str_invalid_prop_place|Nie może umieścić w tym miejscu!
str_sail_brit|Sailor, HMS Neptune
str_sail_fren|Sailor, Intrepide
str_select_track|Wybierz ścieżkę:
str_music_calls|Wezwania:
str_bagpipe_extras|Dodatkowe akordy (tylko dudy):
str_play_together|Włącz ''Graj razem''
str_drum_britain_1|British Grenadiers
str_drum_britain_2|The Girl I Left Behind Me
str_drum_britain_3|Lilliburlero
str_drum_britain_4|Men of Harlech
str_drum_britain_5|Rule Britannia
str_drum_france_1|Aux Champs
str_drum_france_2|La Charge
str_drum_france_3|La Diane ou Rigodon
str_drum_france_4|La Grenadiere
str_drum_france_5|Le Pas Cadence
str_drum_prussia_1|York'scher Marsch
str_drum_prussia_3|Hohenfriedberger Marsch
str_drum_prussia_4|Preussischer Lockmarsch
str_drum_prussia_5|Parademarsch der Spielleute
str_drum_prussia_6|Praesentiermarsch
str_drum_russia_1|Pohod Grenaderskij
str_drum_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_drum_russia_3|Marsh Kolonni Idushej v Ataku
str_drum_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_drum_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_drum_austria_1|Oestereeichischer Grenadiermarsch
str_drum_austria_2|Coburger Marsch
str_drum_austria_3|Pappenheimer Marsch
str_drum_austria_4|Pariser Einzugsmarsch
str_drum_austria_5|Prinz von Eugen
str_drum_highland_1|All the Blue Bonnets Are O'er the Border
str_drum_highland_2|Bonnie Dundee
str_drum_signal_1|Do obozu
str_drum_signal_2|Wstrzymać ogień
str_drum_signal_3|Wezwanie dobosza
str_fife_britain_1|British Grenadiers
str_fife_britain_2|The Girl I Left Behind Me
str_fife_britain_3|Lilliburlero March
str_fife_britain_4|Men of Harlech
str_fife_britain_5|Rule Britannia
str_fife_france_1|Aux Champs
str_fife_france_2|La Charge
str_fife_france_3|La Diane ou Rigodon
str_fife_france_4|La Grenadiere
str_fife_france_5|Le Pas Cadence
str_fife_prussia_1|York'scher Marsch
str_fife_prussia_2|Hohenfriedberger Marsch
str_fife_prussia_3|Preussischer Lockmarsch
str_fife_prussia_4|Parademarsch der Spielleute
str_fife_prussia_5|Praesentiermarsch
str_fife_russia_1|Pohod Grenaderskij
str_fife_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_fife_russia_3|Marsh Kolonni Idushej v Ataku
str_fife_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_fife_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_fife_austria_1|Oestereeichischer Grenadiermarsch
str_fife_austria_2|Coburger Marsch
str_fife_austria_3|Pappenheimer Marsch
str_fife_austria_4|Pariser Einzugsmarsch
str_fife_austria_5|Prinz von Eugen
str_bugle_britain_1|British Boots
str_bugle_britain_2|British Light Infantry
str_bugle_france_1|Dans le Hussards
str_bugle_france_2|La Marche
str_bugle_prussia_1|Althessischer Reitermarsch
str_bugle_prussia_2|Fehrbelliner Reitermarsch
str_bugle_prussia_3|Marsch der Freiwilligen Jaeger
str_bugle_russia_1|Pohod Mushketerskij
str_bugle_russia_2|Pohod Artillerijskij i dlia Saperov
str_bugle_russia_3|Pohod Egerskij
str_bugle_austria_1|Strauch Marsch
str_bugle_austria_2|Frohes Leben Marsch
str_bugle_signal_1|Zbiórka
str_bugle_signal_2|Rozluźnić szyk
str_bugle_signal_3|Zgrupować szyk
str_bugle_signal_4|Na wroga
str_bugle_signal_5|Strzelać
str_bagpipes_britain_1|All the Blue Bonnets Are O'er the Border
str_bagpipes_britain_2|Bonnie Dundee
str_bagpipes_extra_1|Black Bear
str_bagpipes_extra_2|Amazing Grace
str_bagpipes_extra_3|Balmoral
str_bagpipes_extra_4|Bonnie Dundee
str_bagpipes_extra_5|Cock o' the North
str_bagpipes_extra_6|Highland Cathedral
str_bagpipes_extra_7|My Home
str_bagpipes_extra_8|Scotland the Brave
str_bagpipes_extra_9|Skye Boat Song
str_piano_tune_1|Beethoven - Fur Elise
str_piano_tune_2|Beethoven - Ecossaise
str_piano_tune_3|Erik Satie - Gymnopedie 3
str_piano_tune_4|Beethoven - Laendler
str_piano_tune_5|Lift Motif
str_piano_tune_6|Bach - Prelude
str_piano_tune_7|Wagner - Bridal Chorus
str_piano_tune_8|Schubert - Ave Maria
str_organ_tune_1|Bach - Toccata and Fugue
str_organ_tune_2|Bach - Toccata and Fugue 2
str_organ_tune_3|Bach - Prelude and Fugue
str_organ_tune_4|Buxtehude - Prelude
str_organ_tune_5|Tiny Fugue
str_organ_tune_6|Wagner - Bridal Chorus
str_organ_tune_7|Bach - Chromatic Fuge
str_organ_tune_8|Bach - Chromatic Fantasia
str_flag_reg3|Flaga {reg3}
str_mp_arabian_harbour_flag_1|Mała karczma
str_mp_arabian_harbour_flag_2|Podwórze
str_mp_arabian_harbour_flag_3|Port
str_mp_arabian_harbour_flag_4|Latarnia
str_mp_arabian_harbour_flag_5|Targ
str_mp_arabian_village_flag_1|Wioska przy winnicy
str_mp_arabian_village_flag_2|Wioska rolnicza
str_mp_arabian_village_flag_3|Ufortyfikowane miasto
str_mp_ardennes_flag_1|Ferme du Fresnois
str_mp_ardennes_flag_2|Ferme de la Grange Dimiere
str_mp_ardennes_flag_3|Strażnica
str_mp_ardennes_flag_4|Chata rybaka
str_mp_ardennes_flag_5|Ferme de Bray
str_mp_ardennes_flag_6|Martwy las
str_mp_ardennes_flag_7|Skały
str_mp_avignon_flag_1|Obóz
str_mp_avignon_flag_2|Miasto
str_mp_avignon_flag_3|Młyn
str_mp_avignon_flag_4|Wioska
str_mp_borodino_flag_1|Miasto
str_mp_borodino_flag_2|Wioska
str_mp_borodino_flag_3|Reduta
str_mp_borodino_flag_4|Młyn
str_mp_borodino_flag_5|Szewardino
str_mp_borodino_flag_6|Wielka reduta
str_mp_borodino_flag_7|Mała reduta
str_mp_columbia_hill_farm_flag_1|Las
str_mp_columbia_hill_farm_flag_2|Stodoła
str_mp_columbia_hill_farm_flag_3|Wiejska chata
str_mp_columbia_hill_farm_flag_4|Winnica
str_mp_european_city_flag_1|Kościół
str_mp_european_city_flag_2|Plac
str_mp_european_city_flag_3|Vince's Corner
str_mp_european_city_flag_4|Ulica
str_mp_french_farm_flag_1|Las
str_mp_french_farm_flag_2|Reduta
str_mp_french_farm_flag_3|Farma
str_mp_hungarian_plains_flag_1|Tkalnia
str_mp_hungarian_plains_flag_2|Miasto
str_mp_hungarian_plains_flag_3|Młyn
str_mp_hungarian_plains_flag_4|Opuszczony dom
str_mp_hungarian_plains_flag_5|Rudera
str_mp_hungarian_plains_flag_6|Posiadłość
str_mp_landshut_flag_1|Landshut
str_mp_landshut_flag_2|Droga do Abensberg
str_mp_landshut_flag_3|Przedmieścia Landshut
str_mp_landshut_flag_4|Most
str_mp_landshut_flag_5|Kamienica
str_mp_landshut_flag_6|Farma
str_mp_landshut_flag_7|Przejście
str_mp_russian_village_flag_1|Wioska drwali
str_mp_russian_village_flag_2|Wioska myśliwych
str_mp_russian_village_flag_3|Rosyjska wioska
str_mp_minden_flag_1|Obóz główny
str_mp_minden_flag_2|Minden
str_mp_minden_flag_3|Hahlen
str_mp_minden_flag_4|Farma Netsband
str_mp_minden_flag_5|Stemmer
str_mp_minden_flag_6|Karczma Todtenhausen
str_mp_minden_flag_7|Kaplica Malbergen
str_mp_minden_flag_8|Neuland
str_mp_minden_flag_9|Finter Reie
str_mp_oaksfield_flag_1|Kwatery główne 1
str_mp_oaksfield_flag_2|Kwatery główne 2
str_mp_oaksfield_flag_3|Farma zboża
str_mp_oaksfield_flag_4|Rynek
str_mp_oaksfield_flag_5|Oakstown
str_mp_quatre_bras_flag_1|Pireaumont
str_mp_quatre_bras_flag_2|Quatre Bras
str_mp_quatre_bras_flag_3|Lasy Bossu
str_mp_quatre_bras_flag_4|Petit Pireaumont
str_mp_quatre_bras_flag_5|Gemioncourt
str_mp_river_crossing_flag_1|Reduta 1
str_mp_river_crossing_flag_2|Reduta 2
str_mp_river_crossing_flag_3|Miasto Martinitz
str_mp_roxburgh_flag_1|Rynek rybny
str_mp_roxburgh_flag_2|Przyrzeczna wioska
str_mp_roxburgh_flag_3|Willa nad jeziorem
str_mp_roxburgh_flag_4|Wioska wyrobników
str_mp_roxburgh_flag_5|Miasto Middleton
str_mp_roxburgh_flag_6|Kapliczka
str_mp_roxburgh_flag_7|Wartownia drwali
str_mp_schemmerbach_flag_1|Farma Schmmerbach
str_mp_schemmerbach_flag_2|Most Schmmerbach
str_mp_schemmerbach_flag_3|Przeprawa przez rzekę
str_mp_schemmerbach_flag_4|Farma konopna
str_mp_slovenian_village_flag_1|Droga do słowiańskiej wioski
str_mp_slovenian_village_flag_2|Nabrzeże
str_mp_slovenian_village_flag_3|Słowiańska wioska
str_mp_slovenian_village_flag_4|Las
str_mp_slovenian_village_flag_5|Rzeka
str_mp_champs_elysees_flag_1|Zachodnia aleja
str_mp_champs_elysees_flag_2|Wschodnia aleja
str_mp_champs_elysees_flag_3|Kwatera S-W
str_mp_champs_elysees_flag_4|Kwatera S-E
str_mp_champs_elysees_flag_5|Kwatera N-E
str_mp_champs_elysees_flag_6|Kwatera N-W
str_mp_champs_elysees_flag_7|Arc de Triomphe
str_mp_fort_vincey_flag_1|Fort Whittington
str_mp_fort_vincey_flag_2|Mała reduta
str_mp_fort_vincey_flag_3|Średnia reduta
str_mp_fort_vincey_flag_4|Okop
str_mp_fort_vincey_flag_5|Wielka reduta
str_mp_swamp_flag_1|Obóz
str_mp_swamp_flag_2|Siegburg
str_mp_swamp_flag_3|Most
str_mp_swamp_flag_4|Bagnista wyspa
str_mp_swamp_flag_5|Główny trakt
str_mp_swamp_flag_6|Cmentarz
str_mp_swamp_flag_7|Chata rybaka
str_mp_walloon_farm_flag_1|Wschodni obóz
str_mp_walloon_farm_flag_2|Zachodni obóz
str_mp_walloon_farm_flag_3|Wschodnie wzgórze
str_mp_walloon_farm_flag_4|Farma
str_mp_walloon_farm_flag_5|Zachodnie wzgórze
str_mp_walloon_farm_flag_6|Reduta
