str_no_string|STRING MANQUANT !
str_kicking_a_player_is_not_voteable|Les votes pour expulsion sont impossibles.
str_banning_a_player_is_voteable|Les votes pour bannissement sont possibles.
str_banning_a_player_is_not_voteable|Les votes pour bannissement sont impossibles.
str_player_banners_are_allowed|Les bannières perso sont autorisées.
str_player_banners_are_not_allowed|Les bannières perso ne sont pas autorisées.
str_default_armor_is_forced|L'armure par défaut est imposée.
str_default_armor_is_not_forced|L'armure par défaut n'est pas imposée.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Pourcentage de votes positifs requis pour qu'un vote soit accepté : {reg0}%.
str_auto_team_balance_threshold_is_reg0|Seuil de rééquilibrage automatique des équipes : {reg0}.
str_starting_gold_ratio_is_reg0|Le taux d'or de départ est de {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Le ratio d'or gagné au combat est de {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Le bonus d'or par round est de {reg0}%.
str_point_gained_from_flags_is_reg0|Points générés par les drapeaux : {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Points gagnés par la capture des drapeaux :{reg0}%.
str_map_time_limit_is_reg0|La durée maximale de la carte est de {reg0} minutes.
str_team_points_limit_is_reg0|Le nombre de points maximal par équipe est de {reg0}.
str_defender_spawn_count_limit_is_s1|Nombre de vie des défenseurs : {s1}.
str_system_error|ERREUR SYSTEME NOM DE DIEU !
str_routed_2|En déroute
str_s42|{s42}
str_you|Vous
str_we|Nous
str_quick_battle_french_farm|Champs francais
str_quick_battle_landshut|Landshut
str_quick_battle_river_crossing|Traversée du fleuve
str_quick_battle_spanish_village|Village espagnol
str_quick_battle_strangefields|Strangefields
str_quick_battle_scene_1|Collines	
str_quick_battle_scene_2|Plaine enneigée
str_quick_battle_scene_3|Forêt
str_quick_battle_scene_4|Steppe
str_quick_battle_scene_6|Désert
str_map_basic|Plan
str_game_type_basic|Mode de jeu
str_battle|Bataille
str_character|Personnage
str_player|Joueur
str_enemy|Ennemi
str_faction|Nation
str_start|Démarrer
str_custom_battle|Bataille personnalisée
str_plus|+
str_minus|-
str_server_name_s0|Nom du serveur: {s0}
str_map_name_s0|Nom de la carte: {s0}
str_game_type_s0|Mode de jeu: {s0}
str_remaining_time_s0reg0_s1reg1|Temps Restant: {s0} {reg0}: {s1} {reg1}
str_a_duel_request_is_sent_to_s0|Une provocation en duel est envoyée à {s0}.
str_s0_offers_a_duel_with_you|{s0} vous provoque en duel.
str_your_duel_with_s0_is_cancelled|Votre duel avec {s0} est annulé.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|Un duel entre {s0} et vous va commencer dans 3 secondes.
str_you_have_lost_a_duel|Vous avez perdu le duel.
str_you_have_won_a_duel|Vous avez gagné le duel !
str_server_s0|[SERVEUR]: {s0}
str_disallow_ranged_weapons|Interdire les armes à feu
str_ranged_weapons_are_disallowed|Les armes à feu ne sont pas autorisés.
str_ranged_weapons_are_allowed|Les armes à feu sont autorisées.
str_duel_starts_in_reg0_seconds|Le duel commence dans {reg0} secondes ...
str_true|Activé
str_false|Désactivé
str_teamkilled_s1_s2|{s1} {s2} teamkilled.
str_kick_server_kills_first_s1_reg5|{s1} est expulsé automatiquement pour avoir TK {reg5} joueurs.
str_kick_server_kills_second_s1_reg5|{s1} est expulsé automatiquement pour avoir TK {reg5} joueurs pour la deuxième fois.
str_ban_server_kills_s1_reg5|{s1} est autoban pour avoir TK à de nombreuses reprises.
str_warning_message_first_reg5|Vous avez déjà TK {reg5} joueurs cette map, faites attention.
str_warning_message_second_reg5|Vous avez déjà TK {reg5} joueurs sur cette map pour la seconde fois !
str_kick_to_message_first|Vous avez été expulsé pour TK répétés, premier avertissement.
str_kick_to_message_second|Vous avez été expulsé pour TK répétés, dernier avertissement.
str_ban_to_message|Vous êtes banni pour avoir TK trop de vos petits camarades, adieu !
str_auto_kick_message_s1|{s1} a été expulsé pour TK répétés.
str_auto_ban_message_s1|{s1} a été banni pour avoir TK ses petits camarades.
str_server_hq_base_retake_s1|Reprenez la base de {s1} !
str_server_hq_base_attack_s1|Attaquez la base de {s1} !
str_player_left_server_s1_reg13|{s1} a quitté le jeu avec l'ID: {reg13}
str_push_cannon|Pousser le canon
str_fire_cannon|Faire feu
str_aim_cannon|Prendre le contrôle
str_unlimber_cannon|Détacher le canon
str_limber_cannon|Attacher le canon
str_load_cartridge|Charger la munition
str_load_bomb|Charger une bombe
str_load_rocket|Charger une fusée
str_reload_cannon|Recharger le canon
str_pick_up_round|Prendre un boulet
str_pick_up_shell|Prendre un obus
str_pick_up_canister|Prendre la mitraille
str_pick_up_bomb|Prendre une bombe
str_pick_up_rocket|Prendre une fusée
str_play_piano|Jouer au piano
str_play_organ|Jouer de l'Orgue
str_take_a_shit|Utiliser les toilettes
str_play_bell|Sonner la cloche
str_take_ship_control|Prendre le contrôle
str_cannot_use_piano|Vous ne pouvez pas utiliser le piano !
str_cannot_use_organ|Vous ne pouvez pas utiliser l'orgue !
str_cannot_use_piano_angle|Changez de côté !
str_cannot_use_organ_angle|Changez de côté !
str_cannot_use_toilet|Pour pisser, il faut descendre du cheval !.
str_piano_in_use|Quelqu'un d'autre joue déjà du piano !
str_organ_in_use|Quelqu'un d'autre joue déjà de l'orgue !
str_toilet_in_use|C'est occupé !
str_cannot_use_cannon|Il faut faire partie du régiment d'artillerie !
str_cannot_use_rocket||Il faut faire partie du régiment d'artillerie  !
str_cannon_not_loaded|Le canon n'est pas chargé !
str_cannon_already_has_ball|Ce canon a déjà un boulet !
str_cannon_already_loaded|Ce canon est déjà chargé !
str_cannot_carry_more_cannon_ammo|Vous ne pouvez pas porter d'avantage de munitions de canon !
str_cannon_cannot_load_type|Ce canon ne peut pas charger ce type de munition
str_need_to_have_a_lighter|Vous avez besoin d'un boutefeu pour tirer un coup de canon !
str_need_to_have_a_ramrod|Vous avez besoin d'un écouvillon pour charger un canon!
str_need_to_have_a_ball|Vous devez avoir des munitions pour charger un canon !
str_need_to_have_a_horse|Vous avez besoin d'un attelage à proximité pour accrocher un canon !
str_horse_already_has_cannon|Ce cheval a déjà son canon !
str_already_to_many_barricades|Votre équipe a construit trop de barricades pour ce tour.
str_already_to_many_ammobox|Votre équipe a déjà utilisé trop de boîtes de munitions.
str_cannon_is_already_in_use|Ce canon est déjà utilisé.
str_already_to_many_players_class_s21|Trop de {s21}. Choisissez une autre classe.
str_already_to_many_players_rank_mus|Trop de musiciens dans cette unité. Choisissez une autre classe.
str_already_to_many_players_rank_srg|Trop de {s21} dans cette unité. Choisissez une autre classe.
str_already_to_many_players_rank_off|Trop de {s21} dans cette unité. Choisissez une autre classe.
str_chk_class_limits|Limites de classes activées
str_chk_class_limits_player_count|Joueurs mini pour limites de classes :
str_limit_grenadier|Pourcentage de gardes à pied par  équipe :
str_limit_skirmisher|Pourcentage d'infanterie légère par équipe :
str_limit_rifle|Pourcentage de chasseurs :
str_limit_cavalry|Pourcentage de cavaliers par  équipe :
str_limit_lancer|Pourcentage de lanciers par  équipe :
str_limit_hussar|Pourcentage de hussards :
str_limit_dragoon|Pourcentage de dragons :
str_limit_cuirassier|Pourcentage de cuirassiers :
str_limit_heavycav|Pourcentage de cavalerie lourde :
str_limit_artillery|Pourcentage d'artilleurs par  équipe :
str_limit_rocket|Pourcentage de fuséens par équipe :
str_limit_sapper|Pourcentage de sapeurs par  équipe :
str_limit_musician|Nombre de musiciens par  unité :
str_limit_sergeant|Nombre de sous-officiers par  unité :
str_limit_officer|Nombre de capitaines par  unité :
str_limit_general|Nombre de généraux par équipe :
str_build_points_team_1|Points de construction pour l'équipe 1:
str_build_points_team_2|Points de construction pour l'équipe 2:
str_allow_multiple_firearms|Autoriser à porter deux fusils
str_enable_bonuses|Activer les bonus
str_bonus_strength|Force du bonus (%) :
str_bonus_range|Portée du bonus en mètres :
str_num_bots_per_squad|Nombre de bots par escouade :
str_scale_squad_size|Adapter la taille de l'escouade
str_max_num_bots|Nombre maximal de bots :
str_chance_of_falling_off_horse|Risque de tomber du cheval lorsqu'il est touché (%):
str_damage_from_horse_dying|Dégâts infligés au cavalier quand le cheval meurt (%):
str_admin_start_map_s0_s1_s2_s5_s6|{s0} a chargé la carte {s1} en mode {s2} avec les factions {s5} et {s6}.
str_admin_set_max_num_players_s0_reg1|{s0} a fait passer le nombre max de joueurs à {reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0} a fait passer le nombre de bots pour {s1} à {reg1}.
str_admin_set_friendly_fire_s0_s9|{s0} a ajusté le tir ami à {s9}.
str_admin_set_melee_friendly_fire_s0_s9|{s0} a ajusté les dégâts amis en mêlée à {s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0} a ajusté les dommages sur soi du tir ami à {reg1}%.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{s0} a ajusté les dommages sur autrui du tir ami à {reg1}%.
str_admin_set_ghost_mode_s0_s1|{s0} a réglé la caméra spectateur sur : {s1}.
str_admin_set_control_block_dir_s0_s1|{s0} a réglé le contrôle du blocage sur : {s1}.
str_admin_set_combat_speed_s0_s1|{s0} a réglé la vitesse de combat sur : {s1}.
str_admin_set_respawn_count_s0_s1|{s0} a réglé le nombre de respawn pour les défenseurs sur {s1}.
str_admin_set_add_to_servers_list_s0_s9|{s0} a réglé ajouter le serveur à la liste des serveurs sur : {s9}.
str_admin_set_respawn_period_s0_reg1|{s0} a fait passer le temps de respawn à {reg1} secondes.
str_admin_set_game_max_minutes_s0_reg1|{s0} a fait passer la durée maximale de la carte à {reg1} minutes.
str_admin_set_round_max_seconds_s0_reg1|{s0} a fait passer la durée du round à {reg1} secondes.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} a réglé le respawn des joueurs sur : {s9}.
str_admin_set_game_max_points_s0_reg1|{s0} a fait passer le nombre de points maximal à {reg1}.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} a fait passer le ratio de points généré par les drapeaux à {reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} a fait passer le ration de points générés par la capture de drapeaux à {reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} a réglé le multiplicateur d'or initial sur {reg1}%.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} a réglé le multiplicateur d'or de combat sur {reg1}%.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} a réglé le multiplicateur d'or par tour sur {reg1}%.
str_admin_set_server_name_s1_s0|{s1} a changé le nom du serveur pour : {s0}
str_admin_set_game_password_s1_s0|{s1} a changé le mot de passe du serveur pour : {s0}
str_admin_set_welcome_message_s1|{s1} a changé le message de bienvenue du serveur.
str_admin_set_welcome_message_s1_s0|{s1} a changé le message de bienvenue du serveur pour : {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} a fait passer le ratio de votes à {reg1}%.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} a fait passer la limite de rééquilibrage auto des équipes à {s1}.
str_admin_set_num_bots_voteable_s0_reg1|{s0} a fait passer le nombre maximal de bots pour un vote à {reg1}.
str_admin_set_factions_voteable_s0_s9|{s0} a réglé l'option faction votables sur : {s9}.
str_admin_set_maps_voteable_s0_s9|{s0} a réglé l'option cartes votables sur : {s9}.
str_admin_set_kick_voteable_s0_s9|{s0} a réglé l'option expulsion votable sur : {s9}.
str_admin_set_ban_voteable_s0_s9|{s0} a réglé l'option ban votable sur : {s9}.
str_admin_set_allow_player_banners_s0_s9|{s0} a réglé l'option bannières individuelles sur : {s9}.
str_admin_set_force_default_armor_s0_s9|{s0} a réglé l'option forcer l'armure par défaut sur : {s9}.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} a réglé l'option interdire les armes à feu sur : {s9}.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} a réglé l'auto-kick/ban pour teamkills sur : {s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} a réglé le nombre de teamkills avant auto-kick/ban sur {reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} a réglé l'élimination auto des chevaux errants sur : {s9}.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} a réglé le changement auto d'équipe sur : {s9}.
str_admin_set_use_class_limits_s0_s9|{s0} a réglé les limites de classe sur : {s9}. 
str_admin_set_class_limit_player_count_s0_reg1|{s0} a fait passer le nombre minimal de joueurs pour les limites de classes à {reg1}.
str_admin_set_limit_grenadier_s0_reg1|{s0} a fait passer la limite de classe pour les grenadiers à {reg1}% de l'équipe.
str_admin_set_limit_skirmisher_s0_reg1|{s0} a fait passer la limite de classe pour l'infanterie légère à {reg1}% de l'équipe.
str_admin_set_limit_rifle_s0_reg1|{s0} a fait passer la limite de classe pour les franc-tireurs à {reg1}% de l'infanterie légère.
str_admin_set_limit_cavalry_s0_reg1|{s0} a fait passer la limite de classe pour les cavaliers à {reg1}% de l'équipe.
str_admin_set_limit_lancer_s0_reg1|{s0} a fait passer la limite de classe pour les lanciers à {reg1}% des cavaliers.
str_admin_set_limit_hussar_s0_reg1|{s0} a fait passer la limite de classe pour les hussards à {reg1}% des cavaliers.
str_admin_set_limit_dragoon_s0_reg1|{s0} a fait passer la limite de classe pour les dragons à {reg1}% des cavaliers.
str_admin_set_limit_cuirassier_s0_reg1|{s0} a fait passer la limite de classe pour les cuirassiers à {reg1}% des cavaliers.
str_admin_set_limit_heavycav_s0_reg1|{s0} a fait passer la limite de classe pour la cavalerie lourde à {reg1}% des cavaliers.
str_admin_set_limit_artillery_s0_reg1|{s0} a fait passer la limite de classe pour les artilleurs à {reg1}% de l'équipe.
str_admin_set_limit_rocket_s0_reg1|{s0} a fait passer la limite de classe pour les fuséens à {reg1}% de l'équipe.
str_admin_set_limit_sapper_s0_reg1|{s0} a fait passer la limite de classe pour les sapeurs à {reg1}% de l'équipe.
str_admin_set_limit_musician_s0_reg1|{s0} a fait passer le nombre de musiciens à {reg1} par unité.
str_admin_set_limit_sergeant_s0_reg1|{s0} a fait passer le nombre de sous-officiers à {reg1} par unité.
str_admin_set_limit_officer_s0_reg1|{s0} a fait passer le nombre d'officiers à {reg1} par unité.
str_admin_set_limit_general_s0_reg1|{s0}a fait passer le nombre de généraux à {reg1} par faction.
str_admin_set_build_points_team_1_s0_reg1|{s0} a fait passer les points de construction de l'équipe 1 à {reg1}.
str_admin_set_build_points_team_2_s0_reg1|{s0} a fait passer les points de construction de l'équipe 2 à {reg1}.
str_admin_set_squad_size_s0_reg1|{s0} a fait passer la taille de l'escouade à {reg1} bots.
str_admin_set_scale_squad_size_s0_s9|{s0} a réglé l'option ajustement de la taille des escouades sur : {s9}.
str_admin_set_max_num_bots_s0_reg1|{s0} a fait passer le nombre max de bots à {reg1}.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} a réglé l'option porter plusieurs armes à feu sur : {s9}.
str_admin_set_enable_bonuses_s0_s9|{s0} a réglé l'option utilisation des bonus sur : {s9}.
str_admin_set_bonus_strength_s0_reg1|{s0} a fait passer la force des bonus à {reg1}%.
str_admin_set_bonus_range_s0_reg1|{s0} a fait passer la portée des bonus à {reg1} mètres.
str_admin_set_fall_off_horse_s0_reg1|{s0} a fait passer la probabilité de tomber à cheval si ce dernier est touché à {reg1}%.
str_admin_set_horse_dying_s0_reg1|{s0} a fait passer les dommages causés au cavalier dont le cheval meurt à {reg1}%.
str_mute_all|Rendre muets tous les joueurs
str_unmute_all|Rendre la parole à tous les joueurs
str_slay_player|Tuer un joueur
str_slay_player_s2_s3|{s2} a tué {s3}.
str_slay_all|Tuer tout le monde
str_slay_all_s2|{s2} a tué tout le monde.
str_freeze_player|Geler un joueur
str_freeze_player_s2_s3|{s2} a gelé le joueur {s3}.
str_freeze_all|Geler tout le monde
str_freeze_all_s2|{s2} a gelé tout le monde.
str_swap_player|Faire changer d'équipe
str_swap_player_s2_s3|{s2} a fait passer {s3} à l'équipe adverse.
str_swap_all|Echanger les deux équipes
str_swap_all_s2|{s2} a échangé les deux équipes.
str_forceautobalance_all|Forcer l'équilibrage auto
str_forceautobalance_all_s2|{s2} a forcé l'équilibrage auto.
str_spec_player|Passer un joueur en spec
str_spec_player_s2_s3|{s2} a fait passer {s3} en spectateur.
str_spec_all|Mettre tout le monde en spec
str_spec_all_s2|{s2} a mis tout le monde en spectateur.
str_kick_player_s2_s3|{s2} a expulsé {s3}.
str_ban_player_s2_s3|{s2} a banni définitivement {s3}.
str_ban_player_temp|Ban temporaire (1h)
str_ban_player_temp_s2_s3|{s2} a banni temporairement {s3} (1h).
str_ban_hammer_s2_s3|Saint {s2} à écrasé {s3} avec le Marteau de Ban. Mince alors !
str_admin_cheats|Triche
str_choose_a_cheat_type|Choisir un type de triche :
str_cheat_spawn_hammer|Marteau de Ban
str_cheat_spawn_hammer_s2|{s2} a sorti le Marteau de Ban.
str_cheat_spawn_hammer_2_s2|Et Saint {s2} brandit le Marteau de Ban, et déclara : « Ô Seigneur, bénis ce saint marteau, puisses-tu écrabouiller tes ennemis dans ta miséricorde.
str_cheat_spawn_shotgun|Fusil à pompe
str_cheat_spawn_shotgun_s2|{s2} a sorti le fusil à pompe.
str_cheat_spawn_rocketlauncher|Lance-roquettes
str_cheat_spawn_rocketlauncher_s2|{s2} a sorti un lance-roquettes.
str_cheat_spawn_grenade|Sainte Grenade
str_cheat_spawn_grenade_s2|{s2} a sorti la Sainte Grenade.
str_cheat_spawn_grenade_2_s2|Et Saint {s2} souleva bien haut la sainte grenade, et déclara : « Ô Seigneur, bénis cette grenade, puisses-tu réduire tes ennemis en petites morceaux dans ta miséricorde.
str_cheat_spawn_horse|Cheval admin
str_cheat_spawn_horse_s2|{s2} a fait apparaître un cheval admin.
str_cheat_beacon_player|Mettre un joueur en évidence
str_cheat_beacon_player_s2_s3|{s2} a mis en évidence le joueur {s3}.
str_cheat_heal_player|Guérir
str_cheat_heal_player_s2_s3|{s2} a guéri {s3}.
str_cheat_heal_all|Guérir tout le monde.
str_cheat_heal_all_s2|{s2} a guéri tout le monde.
str_cheat_ammo_player|Remplir les munitions
str_cheat_ammo_player_s2_s3|{s2} a rempli les munitions de {s3}.
str_cheat_ammo_all|Redonner des munitions à tout le monde.
str_cheat_ammo_all_s2|{s2} a redonné des munitions à tout le monde.
str_cheat_tele_to_player|Se téléporter au joueur
str_cheat_tele_to_player_s2_s3|{s2} s'est téléporté jusqu'à {s3}.
str_cheat_tele_bring_player|Téléporter le joueur sur votre position.
str_cheat_tele_bring_player_s2_s3|{s2} a téléporté {s3} sur sa position.
str_cheat_tele_wall|Se téléporter en avant
str_cheat_tele_wall_s2|{s2} s'est téléporté.
str_admin_chat|Chat admin
str_admin_chat_intern|Chat admin interne
str_admin_chat_custom_poll|Custom Poll{***}
str_admin_chat_s1_s0|*Admin*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|Activer auto-kick/ban
str_num_max_teamkills_before_kick|Nombre de TK avant auto-kick/ban
str_chk_auto_horse|Activer l'élimination auto des chevaux errants.
str_chk_auto_swap|Activer le changement automatique d'équipe.
str_reset_map|Relancer la map
str_reset_map_s2|{s2} Lancer la map
str_console_command|Console de commmande
str_player_kicked_cheating_s2|{s2} a été expulsé automatiquement du serveur pour triche.
str_next_page|Page suivante
str_auto_assign|Auto-assigner
str_begin|Jouer
str_game_rules|Règles du jeu: ^
str_britain_name|Royaume-Uni
str_france_name|Empire français
str_prussia_name|Royaume de Prusse
str_russia_name|Empire de Russie
str_austria_name|Empire d'Autriche
str_rhine_name|Confédération du Rhin
str_infantry|Infanterie
str_cavalry|Cavalerie
str_specialists|Spécialistes
str_ranker|Homme du rang
str_equipment|Equipement :
str_random|Aléatoire
str_howitzer|Obusier
str_cannon|Canon
str_all_fire_now|Feu de peloton !
str_left_fire_now|Flanc gauche, feu !
str_middle_fire_now|Au centre, feu !
str_right_fire_now|Flanc droit, feu !
str_fire_at_my_command|Feu à mon commandement
str_use_melee_weapons|Utiliser les armes blanches
str_use_ranged_weapons|Utiliser les armes à feu
str_melee_weapons|Armes blanches
str_ranged_weapons|Armes à feu
str_formation|Formation
str_very_tight|Très serrée
str_tight|Serrée
str_loose|Dispersée
str_very_loose|Très dispersée
str_form_1_row|Formez 1 rang
str_form_reg0_rows|Formez {reg0} lignes
str_confirm_quit_mission|Voulez-vous vraiment quitter la mission en cours ? Les données seront perdues.
str_no_troop|Emplacement libre.
str_morning|Matin
str_noon|Midi
str_evening|Soir
str_night|Nuit
str_timeofday|Heure :
str_fog_none|Aucun
str_fog_light|Léger
str_fog_medium|Moyen
str_fog_thick|Épais
str_fog_amount|Brouillard :
str_rain_amount|Pluie :
str_mm_stakes_construct|Barricades
str_mm_stakes2_construct|Pieux en bois
str_sandbags_construct|Sacs de sable
str_chevaux_de_frise_tri_construct|Cheval de frise
str_gabion_construct|Gabion
str_fence_construct|Clôture
str_plank_construct|Planche
str_earthwork1_construct|Terrassement
str_explosives_construct|Caisse d'explosifs
str_reg6_build_points|Points de construction: {reg6} 
str_reg7_build_points_cost|Coût : {reg7} points.
str_repair_prop|Réparer
str_destructible_object|Objet destructible
str_build_prop|Construire
str_dig_prop|Creuser
str_undig_prop|Décreuser
str_construct_deconstruct|Construire / Démolir
str_ignite|Amorcer !
str_invalid_flag_selection|Choisissez un drapeau contrôlé par votre équipe.
str_invalid_prop_select|Pas assez de points de construction !
str_invalid_prop_place|Vous ne pouvez pas placer cet objet ici !
str_sail_brit|Marin, HMS Neptune
str_sail_fren|Marin, L'Intrépide
str_select_track|Sélection d'une musique :
str_music_calls|Musiques de manœuvre :
str_bagpipe_extras|Musique supplémentaire (cornemuse seulement):
str_play_together|Jeu coordonné
str_drum_britain_1|British Grenadiers
str_drum_britain_2|The Girl I Left Behind Me
str_drum_britain_3|Lilliburlero
str_drum_britain_4|Men of Harlech
str_drum_britain_5|Rule Britannia
str_drum_france_1|Aux Champs
str_drum_france_2|La Charge
str_drum_france_3|La Diane et le Rigodon
str_drum_france_4|La Grenadière
str_drum_france_5|Le Pas Cadencé
str_drum_prussia_1|York'scher Marsch
str_drum_prussia_3|Hohenfriedberger Marsch
str_drum_prussia_4|Preussischer Lockmarsch
str_drum_prussia_5|Parademarsch der Spielleute
str_drum_prussia_6|Praesentiermarsch
str_drum_russia_1|Pohod Grenaderskij
str_drum_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_drum_russia_3|Marsh Kolonni Idushej v Ataku
str_drum_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_drum_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_drum_austria_1|Oestereeichischer Grenadiermarsch
str_drum_austria_2|Coburger Marsch
str_drum_austria_3|Pappenheimer Marsch
str_drum_austria_4|Pariser Einzugsmarsch
str_drum_austria_5|Prinz von Eugen
str_drum_highland_1|All the Blue Bonnets Are O'er the Border
str_drum_highland_2|Bonnie Dundee
str_drum_signal_1|Camp, Taps
str_drum_signal_2|Cease fire
str_drum_signal_3|Drummer Call
str_fife_britain_1|British Grenadiers
str_fife_britain_2|The Girl I Left Behind Me
str_fife_britain_3|Lilliburlero March
str_fife_britain_4|Men of Harlech
str_fife_britain_5|Rule Britannia
str_fife_france_1|Aux Champs
str_fife_france_2|La Charge
str_fife_france_3|La Diane et le Rigodon
str_fife_france_4|La Grenadière
str_fife_france_5|Le Pas Cadencé
str_fife_prussia_1|York'scher Marsch
str_fife_prussia_2|Hohenfriedberger Marsch
str_fife_prussia_3|Preussischer Lockmarsch
str_fife_prussia_4|Parademarsch der Spielleute
str_fife_prussia_5|Praesentiermarsch
str_fife_russia_1|Pohod Grenaderskij
str_fife_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_fife_russia_3|Marsh Kolonni Idushej v Ataku
str_fife_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_fife_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_fife_austria_1|Oestereeichischer Grenadiermarsch
str_fife_austria_2|Coburger Marsch
str_fife_austria_3|Pappenheimer Marsch
str_fife_austria_4|Pariser Einzugsmarsch
str_fife_austria_5|Prinz von Eugen
str_bugle_britain_1|British Boots
str_bugle_britain_2|British Light Infantry
str_bugle_france_1|Dans les Hussards
str_bugle_france_2|La Marche
str_bugle_prussia_1|Althessischer Reitermarsch
str_bugle_prussia_2|Fehrbelliner Reitermarsch
str_bugle_prussia_3|Marsch der Freiwilligen Jaeger
str_bugle_russia_1|Pohod Mushketerskij
str_bugle_russia_2|Pohod Artillerijskij i dlia Saperov
str_bugle_russia_3|Pohod Egerskij
str_bugle_austria_1|Strauch Marsch
str_bugle_austria_2|Frohes Leben Marsch
str_bugle_signal_1|Assemble the Men
str_bugle_signal_2|Extend Lines
str_bugle_signal_3|Close Ranks
str_bugle_signal_4|On Enemy
str_bugle_signal_5|Open Fire
str_bagpipes_britain_1|All the Blue Bonnets Are O'er the Border
str_bagpipes_britain_2|Bonnie Dundee
str_bagpipes_extra_1|Black Bear
str_bagpipes_extra_2|Amazing Grace
str_bagpipes_extra_3|Balmoral
str_bagpipes_extra_4|Bonnie Dundee
str_bagpipes_extra_5|Cock o' the North
str_bagpipes_extra_6|Highland Cathedral
str_bagpipes_extra_7|My Home
str_bagpipes_extra_8|Scotland the Brave
str_bagpipes_extra_9|Skye Boat Song
str_piano_tune_1|Beethoven - Fur Elise
str_piano_tune_2|Beethoven - Ecossaise
str_piano_tune_3|Erik Satie - Gymnopedie 3
str_piano_tune_4|Beethoven - Laendler
str_piano_tune_5|Lift Motif
str_piano_tune_6|Bach - Prelude
str_piano_tune_7|Wagner - Bridal Chorus
str_piano_tune_8|Schubert - Ave Maria
str_organ_tune_1|Bach - Toccata and Fugue
str_organ_tune_2|Bach - Toccata and Fugue 2
str_organ_tune_3|Bach - Prelude and Fugue
str_organ_tune_4|Buxtehude - Prelude
str_organ_tune_5|Tiny Fugue
str_organ_tune_6|Wagner - Bridal Chorus
str_organ_tune_7|Bach - Chromatic Fuge
str_organ_tune_8|Bach - Chromatic Fantasia
str_flag_reg3|Signaler {reg3} 
str_mp_arabian_harbour_flag_1|Petite auberge
str_mp_arabian_harbour_flag_2|Cour
str_mp_arabian_harbour_flag_3|Port
str_mp_arabian_harbour_flag_4|Phare
str_mp_arabian_harbour_flag_5|Marché
str_mp_arabian_village_flag_1|Village des sommeliers
str_mp_arabian_village_flag_2|Village des fermiers
str_mp_arabian_village_flag_3|Ville fortifiée
str_mp_ardennes_flag_1|Ferme du Fresnois
str_mp_ardennes_flag_2|Ferme de la Grange Dimiere
str_mp_ardennes_flag_3|Tour de Garde
str_mp_ardennes_flag_4|Cabâne du Pécheur
str_mp_ardennes_flag_5|Ferme de Bray
str_mp_ardennes_flag_6|Forêt morte
str_mp_ardennes_flag_7|Rochers
str_mp_avignon_flag_1|Camp
str_mp_avignon_flag_2|Ville
str_mp_avignon_flag_3|Moulin
str_mp_avignon_flag_4|Village
str_mp_borodino_flag_1|Ville
str_mp_borodino_flag_2|Village
str_mp_borodino_flag_3|Redoute
str_mp_borodino_flag_4|Moulin
str_mp_borodino_flag_5|Shevradino
str_mp_borodino_flag_6|Grande Redoute
str_mp_borodino_flag_7|petite redoute
str_mp_columbia_hill_farm_flag_1|Forêt
str_mp_columbia_hill_farm_flag_2|Grange
str_mp_columbia_hill_farm_flag_3|Ferme
str_mp_columbia_hill_farm_flag_4|Vignoble
str_mp_european_city_flag_1|Église
str_mp_european_city_flag_2|Centre
str_mp_european_city_flag_3|Le coin de Vince
str_mp_european_city_flag_4|Rue
str_mp_french_farm_flag_1|Forêt
str_mp_french_farm_flag_2|Redoude
str_mp_french_farm_flag_3|Ferle
str_mp_hungarian_plains_flag_1|Le Mêtier à Tisser
str_mp_hungarian_plains_flag_2|La Ville
