trp_player|Игрок
trp_russian_infantry_rifle_nco_pl|Унтер-офицер
trp_russian_infantry_rifle_officer|21st Jaeger Regiment
trp_russian_infantry_rifle_officer_pl|Офицер
trp_russian_infantry_rifle_horn|21st Jaeger Regiment
trp_russian_infantry_rifle_horn_pl|Горнист
trp_russian_hussar|Сумской гусарский полк
trp_russian_hussar_pl|Гусары
trp_russian_hussar_nco|Sumskiy Hussar Regiment
trp_russian_hussar_nco_pl|Унтер-офицер
trp_russian_hussar_officer|Sumskiy Hussar Regiment
trp_russian_hussar_officer_pl|Офицер
trp_russian_hussar_trumpet|Sumskiy Hussar Regiment
trp_russian_hussar_trumpet_pl|Трубач
trp_russian_uhlan|Литовский Уланский Полк
trp_russian_uhlan_pl|Улан
trp_russian_uhlan_nco|Литовские Уланы
trp_russian_uhlan_nco_pl|Штандартоносец
trp_russian_uhlan_officer|Литовские Уланы
trp_russian_uhlan_officer_pl|Офицер
trp_russian_uhlan_trumpet|Литовские Уланы
trp_russian_uhlan_trumpet_pl|Трубач
trp_russian_cossack|Донской Харитонова 7-го казачий полк
trp_russian_cossack_pl|Уланы
trp_russian_cossack_nco|Don Cossacks
trp_russian_cossack_nco_pl|Урядник
trp_russian_cossack_officer|Don Cossacks
trp_russian_cossack_officer_pl|Атаман
trp_russian_dragoon|Киевский драгунский полк
trp_russian_dragoon_pl|Драгуны
trp_russian_dragoon_nco|Kiev Dragoon Regiment
trp_russian_dragoon_nco_pl|Штандартоносец
trp_russian_dragoon_officer|Kiev Dragoon Regiment
trp_russian_dragoon_officer_pl|Офицер
trp_russian_dragoon_trumpet|Kiev Dragoon Regiment
trp_russian_dragoon_trumpet_pl|Трубач
trp_russian_horse_guard|Кавалергардский полк
trp_russian_horse_guard_pl|Кирасиры
trp_russian_horse_guard_nco|Chevaliers-Gardes
trp_russian_horse_guard_nco_pl|Штандартоносец
trp_russian_horse_guard_officer|Chevaliers-Gardes
trp_russian_horse_guard_officer_pl|Офицер
trp_russian_horse_guard_trumpet|Chevaliers-Gardes
trp_russian_horse_guard_trumpet_pl|Трубач
trp_russian_arty|8-я батарейная рота
trp_russian_arty_pl|Артиллерия
trp_russian_arty_guard|Орудийная охрана
trp_russian_arty_guard_pl|Вооруженный артиллерист
trp_russian_arty_nco|Artillery
trp_russian_arty_nco_pl|Ездовой артиллерийского поезда
trp_russian_arty_officer|Artillery
trp_russian_arty_officer_pl|Офицер
trp_russian_medic|Хирург
trp_russian_medic_pl|Хирург
trp_russian_sapper|Пионер 2-го Пионерского полка
trp_russian_sapper_pl|Инженер
trp_kutuzov|Генерал-фельдмаршал Михаил Илларионович Голенищев-Кутузов
trp_kutuzov_pl|Генерал
trp_austrian_infantry|14-й пехотный полк эрцгерцога Рудольфа
trp_austrian_infantry_pl|Линейная пехота
trp_austrian_infantry_nco|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_nco_pl|Знаменосец
trp_austrian_infantry_officer|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_officer_pl|Офицер
trp_austrian_infantry_drum|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_drum_pl|Барабанщик
trp_austrian_infantry_flute|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_flute_pl|Флейтист
trp_austrian_infantry2|62-й пехотный полк барона фон Вакана
trp_austrian_infantry2_pl|Линейная пехота
trp_austrian_infantry2_nco|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_nco_pl|Знаменосец
trp_austrian_infantry2_officer|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_officer_pl|Офицер
trp_austrian_infantry2_drum|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_drum_pl|Барабанщик
trp_austrian_infantry2_flute|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_flute_pl|Флейтист
trp_austrian_grenzer|3-й Огулинский граничарский полк
trp_austrian_grenzer_pl|Линейная/легкая пехотаа
trp_austrian_grenzer_nco|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_nco_pl|Знаменосец
trp_austrian_grenzer_officer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_officer_pl|Офицер
trp_austrian_grenzer_drum|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_drum_pl|Барабанщик
trp_austrian_grenzer_flute|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_flute_pl|Флейтист
trp_austrian_grenadier|Гренадерский батальон Парселла
trp_austrian_grenadier_pl|Пешая гвардия
trp_austrian_grenadier_nco|Grenadier Battalion Purcell
trp_austrian_grenadier_nco_pl|Знаменосец
trp_austrian_grenadier_officer|Grenadier Battalion Purcell
trp_austrian_grenadier_officer_pl|Офицер
trp_austrian_grenadier_drum|Grenadier Battalion Purcell
trp_austrian_grenadier_drum_pl|Барабанщик
trp_austrian_grenadier_flute|Grenadier Battalion Purcell
trp_austrian_grenadier_flute_pl|Флейтист
trp_austrian_infantry_rifle|2-й егерский батальон
trp_austrian_infantry_rifle_pl|Стрелки
trp_austrian_infantry_rifle_nco|Jaeger Battalion 2
trp_austrian_infantry_rifle_nco_pl|Унтер-офицер
trp_austrian_infantry_rifle_officer|Jaeger Battalion 2
trp_austrian_infantry_rifle_officer_pl|Офицер
trp_austrian_infantry_rifle_horn|Jaeger Battalion 2
trp_austrian_infantry_rifle_horn_pl|Горнист
trp_austrian_hussar|4-й гусарский полк графа фон Гессен-Хомбурга
trp_austrian_hussar_pl|Гусары
trp_austrian_hussar_nco|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_nco_pl|Штандартоносец
trp_austrian_hussar_officer|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_officer_pl|Офицер
trp_austrian_hussar_trumpet|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_trumpet_pl|Трубач
trp_austrian_uhlan|2-й уланский полк Шварценберга
trp_austrian_uhlan_pl|Уланы
trp_austrian_uhlan_nco|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_nco_pl|Штандартоносец
trp_austrian_uhlan_officer|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_officer_pl|Офицер
trp_austrian_uhlan_trumpet|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_trumpet_pl|Трубач
trp_austrian_light_horse|2-й шевольжерский полк князя фон Гогенцоллерна
trp_austrian_light_horse_pl|Легкая кавалерия
trp_austrian_light_horse_nco|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_nco_pl|Штандартоносец
trp_austrian_light_horse_officer|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_officer_pl|Офицер
trp_austrian_light_horse_trumpet|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_trumpet_pl|Трубач
trp_austrian_dragoon|5-й драгунский полк эрцгерцога Фердинанда
trp_austrian_dragoon_pl|Драгуны
trp_austrian_dragoon_nco|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_nco_pl|Знаменосец
trp_austrian_dragoon_officer|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_officer_pl|Офицер
trp_austrian_dragoon_trumpet|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_trumpet_pl|Трубач
trp_austrian_cuirassier|1-й кирасирский полк императора Франца
trp_austrian_cuirassier_pl|Кирасиры
trp_austrian_cuirassier_nco|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_nco_pl|Штандартоносец
trp_austrian_cuirassier_officer|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_officer_pl|Офицер
trp_austrian_cuirassier_trumpet|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_trumpet_pl|Трубач
trp_austrian_arty|7-й артиллерийский полк принца Лотарингского
trp_austrian_arty_pl|Артиллерия
trp_austrian_arty_guard|Орудийная охрана
trp_austrian_arty_guard_pl|Вооруженный артиллерист
trp_austrian_arty_nco|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_nco_pl|Ездовой артиллерийского поезда
trp_austrian_arty_officer|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_officer_pl|Офицер
trp_austrian_medic|Хирург
trp_austrian_medic_pl|Хирурги
trp_austrian_sapper|1-й пионерский батальон
trp_austrian_sapper_pl|Инженер
trp_schwarzenberg|Генералиссимус Карл Филипп цу Шварценберг
trp_schwarzenberg_pl|Генерал
trp_rhine_infantry_bavaria|2-й пехотный полк Кронпринц, Бавария
trp_rhine_infantry_bavaria_pl|Рядовой линейной пехоты
trp_rhine_infantry_bavaria_nco|Баварский знаменосец
trp_rhine_infantry_bavaria_nco_pl|Знаменосец
trp_rhine_infantry_bavaria_officer|Офицер баварской пехоты
trp_rhine_infantry_bavaria_officer_pl|Офицер
trp_rhine_infantry_bavaria_drum|Барабанщик баварской пехоты
trp_rhine_infantry_bavaria_drum_pl|Барабанщик
trp_rhine_infantry_bavaria_flute|Флейтист баварской пехоты
trp_rhine_infantry_bavaria_flute_pl|Флейтист
trp_rhine_infantry_wurttemberg|2-й пехотный полк Герцог Вильгельм, Вюрттемберг
trp_rhine_infantry_wurttemberg_pl|Рядовой линейной пехоты
trp_rhine_infantry_wurttemberg_nco|Вюрттембергский знаменосец
trp_rhine_infantry_wurttemberg_nco_pl|Знаменосец
trp_rhine_infantry_wurttemberg_officer|Вюрттембергский офицер
trp_rhine_infantry_wurttemberg_officer_pl|Офицер
trp_rhine_infantry_wurttemberg_drum|Вюрттембергский барабанщик
trp_rhine_infantry_wurttemberg_drum_pl|Барабанщик
trp_rhine_infantry_wurttemberg_flute|Вюрттембергский флейтист
trp_rhine_infantry_wurttemberg_flute_pl|Флейтист
trp_rhine_infantry_saxony|Пехотный полк Принц Фридрих Август, Саксония
trp_rhine_infantry_saxony_pl|Рядовой линейной пехоты
trp_rhine_infantry_saxony_nco|Саксонский знаменосец
trp_rhine_infantry_saxony_nco_pl|Знаменосец
trp_rhine_infantry_saxony_officer|Саксонский офицер линейной пехоты
trp_rhine_infantry_saxony_officer_pl|Офицер
trp_rhine_infantry_saxony_drum|Саксонский барабанщик
trp_rhine_infantry_saxony_drum_pl|Барабанщик
trp_rhine_infantry_saxony_flute|Саксонский флейтист
trp_rhine_infantry_saxony_flute_pl|Флейтист
trp_rhine_infantry_wurttemberg2| 4-й пехотный полк фон Фракемон, Вюрттемберг
trp_rhine_infantry_wurttemberg2_pl|Гренадер линейной пехоты
trp_rhine_infantry_wurttemberg2_nco|Вюрттембергский знаменосец гренадер
trp_rhine_infantry_wurttemberg2_nco_pl|знаменосец
trp_rhine_infantry_wurttemberg2_officer|Вюрттембергский офицер гренадер
trp_rhine_infantry_wurttemberg2_officer_pl|Офицер
trp_rhine_infantry_wurttemberg2_drum|Вюрттембергский барабанщик гренадер
trp_rhine_infantry_wurttemberg2_drum_pl|Барабанщик
trp_rhine_infantry_wurttemberg2_flute|Вюрттембергский флейтист гренадер
trp_rhine_infantry_wurttemberg2_flute_pl|Флейтист
trp_rhine_grenadier_guard|Гвардейский гренадерский полк, Вестфалия
trp_rhine_grenadier_guard_pl|Гвардеец
trp_rhine_grenadier_guard_nco|Знаменосец вестфальских гвардейцев
trp_rhine_grenadier_guard_nco_pl|Знаменосец
trp_rhine_grenadier_guard_officer|Офицер вестфальских гвардейцев
trp_rhine_grenadier_guard_officer_pl|Офицер
trp_rhine_grenadier_guard_drum|Барабанщик вестфальских гвардейцев
trp_rhine_grenadier_guard_drum_pl|Барабанщик
trp_rhine_grenadier_guard_flute|Флейтист вестфальских гвардейцев
trp_rhine_grenadier_guard_flute_pl|Флейтист
trp_rhine_light_infantry_hessen|Пехотный полк Гросс унд Ербпринц, Гессен-Дармштадт
trp_rhine_light_infantry_hessen_pl|Рядовой легкой пехоты
trp_rhine_light_infantry_hessen_nco|Знаменосец гессенской легкой пехоты
trp_rhine_light_infantry_hessen_nco_pl|Знаменосец
trp_rhine_light_infantry_hessen_officer|Офицер гессенской легкой пехоты
trp_rhine_light_infantry_hessen_officer_pl|Офицер
trp_rhine_light_infantry_hessen_horn|Горнист гессенской легкой пехоты
trp_rhine_light_infantry_hessen_horn_pl|Горнист
trp_rhine_light_infantry_bavaria| 7-й батальон легкой пехоты, Бавария
trp_rhine_light_infantry_bavaria_pl|Стрелок
trp_rhine_light_infantry_bavaria_nco|Унтерофицер баварских стрелков
trp_rhine_light_infantry_bavaria_nco_pl|Сержант
trp_rhine_light_infantry_bavaria_officer|Офицер баварских стрелков
trp_rhine_light_infantry_bavaria_officer_pl|Офицер
trp_rhine_light_infantry_bavaria_horn|Горнист баварских стрелков
trp_rhine_light_infantry_bavaria_horn_pl|Горнист
trp_rhine_mounted_jaeger|Конно-егерский полк, Нассау
trp_rhine_mounted_jaeger_pl|Конный егерь
trp_rhine_mounted_jaeger_nco|Штандартоносец конных егерей Нассау
trp_rhine_mounted_jaeger_nco_pl|Штандартоносец
trp_rhine_mounted_jaeger_officer|Офицер конных егерей Нассау
trp_rhine_mounted_jaeger_officer_pl|Офицер
trp_rhine_mounted_jaeger_trumpet|Трубач конных егерей Нассау
trp_rhine_mounted_jaeger_trumpet_pl|Трубач
trp_rhine_uhlan|Уланский полк Принц Клеменс, Саксония
trp_rhine_uhlan_pl|Улан
trp_rhine_uhlan_nco|Штандартоносец саксонских улан
trp_rhine_uhlan_nco_pl|Штандартоносец
trp_rhine_uhlan_officer|Офицер саксонских улан
trp_rhine_uhlan_officer_pl|Офицер
trp_rhine_uhlan_trumpet|Трубач саксонских улан
trp_rhine_uhlan_trumpet_pl|Трубач
trp_rhine_light_dragoon| Легкий драгунский полк, Баден
trp_rhine_light_dragoon_pl|Легкий драгун
trp_rhine_light_dragoon_nco|Штандартоносец баденских легких драгун
trp_rhine_light_dragoon_nco_pl|Штандартоносец
trp_rhine_light_dragoon_officer|Офицер баденских легких драгун
trp_rhine_light_dragoon_officer_pl|Офицер
trp_rhine_light_dragoon_trumpet|Трубач баденских легких драгун
trp_rhine_light_dragoon_trumpet_pl|Трубач
trp_rhine_cuirassier|1-й кирасирский полк, Вестфалия
trp_rhine_cuirassier_pl|Кирасир
trp_rhine_cuirassier_nco|Штандартоносец вестфальских кирасир
trp_rhine_cuirassier_nco_pl|Штандартоносец
trp_rhine_cuirassier_officer|Офицер вестфальских кирасир
trp_rhine_cuirassier_officer_pl|Офицер
trp_rhine_cuirassier_trumpet|Трубач вестфальских кирасир
trp_rhine_cuirassier_trumpet_pl|Трубач
trp_rhine_garde_du_corps|Полк Гард дю Кор, Саксония
trp_rhine_garde_du_corps_pl|Конногвардеец
trp_rhine_garde_du_corps_nco|Штандартоносец саксонской конной гвардии
trp_rhine_garde_du_corps_nco_pl|Штандартоносец
trp_rhine_garde_du_corps_officer|Офицер саксонской конной гвардии
trp_rhine_garde_du_corps_officer_pl|Офицер
trp_rhine_garde_du_corps_trumpet|Трубач саксонской конной гвардии
trp_rhine_garde_du_corps_trumpet_pl|Трубач
trp_rhine_arty|Артиллерийский полк, Бавария
trp_rhine_arty_pl|Артиллерист
trp_rhine_arty_guard|Артиллерийская охрана
trp_rhine_arty_guard_pl|Вооруженный артиллерист
trp_rhine_arty_nco|Ездовой баварской артиллерии
trp_rhine_arty_nco_pl|Артиллерийский поезд
trp_rhine_arty_officer|Офицер баварской артиллерии
trp_rhine_arty_officer_pl|Офицер
trp_rhine_medic|Хирург 2 класса
trp_rhine_medic_pl|Хирург
trp_rhine_sapper|Пионер, Берг
trp_rhine_sapper_pl|Пионер
trp_friedrich_august|Фридрих Август I, король Саксонии
trp_friedrich_august_pl|Главнокомандующий
trp_british_arty_commander|Royal Foot Artillery
trp_british_arty_commander_pl|Officer
trp_british_arty_alt_commander|Royal Foot Artillery
trp_british_arty_alt_commander_pl|Officer
trp_french_arty_commander|L'Artillerie
trp_french_arty_commander_pl|Officer
trp_french_arty_alt_commander|L'Artillerie
trp_french_arty_alt_commander_pl|Officer
trp_prussian_arty_commander|36. Regiment der Fussartillerie
trp_prussian_arty_commander_pl|Officer
trp_prussian_arty_alt_commander|36. Regiment der Fussartillerie
trp_prussian_arty_alt_commander_pl|Officer
trp_russian_arty_commander|Artillery
trp_russian_arty_commander_pl|Officer
trp_russian_arty_alt_commander|Artillery
trp_russian_arty_alt_commander_pl|Officer
trp_austrian_arty_commander|Prinz zu Lothringen Nr. 7 Artillerie
trp_austrian_arty_commander_pl|Officer
trp_austrian_arty_alt_commander|Prinz zu Lothringen Nr. 7 Artillerie
trp_austrian_arty_alt_commander_pl|Officer
trp_rhine_arty_commander|Артиллерия, Бавария
trp_rhine_arty_commander_pl|Офицер
trp_rhine_arty_alt_commander|Артиллерия, Бавария
trp_rhine_arty_alt_commander_pl|Офицер
trp_quick_battle_troop_britain_1|Артур Уэлсли, 1-й герцог Веллингтон
trp_quick_battle_troop_britain_1_pl|Генерал
trp_quick_battle_troop_france_1|Император Наполеон І Бонапарт
trp_quick_battle_troop_france_1_pl|Генерал
trp_quick_battle_troop_prussia_1|Генерал-фельдмаршал Гебхард Леберехт фон Блюхер
trp_quick_battle_troop_prussia_1_pl|Генерал
trp_quick_battle_troop_russia_1|Генерал-фельдмаршал Михаил Илларионович Голенищев-Кутузов
trp_quick_battle_troop_russia_1_pl|Генерал
trp_quick_battle_troop_austria_1|Генералиссимус Карл Филипп цу Шварценберг
trp_quick_battle_troop_austria_1_pl|Генерал
trp_quick_battle_troop_rhine_1| Король Саксонии Фридрих Август
trp_quick_battle_troop_rhine_1_pl|Генерал
trp_companion_1|Raphael Martin
trp_companion_1_pl|Raphael Martin
trp_companion_2|Clement Bernard
trp_companion_2_pl|Clement Bernard
trp_companion_3|Maxim Munnig Schmidt
trp_companion_3_pl|Maxime Petit
trp_companion_4|Alexandre Durand
trp_companion_4_pl|Alexandre Durand
trp_companion_5|Antoine Richard
trp_companion_5_pl|Antoine Richard
trp_companion_6|Alexis Moreau
trp_companion_6_pl|Alexis Moreau
trp_companion_7|Jules Dubois
trp_companion_7_pl|Jules Dubois
trp_companion_8|Matteo Robert
trp_companion_8_pl|Matteo Robert
trp_companion_9|Julien Laurent
trp_companion_9_pl|Julien Laurent
trp_companion_10|Samuel Simon
trp_companion_10_pl|Samuel Simon
trp_companion_11|Noe Michel
trp_companion_11_pl|Noe Michel
trp_companion_12|Corentin Leroy
trp_companion_12_pl|Corentin Leroy
trp_companion_13|Jeremy Garcia
trp_companion_13_pl|Jeremy Garcia
trp_companion_14|Charles Lefebvre
trp_companion_14_pl|Charles Lefebvre
trp_companion_15|Eliott Roux
trp_companion_15_pl|Eliott Roux
trp_companion_16|Theo David
trp_companion_16_pl|Theo David
trp_companion_17|Romain Bertrand
trp_companion_17_pl|Romain Bertrand
trp_companion_18|Quentin Fournier
trp_companion_18_pl|Quentin Fournier
trp_companion_19|Girard Baptiste
trp_companion_19_pl|Girard Baptiste
trp_companion_20|Valentin Bonnet
trp_companion_20_pl|Valentin Bonnet
trp_companion_21|Nico Kamps
trp_companion_21_pl|Nicolas Morel
trp_companion_22|Mael Rousseau
trp_companion_22_pl|Mael Rousseau
trp_companion_23|Pierre Lambert
trp_companion_23_pl|Pierre Lambert
trp_companion_24|Marius Blanc
trp_companion_24_pl|Marius Blanc
trp_companion_25|Remi Thomas
trp_companion_25_pl|Remi Thomas
trp_companion_26|Benjamin Aguillon
trp_companion_26_pl|Benjamin Aguillon
trp_companion_27|Maxence Beauregard
trp_companion_27_pl|Maxence Beauregard
trp_companion_28|Axel Lemieux
trp_companion_28_pl|Axel Lemieux
trp_companion_29|Jules Plantier
trp_companion_29_pl|Jules Plantier
trp_companion_30|Martin Roche
trp_companion_30_pl|Martin Roche
trp_companions_end|companions end
trp_companions_end_pl|companions end
trp_walker_french_infantry|Infantryman
trp_walker_french_infantry_pl|Infantry
trp_walker_french_voltigeur|Voltigeur
trp_walker_french_voltigeur_pl|Voltigeurs
trp_walker_french_hussar|Hussar
trp_walker_french_hussar_pl|Hussars
trp_walker_french_officer|Officer
trp_walker_french_officer_pl|officers
trp_walker_messenger|Messenger
trp_walker_messenger_pl|Messenger
trp_walker_peasant_male|Peasant
trp_walker_peasant_male_pl|Peasants
trp_walker_peasant_female|Peasant
trp_walker_peasant_female_pl|Peasants
trp_walkers_end|walkers end
trp_walkers_end_pl|walkers end
trp_camp_armorer|Tailor
trp_camp_weaponsmith|Weapon Merchant
trp_camp_horse_merchant|Horse Merchant
trp_merchants_end|merchants end
trp_merchants_end_pl|merchants en
