ui_music_volume|Громкость музыки:
ui_error_server_full|Сервер заполнен.
ui_error_server_full_for_non_private|Сервер заполнен для играков без личного членского пароля.
ui_error_server_password_incorrect|Пароль неверен.
ui_error_incorrect_serial|Серийный номер неверен.
ui_error_incorrect_authorization_key|Ключ авторизации неверен.
ui_error_banned_from_server|Вы забанены на этом сервере.
ui_error_username_taken|Ваше имя используется другим игроком.
ui_error_authentication_failed|Проверка  аутентичности провалилась.
ui_unable_to_connect_to_server|Невозможно присоединиться к серверу.
ui_connection_to_server_is_lost|Соединение с сервером утрачено.
ui_kicked_from_server|Изгнан с сервера.
ui_switch_to_module_question|Этот сервер работает не на том модуле, который у Вас запущен.Хотите ли вы переключиться на модуль, используемый сервером?
ui_download_module_question|Этот сервер работает на модуле, не установленном на Вашем компьютере. Хотите ли вы сейчас же посетить место загрузки этого модуля?
ui_download_mb_new_version_question|Этот сервер работает на более новой версии (%d.%d%d%d) of Mount&Blade чем та, которую Вы в данный момент используете (%d.%d%d%d).Хотите ли Вы сейчас же посетить сайт загрузки компании TaleWorlds?
ui_download_mb_old_version_question|Этот сервер работает на более старой версии (%d.%d%d%d) Mount&Blade чем та, которую Вы в данный момент используете (%d.%d%d%d).
ui_download_module_new_version_question|Этот сервер работает на более новой версии (%d.%d%d%d) используемого модуля чем та, которую Вы в данный момент используете (%d.%d%d%d). Хотите ли вы сейчас же посетить место загрузки этого модуля?
ui_download_module_old_version_question|Этот сервер работает на более старой версии (%d.%d%d%d) используемого модуля чем та, которую Вы в данный момент используете (%d.%d%d%d).
ui_authenticating_with_steam|Аутентификация с помощью Steam...
ui_validating_serial_number|Подтверждение серийного номера...
ui_scanning_lan|Сканирование локальной сети...
ui_retrieving_servers|Поиск списка серверов...
ui_shield_size2|Размер: %dx%d
ui_click_to_view_notes|Нажмите для просмотра заметок
ui_retrieving_server_infos|Извлечение информации с серверов (%d)...
ui_connecting_to_server|Присоединение к серверу...
ui_requesting_to_join_the_game|Запрашиваем присоединение к игре...
ui_loading|Загрузка...
ui_group_value_control|Группа %d!
ui_drop_weapon|Бросить оружие
ui_multiplayer_message_all|Послать сообщение всем
ui_multiplayer_message_team|Послать сообщение команде
ui_command_line|Командная строка
ui_use_ranged_weapon_as_melee|Изменить режим оружя
ui_send_message_all|Послать сообщение всем
ui_send_message_team|Послать сообщение команде
ui_select|Выбрать
ui_context_menu|Контекстное меню
ui_round_starts_in_value_seconds|Раунд начинается через %d секунд...
ui_watching_value|Наблюдение за %s
ui_capital_spec|НАБЛ
ui_capital_dead|МЕРТ
ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|Клавишами движения
ui_combat_speed_slowest|Самый медленный
ui_combat_speed_slower|Медленный
ui_combat_speed_normal|Нормальный
ui_combat_speed_faster|Быстрый
ui_combat_speed_fastest|Самый быстрый
ui_module_newer_than_application|Модуль, который Вы выбрали, требует более новую версию игры.
ui_module_older_than_application|Модуль, который Вы выбрали, требует более старую версию игры.
ui_unbalanced|Насбалансированный
ui_can_crush_through_blocks|Может пробивать блок
ui_turn_camera_with_horse|Поворачивать камеру с конем в первом лице:
ui_widescreen_mode_on|Режим нескольких экранов включен
ui_widescreen_mode_off|Режим нескольких экранов выключен
ui_notification_cant_upgrade|(Улучшение невозможно: недостаточно денег)
ui_turn_never|Никогда
ui_turn_ranged_only|Только дистанционный
ui_turn_melee_only|Только рукопашный
ui_turn_always|Всегда
ui_general_options|Общие настройки
ui_vac_enabled|Включен Valve Anti Cheat
ui_campaign_ai|ИИ кампании:
ui_downloading_map|Загрузка карты (%d кб)
ui_download_completed|Загрузка завершена.
ui_server_filter|Фильтр сервера
ui_has_players|С игроками
ui_is_not_full|Не заполнен
ui_is_password_free|Без пароля
ui_native_only|Только Нейтив
ui_ping_limit|Ограничение по пингу
ui_filter_info|%d игр и %d игроков отфильтровано
ui_is_version_compatible|Совместимо с модулем
ui_ttnet_account| Счет TTNET Oyun
ui_username|Имя пользователя
ui_password|Пароль
ui_error_incorrect_username_or_password|Неправильное имя или пароль
ui_validating_account|Подтверждение аккаунта...
ui_plase_enter_your_serial_key|Пожалуйста, введите Ваш серийный ключ
ui_texture_detail2|Детали текстуры:
ui_antialiasing2|Антианалайзинг:
