str_no_string|НЕТ СТРОКИ
str_limit_cavalry|Лимит кавалеристов в каждой команде(%):
str_limit_lancer|Максимум улан в коннице(%):
str_limit_hussar|Максимум гусар в коннице (%):
str_limit_dragoon|Максимум драгун в коннице (%):
str_limit_cuirassier|Максимум кирасир в коннице (%):
str_limit_heavycav|Максимум небронированных тяжелых кавалеристов в коннице (%):
str_limit_artillery|Лимит артиллерии в каждой команде(%):
str_limit_rocket|Лимит ракетчиков в каждой команде (%):
str_limit_sapper|Лимит инженеров в каждой команде(%):
str_limit_musician|Лимит музыкантов в каждом подразделении(nr):
str_limit_sergeant|Лимит знаменосцев/сержантов в каждом подразделении (nr):
str_limit_officer|Лимит офицеров в каждом подразделении(nr):
str_limit_general|Лимит генералов в каждой команде(nr):
str_build_points_team_1|Количенство очков строительства для первой команды:
str_build_points_team_2|Количество очков строительства для второй команды:
str_allow_multiple_firearms|Разрешить ношение нескольких единиц огнестрельного оружия
str_enable_bonuses|Включить бонусы
str_bonus_strength|Сила бонусов(%):
str_bonus_range|Радиус действия бонусов:
str_num_bots_per_squad|Количество ботов в отряде:
str_scale_squad_size|Изменять численность отрядов ботов  в зависитости от соотношения численности команд.
str_max_num_bots|Максимальное количество ботов:
str_chance_of_falling_off_horse|Вероятность падения из седла при ранении(%):
str_damage_from_horse_dying|Повреждения, наносимые игроку при падения с коня (%):
str_admin_start_map_s0_s1_s2_s5_s6|{s0} Сменил карту на {s1} с режимом игры {s2} и воюющими сторонами {s5} и {s6}.
str_admin_set_max_num_players_s0_reg1|{s0} Изменил максимальное количество игроков до {reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0} Изменил количество ботов для {s1} на {reg1}.
str_admin_set_friendly_fire_s0_s9|{s0} Установить возможность поражения союзников оружием дальнего боя на {s9}.
str_admin_set_melee_friendly_fire_s0_s9|{s0} Установить возможность поражения союзников оружием ближнего боя на {s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0} Установить степень повреждения себя за попадание в союзника на {reg1} %.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{s0} Установить степень повреждения союзника при попадании в него на {reg1} %.
str_admin_set_ghost_mode_s0_s1|{s0} Установить режим призрака на {s1}.
str_admin_set_control_block_dir_s0_s1|{s0} Установить ручной контроль направления блокирования на {s1}.
str_admin_set_combat_speed_s0_s1|{s0} Установть скорость боя на {s1}.
str_admin_set_respawn_count_s0_s1|{s0} Утановить количество возрождений обороняющегося на {s1}.
str_admin_set_add_to_servers_list_s0_s9|{s0} Установить добавление сервера в список серверов на {s9}.
str_admin_set_respawn_period_s0_reg1|{s0} Изменил время возрождения до {reg1} секунд.
str_admin_set_game_max_minutes_s0_reg1|{s0} Изменил время игры на карте до {reg1} минут.
str_admin_set_round_max_seconds_s0_reg1|{s0} Изменил продолжительность раунда до {reg1} секунд.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} Установить вселение игрока в ботов после смерти на {s9}.
str_admin_set_game_max_points_s0_reg1|{s0} Изменил максимальное количество очков за игру на {reg1}.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} Изменил количество очков, получаемых с флага, на {reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} Изменил количество очков, получаемых с захвата флага, на {reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} Set the initial gold multiplier to {reg1} %.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} Set the combat gold multiplier to {reg1} %.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} Set the round gold bonus multiplier to {reg1} %.
str_admin_set_server_name_s1_s0|{s1} Изменить название сервера {s0}
str_admin_set_game_password_s1_s0|{s1} Установить пароль сервера {s0}
str_admin_set_welcome_message_s1|{s1} Изменил приветственное сообщение на сервере.
str_admin_set_welcome_message_s1_s0|{s1} Изменить приветственное сообщение на сервере на {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} Установить процент голосов для принятия голосования на {reg1} %.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} Установить лимит автоматического сбаллансирования команд на {s1}.
str_admin_set_num_bots_voteable_s0_reg1|{s0} Изменил максимальное количество ботов, за которое можно проголосовать, на {reg1}.
str_admin_set_factions_voteable_s0_s9|{s0} Установить возможность выбора воюющих сторон на {s9}.
str_admin_set_maps_voteable_s0_s9|{s0} Установить возможность голосования за карты на {s9}.
str_admin_set_kick_voteable_s0_s9|{s0} Установтьб возможность голосования за изгание игрока на {s9}.
str_admin_set_ban_voteable_s0_s9|{s0} Установтьб возможность голосования за бан игрока на {s9}.
str_admin_set_allow_player_banners_s0_s9|{s0} Установить возможность использовать индивидуальные баннеры на {s9}.
str_admin_set_force_default_armor_s0_s9|{s0} Set force minimum armor to {s9}.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} Установить запрет на оружие дальнего боя на {s9}.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} Установить автоматическое изгнание и бан за убийство союзников на {s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} Установить количество убийств союзников перед изгнанием/баном на {reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} Установить автоматические убийство бродячих лошадей на {s9}.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} Установить автоматическую рокировку команд в битвах и при осадах на {s9}.
str_admin_set_use_class_limits_s0_s9|{s0} Установить использование классовых ограничений на {s9}.
str_admin_set_class_limit_player_count_s0_reg1|{s0} Установить минимальное количество игроков для включения классовых ограничений на {reg1} игроков.
str_admin_set_limit_grenadier_s0_reg1|{s0} Установить ограничение на класс гренадер на {reg1} % команды.
str_admin_set_limit_skirmisher_s0_reg1|{s0} Установить ограничение на класс легкой пехоты на {reg1} % команды.
str_admin_set_limit_rifle_s0_reg1|{s0} Установить ограничение на класс стрелков на {reg1} % легкой пехоты.
str_admin_set_limit_cavalry_s0_reg1|{s0} Установить ограничение на класс кавалерии на {reg1} % команды.
str_admin_set_limit_lancer_s0_reg1|{s0} Установить ограничение на класс улан на {reg1} % кавалерии.
str_admin_set_limit_hussar_s0_reg1|{s0} Установить ограничение на класс гусар на {reg1} % кавалерии.
str_admin_set_limit_dragoon_s0_reg1|{s0} Установить ограничение на класс драгун на {reg1} % кавалерии.
str_admin_set_limit_cuirassier_s0_reg1|{s0} Установить ограничение на класс кирасир на {reg1} % of кавалерии.
str_admin_set_limit_heavycav_s0_reg1|{s0} Установить ограничение на класс небронированной тяжелой кавалерии на {reg1} % кавалерии.
str_admin_set_limit_artillery_s0_reg1|{s0} Установить ограничение на класс артиллерии на {reg1} % команды.
str_admin_set_limit_rocket_s0_reg1|{s0} Установить ограничение на класс ракетчиков на {reg1} % команды.
str_admin_set_limit_sapper_s0_reg1|{s0} Установить ограничение на класс инженеров на {reg1} % команды.
str_admin_set_limit_musician_s0_reg1|{s0} Установить ограничение на музыкантов на {reg1} человек в подразделении.
str_admin_set_limit_sergeant_s0_reg1|{s0} Установить ограничение на унтер_офицеров на {reg1} человек в подразделении.
str_admin_set_limit_officer_s0_reg1|{s0} Установить ограничение на офицеров на {reg1} человек в подразделении.
str_admin_set_limit_general_s0_reg1|{s0} Установить ограничение на генералов на {reg1} для каждой воюющей стороны.
str_admin_set_build_points_team_1_s0_reg1|{s0} Установить количество очков строительство для первой команды на {reg1} очков.
str_admin_set_build_points_team_2_s0_reg1|{s0} Установить количество точек для строительства второй забьет {reg1} очков.
str_admin_set_squad_size_s0_reg1|{s0} Установить размер подразделений ботов на {reg1} ботов в подразделении.
str_admin_set_scale_squad_size_s0_s9|{s0} Установить масштабирование размеров отрядов ботов в соответствии с соотношением численности команд {s9}.
str_admin_set_max_num_bots_s0_reg1|{s0} Установить максимальное количество ботов {reg1}.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} Установить возможность ношения нескольких единиц огнестрельного оружия на {s9}.
str_admin_set_enable_bonuses_s0_s9|{s0} Установить использование бонусов на {s9}.
str_admin_set_bonus_strength_s0_reg1|{s0} Установить силу бонусов на {reg1}%.
str_admin_set_bonus_range_s0_reg1|{s0} Установить дальность действия бонусов на {reg1} метров.
str_admin_set_fall_off_horse_s0_reg1|{s0} Установить вероятность падения с лошади при ранении на {reg1}%.
str_admin_set_horse_dying_s0_reg1|{s0} Установить повреждения игроку при падении с коня на {reg1}%.
str_mute_all|Заглушить всех игроков
str_unmute_all|Вернуть голос всем игрокам
str_slay_player|Казнить игрока
str_slay_player_s2_s3|{s2} казнил игрока {s3}.
str_slay_all|Казнить всех
str_slay_all_s2|{s2} казнил всех.
str_freeze_player|Обездвижить игрока
str_freeze_player_s2_s3|{s2} обездвижил игрока {s3}.
str_freeze_all|Обездвижить всех
str_freeze_all_s2|{s2} обездвижил всех
str_swap_player|Переместить игрока
str_swap_player_s2_s3|{s2} переместил игрока {s3} в другую команду.
str_swap_all|Переместить всех
str_swap_all_s2|{s2} Переместил всех в другую команду.
str_forceautobalance_all|Применить автоматическое сбаллансирование.
str_forceautobalance_all_s2|{s2} применил к командам автоматическое сбаллансирование.
str_spec_player|Переместить игрока в зрители.
str_spec_player_s2_s3|{s2} переместил игрока {s3} в зрители.
str_spec_all|Переместить всех в зрители
str_spec_all_s2|{s2} Переместил всех в зрители
str_kick_player_s2_s3|{s2} изгнал игрока {s3}.
str_ban_player_s2_s3|{s2} забанил игрока навсегда {s3}.
str_ban_player_temp|Временно забанить игрока.
str_ban_player_temp_s2_s3|{s2} временно забанил игрока {s3}.
str_ban_hammer_s2_s3|Saint {s2} врезал Банхамером прямо в лицо {s3}.До новых встреч!!
str_admin_cheats|Читы
str_choose_a_cheat_type|Выбрать тип чита:
str_cheat_spawn_hammer|Заспаунить Банхаммер.
str_cheat_spawn_hammer_s2|{s2} заспаунил Банхаммер!
str_cheat_spawn_hammer_2_s2|И поднял {s2} Святой Банхаммер высоко в небо, молвя при том : " О Господь наш, благослови сей молот священный,дабы поверг он врагов твоих и разбил их на части малые, будь на то милость Твоя!
str_cheat_spawn_shotgun|заспаунить дробовик.
str_cheat_spawn_shotgun_s2|{s2} заспаунил дробовик!
str_cheat_spawn_rocketlauncher|Заспаунить ракетницу.
str_cheat_spawn_rocketlauncher_s2|{s2} заспаунил ракетницу!
str_cheat_spawn_grenade|Заспаунить гранату.
str_cheat_spawn_grenade_s2|{s2} заспаунил гранату!
str_cheat_spawn_grenade_2_s2|И поднял {s2} гранату высоко в небо, молвя при том : " О Господь наш, благослови сею гранату чудодейственную, дабы взорвала она врагов твоих на части малые, будь на то милость Твоя!
str_cheat_spawn_horse|Заспаунить админскую лошадь.
str_cheat_spawn_horse_s2|{s2} заспаунил админскую лошадь!!
str_cheat_beacon_player|Подсветить игрока
str_cheat_beacon_player_s2_s3|{s2} Подсветил игрока {s3}.
str_cheat_heal_player|Вылечить игрока.
str_cheat_heal_player_s2_s3|{s2} вылечил игрока {s3}.
str_cheat_heal_all|Вылечить всех
str_cheat_heal_all_s2|{s2} вылечил всех.
str_cheat_ammo_player|Наполнить аммуницию игрока
str_cheat_ammo_player_s2_s3|{s2} наполнил аммуницию игрока {s3}.
str_cheat_ammo_all|Наполнить аммуниуию всем.
str_cheat_ammo_all_s2|{s2} наполнил всем аммуницию.
str_cheat_tele_to_player|Телепортироваться к игроку
str_cheat_tele_to_player_s2_s3|{s2} телепортировался к игроку {s3}.
str_cheat_tele_bring_player|Телепортировать игрока
str_cheat_tele_bring_player_s2_s3|{s2} телепортировал игрока {s3} к себе.
str_cheat_tele_wall|Телепортироваться сковзь стену
str_cheat_tele_wall_s2|{s2} телепортировался.
str_admin_chat|Админский чат
str_admin_chat_intern|внутренний админский чат
str_admin_chat_s1_s0|*Admin*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|Включить автоматическое изгнание/бан
str_num_max_teamkills_before_kick|Убийств союзников перед автоматическим изгнанием/баном
str_chk_auto_horse|Включить автоматическое уничтожение бродячих лошадей.
str_chk_auto_swap|Включить автоматическую рокировку команд в битве и осаде.
str_reset_map|Перезапустить карту.
str_reset_map_s2|{s2} перезапустил карту.
str_console_command|Админская Консоль.
str_player_kicked_cheating_s2|{s2} Является ли авто-ногами от сервера для обмана.
str_next_page|Следующая страница
str_auto_assign|Назначить автоматически.
str_begin|Начать
str_game_rules|Правила игры:^
str_britain_name|Британская империя
str_france_name|Первая Французская империя
str_prussia_name|Королевство Пруссия
str_russia_name|Российская империя
str_austria_name|Австрийская империя
str_rhine_name|Рейнский союз
str_infantry|Пехота
str_cavalry|Кавалерия
str_specialists|Специалисты
str_ranker|Рядовой
str_equipment|Экипировка:
str_random|Случайный
str_howitzer|Гаубица
str_cannon|Пушка
str_all_fire_now|Всем открыть огонь!
str_left_fire_now|Левому флангу открыть огонь!
str_middle_fire_now|Центру открыть огонь!
str_right_fire_now|Правому флангу открыть огонь!
str_fire_at_my_command|Стрелять по моему приказу!
str_use_melee_weapons|Использовать оружие ближнего боя!
str_use_ranged_weapons|Использовать оружие дальнего боя!
str_melee_weapons|Оружие ближнего боя
str_ranged_weapons|Оружие дальнего боя
str_formation|Построение
str_very_tight|Очень плотное
str_tight|Плотное
str_loose|Свободное
str_very_loose|Стрелковая цепь
str_form_1_row|Построиться в одну шеренгу
str_form_reg0_rows|Построиться в {reg0} шеренг
str_confirm_quit_mission|Вы действительно хотите покинуть поле боя?( Все достижения будут потеряны)
str_no_troop|Свободный
str_morning|Утро
str_noon|Обед
str_evening|Вечер
str_night|Ночь
str_timeofday|Время суток:
str_fog_none|Никакого
str_fog_light|Легкий
str_fog_medium|Средний
str_fog_thick|Густой
str_fog_amount|Туман:
str_rain_amount|Дождь:
str_mm_stakes_construct|Рогатка
str_mm_stakes2_construct|Деревянные колья
str_sandbags_construct|Мешки с песком
str_chevaux_de_frise_tri_construct|Малая рогатка
str_gabion_construct|Габион
str_fence_construct|Деревянный забор
str_plank_construct|Доска
str_earthwork1_construct|Земляная насыпь
str_explosives_construct|Ящик взрывчатки
str_reg6_build_points|В наличии очков строительства: {reg6}
str_reg7_build_points_cost|Стоимость: {reg7} очков строительства
str_repair_prop|Чинить
str_destructible_object|Разрушаемый объект
str_build_prop|Возвести объект
str_dig_prop|Копать
str_undig_prop|Срыть
str_construct_deconstruct|Возвести/Разобрать
str_ignite|Поджечь!
str_invalid_flag_selection|Выберите флаг, контролируемый Вашей командой.
str_invalid_prop_select|Недостаточно очков строительства!
str_invalid_prop_place|Вы не можете возвести данный объект здесь!
str_sail_brit|Моряк, "Нептун
str_sail_fren|Моряк, "Отважный
str_select_track|Выбрать мелодию:
str_music_calls|Сигналы:
str_bagpipe_extras|Дополнительные мелодии (только для волынки):
str_play_together|Играть вместе с другими музыкантами
str_drum_britain_1|British Grenadiers
str_drum_britain_2|The Girl I Left Behind Me
str_drum_britain_3|Lilliburlero
str_drum_britain_4|Men of Harlech
str_drum_britain_5|Rule Britannia
str_drum_france_1|Aux Champs
str_drum_france_2|La Charge
str_drum_france_3|La Diane ou Rigodon
str_drum_france_4|La Grenadiere
str_drum_france_5|Le Pas Cadence
str_drum_prussia_1|York'scher Marsch
str_drum_prussia_3|Hohenfriedberger Marsch
str_drum_prussia_4|Preussischer Lockmarsch
str_drum_prussia_5|Parademarsch der Spielleute
str_drum_prussia_6|Praesentiermarsch
str_drum_russia_1|Поход гренадерский
str_drum_russia_2|Поход Лейб-гвардии Измайловского полка
str_drum_russia_3|Марш колонны идущей в атаку
str_drum_russia_4|Поход Лейб-гвардии Преображенского полка
str_drum_russia_5|Поход Лейб-гвардии Семеновского полка
str_drum_austria_1|Oestereeichischer Grenadiermarsch
str_drum_austria_2|Coburger Marsch
str_drum_austria_3|Pappenheimer Marsch
str_drum_austria_4|Pariser Einzugsmarsch
str_drum_austria_5|Prinz von Eugen
str_drum_highland_1|All the Blue Bonnets Are O'er the Border
str_drum_highland_2|Bonnie Dundee
str_drum_signal_1|Camp, Taps
str_drum_signal_2|Cease fire
str_drum_signal_3|Drummer Call
str_fife_britain_1|British Grenadiers
str_fife_britain_2|The Girl I Left Behind Me
str_fife_britain_3|Lilliburlero March
str_fife_britain_4|Men of Harlech
str_fife_britain_5|Rule Britannia
str_fife_france_1|Aux Champs
str_fife_france_2|La Charge
str_fife_france_3|La Diane ou Rigodon
str_fife_france_4|La Grenadiere
str_fife_france_5|Le Pas Cadence
str_fife_prussia_1|York'scher Marsch
str_fife_prussia_2|Hohenfriedberger Marsch
str_fife_prussia_3|Preussischer Lockmarsch
str_fife_prussia_4|Parademarsch der Spielleute
str_fife_prussia_5|Praesentiermarsch
str_fife_russia_1|Поход гренадерский
str_fife_russia_2|Поход Лейб-гвардии Измайловского полка
str_fife_russia_3|Марш колонны идущей в атаку
str_fife_russia_4|Поход Лейб-гвардии Преображенского полка
str_fife_russia_5|Поход Лейб-гвардии Семеновского полка
str_fife_austria_1|Oestereeichischer Grenadiermarsch
str_fife_austria_2|Coburger Marsch
str_fife_austria_3|Pappenheimer Marsch
str_fife_austria_4|Pariser Einzugsmarsch
str_fife_austria_5|Prinz von Eugen
str_bugle_britain_1|British Boots
str_bugle_britain_2|British Light Infantry
str_bugle_france_1|Dans le Hussards
str_bugle_france_2|La Marche
str_bugle_prussia_1|Althessischer Reitermarsch
str_bugle_prussia_2|Fehrbelliner Reitermarsch
str_bugle_prussia_3|Marsch der Freiwilligen Jaeger
str_bugle_russia_1|Поход мушкетерский
str_bugle_russia_2|Поход артиллерийский и для саперов
str_bugle_russia_3|Поход егерский
str_bugle_austria_1|Strauch Marsch
str_bugle_austria_2|Frohes Leben Marsch
str_bugle_signal_1|Assemble the Men
str_bugle_signal_2|Extend Lines
str_bugle_signal_3|Close Ranks
str_bugle_signal_4|On Enemy
str_bugle_signal_5|Open Fire
str_bagpipes_britain_1|All the Blue Bonnets Are O'er the Border
str_bagpipes_britain_2|Bonnie Dundee
str_bagpipes_extra_1|Black Bear
str_bagpipes_extra_2|Amazing Grace
str_bagpipes_extra_3|Balmoral
str_bagpipes_extra_4|Bonnie Dundee
str_bagpipes_extra_5|Cock o' the North
str_bagpipes_extra_6|Highland Cathedral
str_bagpipes_extra_7|My Home
str_bagpipes_extra_8|Scotland the Brave
str_bagpipes_extra_9|Skye Boat Song
str_piano_tune_1|Beethoven - Fur Elise
str_piano_tune_2|Beethoven - Ecossaise
str_piano_tune_3|Erik Satie - Gymnopedie 3
str_piano_tune_4|Beethoven - Laendler
str_piano_tune_5|Lift Motif
str_piano_tune_6|Bach - Prelude
str_piano_tune_7|Wagner - Bridal Chorus
str_piano_tune_8|Schubert - Ave Maria
str_organ_tune_1|Bach - Toccata and Fugue
str_organ_tune_2|Bach - Toccata and Fugue 2
str_organ_tune_3|Bach - Prelude and Fugue
str_organ_tune_4|Buxtehude - Prelude
str_organ_tune_5|Tiny Fugue
str_organ_tune_6|Wagner - Bridal Chorus
str_organ_tune_7|Bach - Chromatic Fuge
str_organ_tune_8|Bach - Chromatic Fantasia
str_flag_reg3|Флаг {reg3}
str_mp_arabian_harbour_flag_1|Кабак
str_mp_arabian_harbour_flag_2|Задний двор
str_mp_arabian_harbour_flag_3|Порт
str_mp_arabian_harbour_flag_4|Маяк
str_mp_arabian_harbour_flag_5|Рынок
str_mp_arabian_village_flag_1|Селение виноделов
str_mp_arabian_village_flag_2|Деревня фермеров
str_mp_arabian_village_flag_3|Укрепленный город
str_mp_ardennes_flag_1|Ферма du Fresnois
str_mp_ardennes_flag_2|Ферма de la Grange Dimiere
str_mp_ardennes_flag_3|Смотровая башня
str_mp_ardennes_flag_4|Хижина рыбака
str_mp_ardennes_flag_5|Ферма de Bray
str_mp_ardennes_flag_6|Мертый лес
str_mp_ardennes_flag_7|Скалы
str_mp_avignon_flag_1|Лагерь
str_mp_avignon_flag_2|Город
str_mp_avignon_flag_3|Мельница
str_mp_avignon_flag_4|Село
str_mp_borodino_flag_1|Город
str_mp_borodino_flag_2|Село
str_mp_borodino_flag_3|Редут
str_mp_borodino_flag_4|Мельница
str_mp_borodino_flag_5|Шеврадино
str_mp_borodino_flag_6|Батарея Раевского
str_mp_borodino_flag_7|Малый редут
str_mp_columbia_hill_farm_flag_1|Лес
str_mp_columbia_hill_farm_flag_2|Амбар
str_mp_columbia_hill_farm_flag_3|Ферма
str_mp_columbia_hill_farm_flag_4|Виноградники
str_mp_european_city_flag_1|Церковь
str_mp_european_city_flag_2|Площадь
str_mp_european_city_flag_3|Уголок Винса
str_mp_european_city_flag_4|Улица
str_mp_french_farm_flag_1|Лес
str_mp_french_farm_flag_2|Редут
str_mp_french_farm_flag_3|Ферма
str_mp_hungarian_plains_flag_1|Ткацкая фабрика
str_mp_hungarian_plains_flag_2|Город
str_mp_hungarian_plains_flag_3|Ветряная мельница
str_mp_hungarian_plains_flag_4|Заброшенный дом
str_mp_hungarian_plains_flag_5|Хижина
str_mp_hungarian_plains_flag_6|Поместье
str_mp_landshut_flag_1|Ландсхут
str_mp_landshut_flag_2|Дорога на Абансберг
str_mp_landshut_flag_3|Пригород Ландсхута
str_mp_landshut_flag_4|Мост
str_mp_landshut_flag_5|Блокгауз
str_mp_landshut_flag_6|Ферма
str_mp_landshut_flag_7|Переправа
str_mp_russian_village_flag_1|Поселок лесорубов
str_mp_russian_village_flag_2|Охотничий двор
str_mp_russian_village_flag_3|русская деревня
str_mp_minden_flag_1|Минден
str_mp_minden_flag_2|Лагерь
str_mp_minden_flag_3|Хальхен
str_mp_minden_flag_4|Ферма Нетсбанд
str_mp_minden_flag_5|Штеммер
str_mp_minden_flag_6|Тодтенхаузенский кабак
str_mp_minden_flag_7|Церковь Мальбергена
str_mp_minden_flag_8|Нойланд
str_mp_minden_flag_9|Финтер Рей
str_mp_oaksfield_flag_1|Штабквартира  1
str_mp_oaksfield_flag_2|Штабквартира  2
str_mp_oaksfield_flag_3|Пшеничное поле
str_mp_oaksfield_flag_4|Рынок
str_mp_oaksfield_flag_5|Дубовка
str_mp_quatre_bras_flag_1|Пирамон
str_mp_quatre_bras_flag_2|Кватр-Бра
str_mp_quatre_bras_flag_3|Лес Боссу
str_mp_quatre_bras_flag_4|Малый Пирамон
str_mp_quatre_bras_flag_5|Гемьонкур
str_mp_river_crossing_flag_1|Редут 1
str_mp_river_crossing_flag_2|Редут 2
str_mp_river_crossing_flag_3|Город Мартиниц
str_mp_roxburgh_flag_1|Флаг 1
str_mp_roxburgh_flag_2|Флаг 2
str_mp_roxburgh_flag_3|Флаг 3
str_mp_roxburgh_flag_4|Флаг 4
str_mp_roxburgh_flag_5|Флаг 5
str_mp_roxburgh_flag_6|Флаг 6
str_mp_roxburgh_flag_7|Флаг 7
str_mp_schemmerbach_flag_1|Ферма Шмербах
str_mp_schemmerbach_flag_2|Мост Шмербах
str_mp_schemmerbach_flag_3|Переправа
str_mp_schemmerbach_flag_4|Поле
str_mp_slovenian_village_flag_1|Дорога
str_mp_slovenian_village_flag_2|Бухта
str_mp_slovenian_village_flag_3|Словенское село
str_mp_slovenian_village_flag_4|Лес
str_mp_slovenian_village_flag_5|Река
str_mp_champs_elysees_flag_1|Западная авеню
str_mp_champs_elysees_flag_2|Восточная авеню
str_mp_champs_elysees_flag_3|Южно-западный квартал
str_mp_champs_elysees_flag_4|Южно-восточный квартал
str_mp_champs_elysees_flag_5|Северо-восточный квартал
str_mp_champs_elysees_flag_6|Северо-западный квартал
str_mp_champs_elysees_flag_7|Триумфальная арка
str_mp_fort_vincey_flag_1|Форт Уиттингтон
str_mp_fort_vincey_flag_2|Малый редут
str_mp_fort_vincey_flag_3|Передовой редут
str_mp_fort_vincey_flag_4|Траншея
str_mp_fort_vincey_flag_5|Большой редут
str_mp_swamp_flag_1|Лагерь
str_mp_swamp_flag_2|Зигбург
str_mp_swamp_flag_3|Мост
str_mp_swamp_flag_4|Остров на болоте
str_mp_swamp_flag_5|Главная дорога
str_mp_swamp_flag_6|Кладбище
str_mp_swamp_flag_7|Рыбацкая хижина
str_mp_walloon_farm_flag_1|Восточный лагерь
str_mp_walloon_farm_flag_2|Западный лагерь
str_mp_walloon_farm_flag_3|Восточный холм
str_mp_walloon_farm_flag_4|Ферма
str_mp_walloon_farm_flag_5|Западный холм
str_mp_walloon_farm_flag_6|Редут
str_scene_making_welcome_message|Добро пожадовать в режим редактирования уровней.^Здесь Вы можете создавать новые уровни или редактировать старые.^^Настройки пропов:^^# Weather props:^spr mm weather time      # var1 = time of day 0-23; Default = 15 (hours)^spr mm weather rain      # var1 = rain type; 1 = rain 2 = snow, var2 = rain amount 0-25^spr mm weather clouds    # var1 = cloud amount 0-100; Default = 30^spr mm weather fog       # var1 = fog distance in meters x 10 where fog completely blocks visibility. 1-127^spr mm weather thunder   # var1 = thunder type: 0 = none 1 = thunder only 2 = thunder & lighting,^                         # var2 = thunder frequency 0-100 ; the higher value the more thunder.^^# Door props:^All openable doors       # var1 = Team ownership; 1 = Team1 can open, 2 = Team2 can open; else all can open.^^# Cannon setting props:^spr mm spawn with cannon # If added to the map artillery sargeants spawn with the cannon.^
str_tutorial_info_1|Черт возьми!Да это ведь кофе!! Я же четко и недвусмысленно сказал:"ЧАААААЮ МНЕ!!!!"...О чем это я? Ах да!Добро пожаловать в тренировочную миссию игры Маунт&Блейд:Наполеоновские войны, друг мой!^ Итак, для начала используйте комбинацию клавиш 'WASD' чтобы добраться до места,указанного красной стрелкой. Вы можете использовать мышь чтобы оглянуться. Все средства хороши, лишь бы вовремя заметить французов, не так ли?! Ахахахаха!
str_tutorial_info_2|Видите этот восхитительный образец непревзойденной британской инженерной мысли? Посмотрите прямо на ружье и нажмите 'F' чтобы взять его!
str_tutorial_info_3|Прекрасно!Вы,господин,теперь вооружены! Давайте-ка слегка навредим вон тем чучелам прямо перед вами.^Зажмите левую кнопку мыши чтобы прицелиться, одновременно используя движения мыши для наведения.Вам будет полезно узнать, что ружья в наши наполеоновские времена слегка не предсказуемы, ну или если быть чуть более предвзятым - абсолютно неточны.Ха!^Как только Вы будете удовлетворены своим прицелом, отпускайте левую кнопку мыши и ружье выстрелит!
str_tutorial_info_4|Ну как же так!Вы, кажется,промахнулись.Нет повода не зарядить Ваше оружие снова и поквитаться с непослушной мишенью!^ Для этого нажмите и отпустите левую кнопку мыши, а затем дождитесь, пока Ваш персонаж выполнит все приемы за Вас. Это займет какое-то время.Девятнадцатый век на дворе, знаете ли..Помните также, что двигаться в процессе заряжения ружья нельзя^Как только закончите с заряжанием, попробуйте разобраться с одним из этих чучел. И не бойтесь неудачи, Вы всегда успеете зарядить и выстрелить снова!
str_tutorial_info_5|Хорошо сделано, милостивый сударь!Теперь, если на то будет Ваша воля, можете продолжать практиковаться в стрельбе;^ В противном же случае можете отправиться налево в следующую зону, путь к которой Вам укажет стрелка.
str_tutorial_info_6|Прекрасный выстрел!Если хотите, сударь, Вы можете зарядить Ваше оружие и выстрелить снова.^ Для этого нажмите и отпустите левую кнопку мыши, а затем дождитесь, пока ваш персонаж выполнит все приемы за вас. Это займет какое-то время.Девятнадцатый век на дворе, знаете ли..Помните также, что двигаться в процессе заряжения ружья нельзя.^Как только почувствуете, что уже набили руку в стрельбе,можете отправиться налево в следующую зону. Путь Ваш укажет стрелка.
str_tutorial_info_7|Бывают такие моменты в бою, когда крайне предпочтительно подойти к французу поближе, и именно для таких случаев на Ваше ружье насажен штык.^Тем не менее, на данный момент Ваше ружье находится в "режиме стрельбы",что обозначается белым(заряжено) или красным(разряжено) кругом в нижнем правом углу экрана;для пользования же штыков нужно перейти в "режим рукопашной", нажав для этого клавишу "Х".При этом круг должен смениться изображением ружья.Сделайте это сейчас же!
