itm_no_item|INVALID ITEM
itm_french_lancer_body_colours|法 國 近 衛 槍 騎 兵 軍 服 
itm_french_lancer_body_colours_pl|法 國 近 衛 槍 騎 兵 軍 服 
itm_french_lancer_body_officer|法 國 近 衛 槍 騎 兵 軍 服 
itm_french_lancer_body_officer_pl|法 國 近 衛 槍 騎 兵 軍 服 
itm_french_cuirassier_ranker|法 國 胸 甲 騎 兵 軍 服 
itm_french_cuirassier_ranker_pl|法 國 胸 甲 騎 兵 軍 服 
itm_french_cuirassier_colours|法 國 胸 甲 騎 兵 軍 服 
itm_french_cuirassier_colours_pl|法 國 胸 甲 騎 兵 軍 服 
itm_french_cuirassier_officer|法 國 胸 甲 騎 兵 軍 服 
itm_french_cuirassier_officer_pl|法 國 胸 甲 騎 兵 軍 服 
itm_french_carabineer_ranker|法 國 火 槍 騎 兵 軍 服 
itm_french_carabineer_ranker_pl|法 國 火 槍 騎 兵 軍 服 
itm_french_carabineer_colours|法 國 火 槍 騎 兵 軍 服 
itm_french_carabineer_colours_pl|法 國 火 槍 騎 兵 軍 服 
itm_french_carabineer_officer|法 國 火 槍 騎 兵 軍 服 
itm_french_carabineer_officer_pl|法 國 火 槍 騎 兵 軍 服 
itm_french_hussards_ranker|法 國 輕 騎 兵 軍 服 
itm_french_hussards_ranker_pl|法 國 輕 騎 兵 軍 服 
itm_french_hussards_nco|法 國 輕 騎 兵 軍 服 
itm_french_hussards_nco_pl|法 國 輕 騎 兵 軍 服 
itm_french_hussards_officer|法 國 輕 騎 兵 軍 服 
itm_french_hussards_officer_pl|法 國 輕 騎 兵 軍 服 
itm_french_hussards_trumpeter|法 國 輕 騎 兵 軍 服 
itm_french_hussards_trumpeter_pl|法 國 輕 騎 兵 軍 服 
itm_french_sapper|法 國 工 兵 軍 服 
itm_french_sapper_pl|法 國 工 兵 軍 服 
itm_french_grap_body_drummer|法 國 鼓 手 軍 服 
itm_french_grap_body_drummer_pl|法 國 鼓 手 軍 服 
itm_french_grap_body_flautist|法 國 笛 手 軍 服 
itm_french_grap_body_flautist_pl|法 國 笛 手 軍 服 
itm_french_voltigeur_body_hornist|法 國 尖 兵 軍 服 
itm_french_voltigeur_body_hornist_pl|法 國 尖 兵 軍 服 
itm_french_45e_body_drummer|法 國 鼓 手 軍 服 
itm_french_45e_body_drummer_pl|法 國 鼓 手 軍 服 
itm_french_45e_body_flautist|法 國 笛 手 軍 服 
itm_french_45e_body_flautist_pl|法 國 笛 手 軍 服 
itm_french_84e_body_drummer|法 國 鼓 手 軍 服 
itm_french_84e_body_drummer_pl|法 國 鼓 手 軍 服 
itm_french_84e_body_flautist|法 國 笛 手 軍 服 
itm_french_84e_body_flautist_pl|法 國 笛 手 軍 服 
itm_fr_carabineer_trumpeter|法 國 號 手 軍 服 
itm_fr_carabineer_trumpeter_pl|法 國 號 手 軍 服 
itm_fr_cuirassier_body_trumpeter|法 國 號 手 軍 服 
itm_fr_cuirassier_body_trumpeter_pl|法 國 號 手 軍 服 
itm_french_dragoon_body_trumpeter|法 國 號 手 軍 服 
itm_french_dragoon_body_trumpeter_pl|法 國 號 手 軍 服 
itm_french_lancer_trumpeter_body|法 國 號 手 軍 服 
itm_french_lancer_trumpeter_body_pl|法 國 號 手 軍 服 
itm_french_vistula_body_drummer|維 斯 特 拉 軍 團 服 
itm_french_vistula_body_drummer_pl|維 斯 特 拉 軍 團 服 
itm_french_vistula_body_flautist|維 斯 特 拉 軍 團 服 
itm_french_vistula_body_flautist_pl|維 斯 特 拉 軍 團 服 
itm_french_dragoon_body_sargent|法 國 龍 騎 兵 軍 服 
itm_french_dragoon_body_sargent_pl|法 國 龍 騎 兵 軍 服 
itm_french_arty_train|法 國 輜 重 炮 兵 軍 服 
itm_french_arty_train_pl|法 國 輜 重 炮 兵 軍 服 
itm_french_grenadier_a_cheval_body_trumpeter|法 國 號 手 軍 服 
itm_french_grenadier_a_cheval_body_trumpeter_pl|法 國 號 手 軍 服 
itm_french_captain|法 國 隊 長 
itm_french_captain_pl|法 國 隊 長 
itm_french_equipage_batallion|法 國 裝 備 營 
itm_french_equipage_batallion_pl|法 國 裝 備 營 
itm_french_surgeon|軍 醫 服 裝 
itm_french_surgeon_pl|軍 醫 服 裝 
itm_british_infantry_ranker|英 國 步 兵 軍 服 
itm_british_infantry_ranker_pl|英 國 步 兵 軍 服 
itm_british_infantry_sarge|英 國 步 兵 軍 服 
itm_british_infantry_sarge_pl|英 國 步 兵 軍 服 
itm_british_infantry_officer|英 國 步 兵 軍 服 
itm_british_infantry_officer_pl|英 國 步 兵 軍 服 
itm_british_infantry_drum|英 國 步 兵 軍 服 
itm_british_infantry_drum_pl|英 國 步 兵 軍 服 
itm_british_infantry_flute|英 國 步 兵 軍 服 
itm_british_infantry_flute_pl|英 國 步 兵 軍 服 
itm_british_kgl_ranker|基 加 利 步 兵 軍 服 
itm_british_kgl_ranker_pl|基 加 利 步 兵 軍 服 
itm_british_kgl_sarge|基 加 利 步 兵 軍 服 
itm_british_kgl_sarge_pl|基 加 利 步 兵 軍 服 
itm_british_kgl_officer|基 加 利 步 兵 軍 服 
itm_british_kgl_officer_pl|基 加 利 步 兵 軍 服 
itm_british_kgl_drum|基 加 利 步 兵 軍 服 
itm_british_kgl_drum_pl|基 加 利 步 兵 軍 服 
itm_british_kgl_flute|基 加 利 步 兵 軍 服 
itm_british_kgl_flute_pl|基 加 利 步 兵 軍 服 
itm_british_highland_ranker|英 國 高 地 步 兵 軍 服 
itm_british_highland_ranker_pl|英 國 高 地 步 兵 軍 服 
itm_british_highland_sarge|英 國 高 地 步 兵 軍 服 
itm_british_highland_sarge_pl|英 國 高 地 步 兵 軍 服 
itm_british_highland_officer|英 國 高 地 步 兵 軍 服 
itm_british_highland_officer_pl|英 國 高 地 步 兵 軍 服 
itm_british_highland_drummer|英 國 高 地 步 兵 軍 服 
itm_british_highland_drummer_pl|英 國 高 地 步 兵 軍 服 
itm_british_highland_piper|英 國 高 地 步 兵 軍 服 
itm_british_highland_piper_pl|英 國 高 地 步 兵 軍 服 
itm_british_highland_piper_2|英 國 高 地 步 兵 軍 服 
itm_british_highland_piper_2_pl|英 國 高 地 步 兵 軍 服 
itm_british_guard_ranker|英 國 近 衛 步 兵 軍 服 
itm_british_guard_ranker_pl|英 國 近 衛 步 兵 軍 服 
itm_british_guard_sarge|英 國 近 衛 步 兵 軍 服 
itm_british_guard_sarge_pl|英 國 近 衛 步 兵 軍 服 
itm_british_guard_officer|英 國 近 衛 步 兵 軍 服 
itm_british_guard_officer_pl|英 國 近 衛 步 兵 軍 服 
itm_british_guard_drum|英 國 近 衛 步 兵 軍 服 
itm_british_guard_drum_pl|英 國 近 衛 步 兵 軍 服 
itm_british_guard_flute|英 國 近 衛 步 兵 軍 服 
itm_british_guard_flute_pl|英 國 近 衛 步 兵 軍 服 
itm_british_light_ranker|英 國 輕 步 兵 軍 服 
itm_british_light_ranker_pl|英 國 輕 步 兵 軍 服 
itm_british_light_sarge|英 國 輕 步 兵 軍 服 
itm_british_light_sarge_pl|英 國 輕 步 兵 軍 服 
itm_british_light_officer|英 國 輕 步 兵 軍 服 
itm_british_light_officer_pl|英 國 輕 步 兵 軍 服 
itm_british_light_bugler|英 國 輕 步 兵 軍 服 
itm_british_light_bugler_pl|英 國 輕 步 兵 軍 服 
itm_british_rifle_ranker|英 國 步 槍 兵 軍 服 
itm_british_rifle_ranker_pl|英 國 步 槍 兵 軍 服 
itm_british_rifle_sarge|英 國 步 槍 兵 軍 服 
itm_british_rifle_sarge_pl|英 國 步 槍 兵 軍 服 
itm_british_rifle_captain|英 國 步 槍 兵 軍 服 
itm_british_rifle_captain_pl|英 國 步 槍 兵 軍 服 
itm_british_rifle_bugler|英 國 步 槍 兵 軍 服 
itm_british_rifle_bugler_pl|英 國 步 槍 兵 軍 服 
itm_british_artillery_ranker|英 國 炮 兵 軍 服 
itm_british_artillery_ranker_pl|英 國 炮 兵 軍 服 
itm_british_artillery_officer|英 國 炮 兵 軍 服 
itm_british_artillery_officer_pl|英 國 炮 兵 軍 服 
itm_british_artillery_train|英 國 炮 兵 軍 服 
itm_british_artillery_train_pl|英 國 炮 兵 軍 服 
itm_british_light_dragoon|英 國 輕 騎 兵 軍 服 
itm_british_light_dragoon_pl|英 國 輕 騎 兵 軍 服 
itm_british_light_dragoon_officer|英 國 輕 騎 兵 軍 服 
itm_british_light_dragoon_officer_pl|英 國 輕 騎 兵 軍 服 
itm_british_inniskilling_ranker|英 國 龍 騎 兵 軍 服 
itm_british_inniskilling_ranker_pl|英 國 龍 騎 兵 軍 服 
itm_british_inniskilling_officer|英 國 龍 騎 兵 軍 服 
itm_british_inniskilling_officer_pl|英 國 龍 騎 兵 軍 服 
itm_british_blue_ranker|英 國 騎 馬 衛 隊 軍 服 
itm_british_blue_ranker_pl|英 國 騎 馬 衛 隊 軍 服 
itm_british_blue_officer|英 國 騎 馬 衛 隊 軍 服 
itm_british_blue_officer_pl|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_ranker|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_ranker_pl|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_officer|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_officer_pl|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_trumpeter|英 國 騎 馬 衛 隊 軍 服 
itm_british_kgl_hussar_trumpeter_pl|英 國 騎 馬 衛 隊 軍 服 
itm_british_wellington|英 國 威 靈 頓 軍 服 
itm_british_wellington_pl|英 國 威 靈 頓 軍 服 
itm_british_rocketeer|英 國 火 箭 炮 兵 軍 服 
itm_british_rocketeer_pl|英 國 火 箭 炮 兵 軍 服 
itm_british_sapper|英 國 工 兵 軍 服 
itm_british_sapper_pl|英 國 工 兵 軍 服 
itm_british_captain|英 國 隊 長 軍 服 
itm_british_captain_pl|英 國 隊 長 軍 服 
itm_british_royal_marine|英 國 皇 家 海 軍 軍 服 
itm_british_royal_marine_pl|英 國 皇 家 海 軍 軍 服 
itm_naked_female_body|裸 女 
itm_naked_female_body_pl|裸 女 
itm_naked_male_body|裸 男 
itm_naked_male_body_pl|裸 男 
itm_british_surgeon|軍 醫 服 裝 
itm_british_surgeon_pl|軍 醫 服 裝 
itm_prussian_infantry_ranker|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_ranker_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_nco|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_nco_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_officer|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_officer_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_drum|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_drum_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_flute|普 魯 士 步 兵 軍 服 
itm_prussian_infantry_flute_pl|普 魯 士 步 兵 軍 服 
itm_prussian_dragoon_ranker|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_ranker_pl|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_nco|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_nco_pl|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_officer|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_officer_pl|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_trumpet|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_dragoon_trumpet_pl|普 魯 士 龍 騎 兵 軍 服 
itm_prussian_jaeger_ranker|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_ranker_pl|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_ranker_alt|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_ranker_alt_pl|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_nco|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_nco_pl|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_officer|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_officer_pl|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_hornist|普 魯 士 純 毛 軍 服 
itm_prussian_jaeger_hornist_pl|普 魯 士 純 毛 軍 服 
itm_prussian_guard_ranker|普 魯 士 近 衛 軍 服 
itm_prussian_guard_ranker_pl|普 魯 士 近 衛 軍 服 
itm_prussian_guard_nco|普 魯 士 近 衛 軍 服 
itm_prussian_guard_nco_pl|普 魯 士 近 衛 軍 服 
itm_prussian_guard_officer|普 魯 士 近 衛 軍 服 
itm_prussian_guard_officer_pl|普 魯 士 近 衛 軍 服 
itm_prussian_guard_drummer|普 魯 士 近 衛 軍 服 
itm_prussian_guard_drummer_pl|普 魯 士 近 衛 軍 服 
itm_prussian_guard_flute|普 魯 士 近 衛 軍 服 
itm_prussian_guard_flute_pl|普 魯 士 近 衛 軍 服 
itm_prussian_arty_ranker|普 魯 士 炮 兵 軍 服 
itm_prussian_arty_ranker_pl|普 魯 士 炮 兵 軍 服 
itm_prussian_arty_train|普 魯 士 炮 兵 軍 服 
itm_prussian_arty_train_pl|普 魯 士 炮 兵 軍 服 
itm_prussian_arty_officer|普 魯 士 炮 兵 軍 服 
itm_prussian_arty_officer_pl|普 魯 士 炮 兵 軍 服 
itm_prussian_hussar_ranker|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_ranker_pl|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_nco|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_nco_pl|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_officer|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_officer_pl|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_officer_variant|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_officer_variant_pl|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_trumpet|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_hussar_trumpet_pl|普 魯 士 輕 騎 兵 軍 服 
itm_prussian_infantry2_ranker|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_ranker_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_nco|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_nco_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_officer|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_officer_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_drum|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_drum_pl|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_flute|普 魯 士 步 兵 軍 服 
itm_prussian_infantry2_flute_pl|普 魯 士 步 兵 軍 服 
itm_prussian_landwehr_ranker|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_ranker_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_ranker_alt|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_ranker_alt_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_nco|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_nco_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_officer|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_officer_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_drum|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_drum_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_flute|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_flute_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_ranker|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_ranker_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_nco|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_nco_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_officer|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_officer_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_trumpet|普 魯 士 后 備 兵 軍 服 
itm_prussian_landwehr_cav_trumpet_pl|普 魯 士 后 備 兵 軍 服 
itm_prussian_blucher|布 呂 歇 爾 軍 服 
itm_prussian_blucher_pl|布 呂 歇 爾 軍 服 
itm_prussian_cuirassier_ranker|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_ranker_pl|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_nco|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_nco_pl|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_officer|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_officer_pl|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_trumpet|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_cuirassier_trumpet_pl|普 魯 士 胸 甲 騎 兵 軍 服 
itm_prussian_freikorps_ranker|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_ranker_pl|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_nco|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_nco_pl|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_officer|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_officer_pl|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_drum|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_drum_pl|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_flute|普 魯 士 志 願 兵 軍 服 
itm_prussian_freikorps_flute_pl|普 魯 士 志 願 兵 軍 服 
itm_prussian_pioneer|普 魯 士 先 鋒 軍 服 
itm_prussian_pioneer_pl|普 魯 士 先 鋒 軍 服 
itm_prussian_surgeon|軍 醫 服 裝 
itm_prussian_surgeon_pl|軍 醫 服 裝 
itm_russian_infantry1|俄 羅 斯 步 兵 軍 服 
itm_russian_infantry1_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_infantry_nco|俄 羅 斯 步 兵 軍 服 
itm_russian_infantry_nco_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_infantry_officer|俄 羅 斯 步 兵 軍 服 
itm_russian_infantry_officer_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_drummer|俄 羅 斯 步 兵 軍 服 
itm_russian_drummer_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_flautist|俄 羅 斯 步 兵 軍 服 
itm_russian_flautist_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_hussar_officer|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_officer_pl|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_nco|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_nco_pl|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_ranker|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_ranker_pl|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_trumpeter|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_hussar_trumpeter_pl|俄 羅 斯 輕 騎 兵 軍 服 
itm_russian_horse_guard|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_pl|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_nco|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_nco_pl|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_officer|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_officer_pl|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_trumpeter|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_horse_guard_trumpeter_pl|俄 羅 斯 胸 甲 騎 兵 軍 服 
itm_russian_cossack_officer|俄 羅 斯 哥 薩 克 軍 服 
itm_russian_cossack_officer_pl|俄 羅 斯 哥 薩 克 軍 服 
itm_russian_cossack|俄 羅 斯 哥 薩 克 軍 服 
itm_russian_cossack_pl|俄 羅 斯 哥 薩 克 軍 服 
itm_kutuzov|庫 圖 佐 夫 軍 服 
itm_kutuzov_pl|庫 圖 佐 夫 軍 服 
itm_russian_militia_officer|俄 羅 斯 民 兵 軍 官 服 
itm_russian_militia_officer_pl|俄 羅 斯 民 兵 軍 官 服 
itm_russian_militia_ranker|俄 羅 斯 民 兵 軍 服 
itm_russian_militia_ranker_pl|俄 羅 斯 民 兵 軍 服 
itm_russian_guard_officer|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_officer_pl|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_nco|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_nco_pl|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_ranker|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_ranker_pl|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_drummer|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_drummer_pl|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_flautist|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_guard_flautist_pl|俄 羅 斯 近 衛 步 兵 軍 服 
itm_russian_jaeger_officer|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_officer_pl|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_nco|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_nco_pl|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_ranker|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_ranker_pl|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_musician|俄 羅 斯 純 毛 軍 服 
itm_russian_jaeger_musician_pl|俄 羅 斯 純 毛 軍 服 
itm_russian_gren_officer|俄 羅 斯 步 兵 軍 服 
itm_russian_gren_officer_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_gren_nco|俄 羅 斯 步 兵 軍 服 
itm_russian_gren_nco_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_gren_ranker|俄 羅 斯 步 兵 軍 服 
itm_russian_gren_ranker_pl|俄 羅 斯 步 兵 軍 服 
itm_russian_arty_officer|俄 羅 斯 炮 兵 軍 服 
itm_russian_arty_officer_pl|俄 羅 斯 炮 兵 軍 服 
itm_russian_arty_nco|俄 羅 斯 炮 兵 軍 服 
itm_russian_arty_nco_pl|俄 羅 斯 炮 兵 軍 服 
itm_russian_arty_ranker|俄 羅 斯 炮 兵 軍 服 
itm_russian_arty_ranker_pl|俄 羅 斯 炮 兵 軍 服 
itm_russian_dragoon_officer|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_officer_pl|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_nco|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_nco_pl|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_ranker|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_ranker_pl|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_trumpeter|俄 羅 斯 龍 騎 兵 軍 服 
itm_russian_dragoon_trumpeter_pl|俄 羅 斯 龍 騎 兵 軍 服 
itm_rus_partizan1|俄 羅 斯 上 品 外 套 
itm_rus_partizan1_pl|俄 羅 斯 上 品 外 套 
itm_rus_partizan2|俄 羅 斯 上 品 外 套 
itm_rus_partizan2_pl|俄 羅 斯 上 品 外 套 
itm_russian_uhlan_officer|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_officer_pl|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_nco|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_nco_pl|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_ranker|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_ranker_pl|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_trumpeter|俄 羅 斯 槍 騎 兵 軍 服 
itm_russian_uhlan_trumpeter_pl|俄 羅 斯 槍 騎 兵 軍 服 
itm_rus_pioneer|俄 羅 斯 先 鋒 軍 服 
itm_rus_pioneer_pl|俄 羅 斯 先 鋒 軍 服 
itm_russian_surgeon|軍 醫 服 裝 
itm_russian_surgeon_pl|軍 醫 服 裝 
itm_austrian_infantry|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_pl|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_nco|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_nco_pl|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_officer|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_officer_pl|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_drummer|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_drummer_pl|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_fifer|奧 地 利 步 兵 軍 服 
itm_austrian_infantry_fifer_pl|奧 地 利 步 兵 軍 服 
itm_austrian_infantry2|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_nco|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_nco_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_officer|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_officer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_drummer|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_drummer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_fifer|匈 牙 利 步 兵 軍 服 
itm_austrian_infantry2_fifer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_alt|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_alt_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_nco|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_nco_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_officer|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_officer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_drummer|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_drummer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_fifer|匈 牙 利 步 兵 軍 服 
itm_austrian_grenadier_fifer_pl|匈 牙 利 步 兵 軍 服 
itm_austrian_grenzer|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_pl|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_nco|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_nco_pl|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_officer|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_officer_pl|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_drummer|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_drummer_pl|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_fifer|奧 地 利 輕 步 兵 軍 服 
itm_austrian_grenzer_fifer_pl|奧 地 利 輕 步 兵 軍 服 
itm_austrian_jaeger|奧 地 利 純 毛 軍 服 
itm_austrian_jaeger_pl|奧 地 利 純 毛 軍 服 
