str_no_string|NO STRING!
str_quick_battle_landshut|蘭 茨 胡 特 
str_quick_battle_river_crossing|渡 河 
str_quick_battle_spanish_village|西 班 牙 村 莊 
str_quick_battle_strangefields|奇 妙 之 地 
str_quick_battle_scene_1|丘 陵 
str_quick_battle_scene_2|雪 域 平 原 
str_quick_battle_scene_3|林 地 
str_quick_battle_scene_4|草 原 
str_quick_battle_scene_6|沙 漠 
str_map_basic|地 圖 
str_game_type_basic|遊 戲 類 型 
str_battle|戰 場 
str_character|角 色 
str_player|玩 家 
str_enemy|敵 人 
str_faction|國 家 
str_start|開 始 
str_custom_battle|自 定 義 戰 場 
str_plus|+
str_minus|-
str_server_name_s0|伺 服 器 名 ： {s0}
str_map_name_s0|地 圖 名 稱 ： {s0}
str_game_type_s0|遊 戲 類 型 ： {s0}
str_remaining_time_s0reg0_s1reg1|剩 余 時 間 ： {s0}{reg0}： {s1}{reg1}
str_a_duel_request_is_sent_to_s0|給 您 發 送 決 鬥 邀 請 {s0}。 
str_s0_offers_a_duel_with_you|{s0}與 你 決 鬥 。 
str_your_duel_with_s0_is_cancelled|你 和 {s0}的 決 鬥 被 取 消 。 
str_a_duel_between_you_and_s0_will_start_in_3_seconds|你 和 {s0}的 決 鬥 將 在 3秒 鐘 后 開 始 。 
str_you_have_lost_a_duel|你 輸 掉 了 決 鬥 。 
str_you_have_won_a_duel|你 贏 得 了 決 鬥 ！ 
str_server_s0|[伺 服 器 ]： {s0}
str_disallow_ranged_weapons|禁 止 遠 程 武 器 。 
str_ranged_weapons_are_disallowed|不 允 許 遠 程 武 器 。 
str_ranged_weapons_are_allowed|允 許 遠 程 武 器 。 
str_duel_starts_in_reg0_seconds|決 鬥 將 在 {reg0}秒 后 開 始 … … 
str_true|True
str_false|False
str_teamkilled_s1_s2|{s1}誤 殺 {s2}。 
str_kick_server_kills_first_s1_reg5|{s1}因 為 {reg5}次 誤 殺 后 踢 出 ， 首 次 。 
str_kick_server_kills_second_s1_reg5|{s1}因 為 {reg5}次 誤 殺 后 踢 出 ， 第 二 次 。 
str_ban_server_kills_s1_reg5|{s1}因 為 {reg5}次 踢 出 后 被 禁 止 進 入 伺 服 器 。 
str_warning_message_first_reg5|你 已 經 誤 殺 {reg5}名 玩 家 在 這 張 地 圖 中 ， 注 意 ！ 
str_warning_message_second_reg5|你 已 經 誤 殺 {reg5}名 玩 家 在 這 張 地 圖 中 ， 注 意 ， 下 一 次 會 被 踢 出 ！ 
str_kick_to_message_first|你 現 在 因 為 過 度 誤 殺 被 踢 出 ， 注 意 ！ 
str_kick_to_message_second|你 現 在 因 為 過 度 誤 殺 被 踢 出 ， 注 意 ！ 下 一 次 就 禁 止 進 入 伺 服 器 ！ 
str_ban_to_message|你 已 經 因 為 過 度 誤 殺 被 禁 止 進 入 伺 服 器 ， 永 別 ！ 
str_auto_kick_message_s1|{s1}過 度 誤 殺 被 踢 出 。 
str_auto_ban_message_s1|{s1}過 度 誤 殺 被 封 禁 。 
str_server_hq_base_retake_s1|{s1}奪 回 他 們 的 基 地 ！ ！ 
str_server_hq_base_attack_s1|{s1}的 基 地 正 在 遭 受 攻 擊 ！ 
str_player_left_server_s1_reg13|{s1}離 開 了 遊 戲 ， ID ： {reg13}
str_push_cannon|推 大 炮 
str_fire_cannon|發 射 
str_aim_cannon|瞄 準 
str_unlimber_cannon|卸 下 大 炮 
str_limber_cannon|牽 引 大 炮 
str_load_cartridge|裝 填 炮 彈 
str_load_bomb|裝 填 臼 炮 炮 彈 
str_load_rocket|裝 填 火 箭 彈 
str_reload_cannon|裝 填 大 炮 
str_pick_up_round|拿 起 實 心 彈 
str_pick_up_shell|拿 起 榴 彈 
str_pick_up_canister|拿 起 霰 彈 
str_pick_up_bomb|拿 起 臼 炮 炮 彈 
str_pick_up_rocket|拿 起 火 箭 
str_play_piano|彈 鋼 琴 
str_play_organ|彈 風 琴 
str_take_a_shit|使 用 馬 桶 
str_play_bell|搖 鈴 
str_take_ship_control|操 控 船 隻 
str_cannot_use_piano|無 法 在 馬 背 上 彈 鋼 琴 ！ 
str_cannot_use_organ|無 法 在 馬 背 上 彈 風 琴 ！ 
str_cannot_use_piano_angle|無 法 從 背 面 彈 鋼 琴 ！ 
str_cannot_use_organ_angle|無 法 從 背 面 彈 風 琴 ！ 
str_cannot_use_toilet|無 法 在 馬 背 上 使 用 馬 桶 ！ 
str_piano_in_use|有 其 他 人 已 經 在 彈 鋼 琴 了 ！ 
str_organ_in_use|有 其 他 人 已 經 在 彈 風 琴 了 ！ 
str_toilet_in_use|有 其 他 人 已 經 在 使 用 馬 桶 了 ！ 
str_cannot_use_cannon|你 不 是 炮 兵 部 隊 ， 無 法 操 作 大 炮 ！ 
str_cannot_use_rocket|你 不 是 火 箭 炮 部 隊 ， 無 法 操 作 火 箭 炮 ！ 
str_cannon_not_loaded|大 炮 尚 未 裝 填 ！ 
str_cannon_already_has_ball|炮 彈 已 經 裝 填 完 畢 了 ！ 
str_cannon_already_loaded|大 炮 已 經 裝 填 完 畢 了 ！ 
str_cannot_carry_more_cannon_ammo|你 不 能 攜 帶 更 多 的 炮 彈 了 ！ 
str_cannon_cannot_load_type|這 門 炮 不 能 用 這 種 炮 彈 ！ 
str_need_to_have_a_lighter|你 需 要 點 火 器 來 發 射 大 炮 ！ 
str_need_to_have_a_ramrod|你 需 要 推 彈 杆 來 裝 填 大 炮 ！ 
str_need_to_have_a_ball|你 需 要 炮 彈 來 裝 填 大 炮 ！ 
str_need_to_have_a_horse|你 需 要 炮 兵 馬 來 牽 引 大 炮 ！ 
str_horse_already_has_cannon|這 匹 馬 已 經 牽 引 上 大 炮 了 ！ 
str_already_to_many_barricades|你 的 隊 伍 這 輪 已 經 建 造 夠 多 的 防 御 工 事 了 。 
str_already_to_many_ammobox|你 的 隊 伍 這 輪 已 經 刷 出 夠 多 的 彈 藥 盒 了 。 
str_cannon_is_already_in_use|這 門 大 炮 正 在 被 使 用 中 。 
str_already_to_many_players_class_s21|已 經 有 太 多 的 玩 家 在 選 擇 {s21}了 ， 請 選 擇 其 他 單 位 。 
str_already_to_many_players_rank_mus|已 經 有 足 夠 的 玩 家 在 選 擇 樂 手 了 ， 請 選 擇 其 他 單 位 。 
str_already_to_many_players_rank_srg|已 經 有 太 多 的 玩 家 選 擇 {s21}了 ， 請 選 擇 其 他 單 位 。 
str_already_to_many_players_rank_off|已 經 有 太 多 的 玩 家 選 擇 {s21}了 ， 請 選 擇 其 他 單 位 。 
str_chk_class_limits|啟 用 兵 種 限 制 
str_chk_class_limits_player_count|設 置 啟 用 兵 種 限 制 的 最 少 玩 家 數 目 ： 
str_limit_grenadier|每 隊 近 衛 步 兵 最 大 數 量 百 分 比 (%)： 
str_limit_skirmisher|每 隊 輕 步 兵 最 大 數 量 百 分 比 (%)： 
str_limit_rifle|輕 步 兵 中 來 福 槍 兵 最 大 數 量 百 分 比 (%)： 
str_limit_cavalry|每 隊 騎 兵 最 大 數 量 百 分 比 (%)： 
str_limit_lancer|騎 兵 中 槍 騎 兵 最 大 數 量 百 分 比 (%)： 
str_limit_hussar|騎 兵 中 驃 騎 兵 最 大 數 量 百 分 比 (%)： 
str_limit_dragoon|騎 兵 中 龍 騎 兵 最 大 數 量 的 百 分 比 (%)： 
str_limit_cuirassier|騎 兵 中 胸 甲 騎 兵 最 大 數 量 百 分 比 (%)
str_limit_heavycav|騎 兵 中 無 甲 重 騎 兵 最 大 數 量 百 分 比 (%)： 
str_limit_artillery|每 隊 炮 兵 最 大 數 量 百 分 比 (%)： 
str_limit_rocket|每 隊 火 箭 炮 兵 最 大 數 量 百 分 比 (%)： 
str_limit_sapper|每 隊 工 兵 最 大 數 量 百 分 比 (%)： 
str_limit_musician|每 個 兵 種 樂 手 最 大 數 量 (nr)： 
str_limit_sergeant|每 個 兵 種 軍 士 /旗 手 最 大 數 量 (nr)： 
str_limit_officer|每 個 兵 種 軍 官 最 大 數 量 (nr)： 
str_limit_general|每 隊 將 軍 最 大 數 量 (nr)： 
str_build_points_team_1|1隊 的 建 造 點 數 ： 
str_build_points_team_2|2隊 的 建 造 點 數 ： 
str_allow_multiple_firearms|允 許 攜 帶 復 數 的 火 器 
str_enable_bonuses|開 啟 加 強 
str_bonus_strength|加 強 力 量 (%)： 
str_bonus_range|加 強 射 程 （ 米 ） ： 
str_num_bots_per_squad|每 小 隊 虛 擬 人 數 量 ： 
str_scale_squad_size|調 整 小 隊 人 數 以 平 衡 總 人 數 
str_max_num_bots|最 大 虛 擬 人 數 量 : 
str_chance_of_falling_off_horse|中 彈 后 墜 馬 幾 率 (%)： 
str_damage_from_horse_dying|墜 馬 對 騎 手 的 傷 害 (%)： 
str_admin_start_map_s0_s1_s2_s5_s6|{s0}將 地 圖 改 為 {s2}模 式 下 的 {s1}， 國 家 為 {s5}和 {s6}。 
str_admin_set_max_num_players_s0_reg1|{s0}將 最 大 玩 家 數 目 設 置 為 {reg1}。 
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0}將 {s1}的 虛 擬 人 數 目 設 置 為 {reg1}。 
str_admin_set_friendly_fire_s0_s9|{s0}將 允 許 遠 程 友 軍 傷 害 設 置 為 {s9}。 
str_admin_set_melee_friendly_fire_s0_s9|{s0}將 允 許 友 軍 傷 害 設 置 為 {s9}。 
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0}將 友 軍 傷 害 對 自 身 的 反 彈 率 設 為 為 {reg1}%。 
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1{s0}將 友 軍 傷 害 對 友 軍 的 反 彈 率 設 為 為 {reg1}%。 
str_admin_set_ghost_mode_s0_s1|{s0}將 幽 靈 模 式 設 置 為 {s1}。 
str_admin_set_control_block_dir_s0_s1|{s0}將 格 擋 方 向 控 制 設 置 為 {s1}。 
str_admin_set_combat_speed_s0_s1|{s0}將 戰 鬥 速 度 設 置 為 {s1}。 
str_admin_set_respawn_count_s0_s1|{s0}將 防 御 方 最 大 重 生 次 數 設 置 為 {s1}。 
str_admin_set_add_to_servers_list_s0_s9|{s0}將 此 伺 服 器 加 入 伺 服 器 名 單 設 置 為 {s9}。 
str_admin_set_respawn_period_s0_reg1|{s0}將 重 生 時 間 設 置 為 {s9}。 
str_admin_set_game_max_minutes_s0_reg1|{s0}將 地 圖 時 間 限 制 設 置 為 {s9}。 
str_admin_set_round_max_seconds_s0_reg1|{s0}將 每 局 時 間 限 制 設 置 為 {s9}。 
str_admin_set_player_respawn_as_bot_s0_s9|{s0}將 玩 家 死 亡 后 切 換 到 虛 擬 人 設 置 為 {s9}。 
str_admin_set_game_max_points_s0_reg1|{s0}將 遊 戲 最 大 分 數 設 置 為 {s9}。 
str_admin_set_point_gained_from_flags_s0_reg1|{s0}將 旗 幟 獎 勵 分 數 設 置 為 {reg1}。 
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0}將 奪 旗 獎 勵 隊 伍 分 數 設 置 為 {reg1}。 
str_admin_set_initial_gold_multiplier_s0_reg1|{s0}將 玩 家 初 始 金 幣 設 置 為 {reg1}%。 
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0}將 戰 鬥 得 到 的 金 幣 比 率 設 置 為 {reg1}%。 
str_admin_set_round_earnings_multiplier_s0_reg1|{s0}將 每 輪 額 外 金 幣 獎 勵 設 置 為 {reg1}%。 
str_admin_set_server_name_s1_s0|{s1}將 伺 服 器 名 稱 設 置 為 {s0}
str_admin_set_game_password_s1_s0|{s1}將 伺 服 器 密 碼 設 置 為 {s0}
str_admin_set_welcome_message_s1|{s1}改 變 了 伺 服 器 介 紹 
str_admin_set_welcome_message_s1_s0|{s1}將 伺 服 器 介 紹 設 置 為 {s0}
str_admin_set_valid_vote_ratio_s0_reg1|{s0}將 投 票 通 過 最 低 百 分 比 設 置 為 {reg1}%。 
str_admin_set_auto_team_balance_limit_s0_s1|{s0}將 自 動 平 衡 隊 伍 限 制 設 置 為 {s1}。 
str_admin_set_num_bots_voteable_s0_reg1|{s0}將 允 許 投 票 的 最 大 虛 擬 人 數 量 設 置 為 {reg1}。 
str_admin_set_factions_voteable_s0_s9|{s0}將 允 許 國 家 投 票 設 置 為 {s9}。 
str_admin_set_maps_voteable_s0_s9|{s0}將 允 許 地 圖 投 票 設 置 為 {s9}。 
str_admin_set_kick_voteable_s0_s9|{s0}將 允 許 投 票 踢 出 玩 家 設 置 為 {s9}。 
str_admin_set_ban_voteable_s0_s9|{s0}將 允 許 投 票 封 禁 玩 家 設 置 為 {s9}。 
str_admin_set_allow_player_banners_s0_s9|{s0}將 允 許 使 用 個 人 旗 幟 設 置 為 {s9}。 
str_admin_set_force_default_armor_s0_s9|{s0}將 強 制 初 始 防 具 設 置 為 {s9}。 
str_admin_set_disallow_ranged_weapons_s0_s9|{s0}將 禁 止 遠 程 武 器 設 置 為 {s9}。 
str_admin_set_mod_variable_auto_kick_s0_s9|{s0}將 自 動 踢 出 隊 友 殺 手 設 置 為 {s9}。 
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0}將 誤 殺 次 數 臨 界 值 設 置 為 {reg1}。 
str_admin_set_mod_variable_auto_horse_s0_s9|{s0}將 自 動 殺 死 無 主 馬 匹 設 置 為 {s9}。 
str_admin_set_mod_variable_auto_swap_s0_s9|{s0}將 攻 城 和 戰 場 模 式 中 自 動 交 換 隊 伍 設 置 為 {s9}。 
str_admin_set_use_class_limits_s0_s9|{s0}將 使 用 兵 種 限 制 設 置 為 {s9}。 
str_admin_set_class_limit_player_count_s0_reg1|{s0}將 兵 種 限 制 所 需 要 的 最 小 玩 家 數 目 設 置 為 {reg1}。 
str_admin_set_limit_grenadier_s0_reg1|{s0}將 近 衛 步 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_skirmisher_s0_reg1|{s0}將 輕 步 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_rifle_s0_reg1|{s0}將 來 福 槍 兵 比 率 設 置 為 輕 步 兵 的 {reg1}%。 
str_admin_set_limit_cavalry_s0_reg1|{s0}將 騎 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_lancer_s0_reg1|{s0}將 槍 騎 兵 比 率 設 置 為 騎 兵 的 {reg1}%。 
str_admin_set_limit_hussar_s0_reg1|{s0}將 輕 騎 兵 比 率 設 置 為 騎 兵 的 {reg1}%。 
str_admin_set_limit_dragoon_s0_reg1|{s0}將 龍 騎 兵 比 率 設 置 為 騎 兵 的 {reg1}%。 
str_admin_set_limit_cuirassier_s0_reg1|{s0}將 胸 甲 騎 兵 比 率 設 置 為 騎 兵 的 {reg1}%。 
str_admin_set_limit_heavycav_s0_reg1|{s0}將 無 甲 重 騎 兵 比 率 設 置 為 騎 兵 的 {reg1}%。 
str_admin_set_limit_artillery_s0_reg1|{s0}將 炮 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_rocket_s0_reg1|{s0}將 火 箭 炮 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_sapper_s0_reg1|{s0}將 工 兵 比 率 設 置 為 隊 伍 的 {reg1}%。 
str_admin_set_limit_musician_s0_reg1|{s0}將 每 個 兵 種 軍 樂 手 最 大 數 目 設 置 為 {reg1}。 
str_admin_set_limit_sergeant_s0_reg1|{s0}將 每 個 兵 種 軍 士 /旗 手 最 大 數 目 設 置 為 {reg1}。 
str_admin_set_limit_officer_s0_reg1|{s0}將 每 個 兵 種 軍 官 最 大 數 目 設 置 為 {reg1}。 
str_admin_set_limit_general_s0_reg1|{s0}將 每 隊 將 軍 最 大 數 目 設 置 為 {reg1}。 
str_admin_set_build_points_team_1_s0_reg1|{s0}將 1隊 的 建 造 點 數 設 置 為 {reg1}。 
str_admin_set_build_points_team_2_s0_reg1|{s0}將 2隊 的 建 造 點 數 設 置 為 {reg1}。 
str_admin_set_squad_size_s0_reg1|{s0}將 每 小 隊 虛 擬 人 數 量 設 置 為 {reg1}。 
str_admin_set_scale_squad_size_s0_s9|{s0}將 自 動 平 衡 小 隊 人 數 設 置 為 {s9}。 
str_admin_set_max_num_bots_s0_reg1|{s0}將 最 大 虛 擬 人 數 量 設 置 為 {reg1}。 
str_admin_set_allow_multiple_firearms_s0_s9|{s0}將 允 許 攜 帶 復 數 火 器 設 置 為 {s9}。 
str_admin_set_enable_bonuses_s0_s9|{s0}將 開 啟 加 強 設 置 為 {s9}。 
str_admin_set_bonus_strength_s0_reg1|{s0}將 力 量 加 強 設 為 {reg1}%。 
str_admin_set_bonus_range_s0_reg1|{s0}將 射 程 加 強 設 為 {reg1}米 。 
str_admin_set_fall_off_horse_s0_reg1|{s0}將 墜 馬 幾 率 設 置 為 {reg1}%。 
str_admin_set_horse_dying_s0_reg1|{s0}將 墜 馬 傷 害 設 置 為 {reg1}%。 
str_mute_all|沉 默 所 有 玩 家 
str_unmute_all|取 消 沉 默 所 有 玩 家 
str_slay_player|殺 死 玩 家 
str_slay_player_s2_s3|{s2}殺 死 了 玩 家 {s3}。 
str_slay_all|殺 死 所 有 人 
str_slay_all_s2|{s2}殺 死 了 所 有 人 。 
str_freeze_player|凍 結 玩 家 
str_freeze_player_s2_s3|{s2}凍 結 了 玩 家 {s3}。 
str_freeze_all|凍 結 所 有 人 
str_freeze_all_s2|{s2}凍 結 了 所 有 人 。 
str_swap_player|交 換 玩 家 
str_swap_player_s2_s3|{s2}把 玩 家 {s3}換 到 對 面 的 陣 營 。 
str_swap_all|交 換 所 有 人 
str_swap_all_s2|{s2}把 所 有 人 換 到 對 面 的 陣 營 。 
str_forceautobalance_all|自 動 平 衡 
str_forceautobalance_all_s2|{s2}設 置 了 隊 伍 強 制 自 動 平 衡 。 
str_spec_player|把 玩 家 移 到 旁 觀 席 
str_spec_player_s2_s3|{s2}把 玩 家 {s3}移 到 了 旁 觀 席 。 
str_spec_all|把 所 有 人 移 到 旁 觀 席 
str_spec_all_s2|{s2}把 所 有 人 移 到 了 旁 觀 席 
str_kick_player_s2_s3|{s2}踢 出 了 玩 家 {s3}。 
str_ban_player_s2_s3|{s2}永 久 封 禁 了 玩 家 {s3}。 
str_ban_player_temp|暫 時 封 禁玩 家 
str_ban_player_temp_s2_s3|{s2}暫 時 封 禁 了 玩 家 {s3}。 
str_ban_hammer_s2_s3|{s2}把 禁 錘 砸 到 了 {s3}的 臉 上 ， 永 別 了 ！ 
str_admin_cheats|作 弊 
str_choose_a_cheat_type|選 擇 一 種 作 弊 類 型 ： 
str_cheat_spawn_hammer|制 造 禁 錘 
str_cheat_spawn_hammer_s2|{s2}制 造 了 一 個 禁 錘 。 
str_cheat_spawn_hammer_2_s2|然 后 聖 {s2}高 高 舉 起 那 神 聖 禁 錘 ， 說 道 ： “ 主 啊 ， 祝 福 您 這 神 聖 禁 錘 ， 在 您 的 仁 慈 下 ， 有 了 它 您 能 將 您 的 敵 人 砸 成 粉 末 。 ” 接 著 上 帝 嘴 角 露 出 了 微 笑 。 
str_cheat_spawn_shotgun|制 造 霰 彈 槍 
str_cheat_spawn_shotgun_s2|{s2}制 造 了 一 把 霰 彈 槍 。 
str_cheat_spawn_rocketlauncher|制 造 火 箭 發 射 器 
str_cheat_spawn_rocketlauncher_s2|{s2}制 造 了 一 把 火 箭 發 射 器 。 
str_cheat_spawn_grenade|制 造 聖 手 榴 彈 
str_cheat_spawn_grenade_s2|{s2}制 造 了 一 個 聖 手 榴 彈 。 
str_cheat_spawn_grenade_2_s2|然 后 聖 {s2}高 高 舉 起 那 神 聖 手 雷 ， 說 道 ： “ 主 啊 ， 祝 福 您 這 神 聖 手 雷 ， 在 您 的 仁 慈 下 ， 有 了 它 您 能 將 您 的 敵 人 炸 成 粉 末 。 ” 接 著 上 帝 嘴 角 露 出 了 微 笑 。 
str_cheat_spawn_horse|制 造 管 理 員 之 馬 
str_cheat_spawn_horse_s2|{s2}制 造 了 一 匹 管 理 員 之 馬 。 
str_cheat_beacon_player|標 記 玩 家 
str_cheat_beacon_player_s2_s3|{s2}標 記 了 玩 家 {s3}。 
str_cheat_heal_player|醫 治 玩 家 
str_cheat_heal_player_s2_s3|{s2}醫 治 了 玩 家 {s3}。 
str_cheat_heal_all|醫 治 所 有 人 
str_cheat_heal_all_s2|{s2}醫 治 了 所 有 人 。 
str_cheat_ammo_player|補 充 玩 家 彈 藥 
str_cheat_ammo_player_s2_s3|{s2}補 充 了 玩 家 {s3}的 彈 藥 
str_cheat_ammo_all|補 充 所 有 人 彈 藥 
str_cheat_ammo_all_s2|{s2}補 充 了 所 有 人 的 彈 藥 。 
str_cheat_tele_to_player|傳 送 到 玩 家 
str_cheat_tele_to_player_s2_s3|{s2}傳 送 自 己 到 玩 家 {s3}。 
str_cheat_tele_bring_player|召 唤 玩 家 
str_cheat_tele_bring_player_s2_s3|{s2}把 玩 家 {s3}傳 送 到 自 己 跟 前 。 
str_cheat_tele_wall|瞬 移 穿 牆 
str_cheat_tele_wall_s2|{s2}使 用 了 瞬 移 。 
str_admin_chat|管 理 員 發 言 
str_admin_chat_intern|管 理 員 私 聊 
str_admin_chat_s1_s0|*管 理 員 *[{s1}]： {s0}
str_inter_admin_chat_s1_s0|[{s1}]： {s0}
str_chk_auto_kick|啟 用 自 動 踢 出 /封 禁 
str_num_max_teamkills_before_kick|自 動 踢 出 /封 禁 臨 界 值 ： 
str_chk_auto_horse|啟 用 自 動 殺 死 無 主 馬 
str_chk_auto_swap|啟 用 攻 城 和 戰 場 模 式 自 動 交 換 團 隊 
str_reset_map|重 置 地 圖 
str_reset_map_s2|{s2}重 置 了 地 圖 。 
str_console_command|管 理 員 控 制 台 
str_player_kicked_cheating_s2|{s2}由 於 作 弊 被 踢 出 了 伺 服 器 。 
str_next_page|下 一 頁 
str_auto_assign|自 動 選 擇 
str_begin|開 始 
str_game_rules|遊 戲 規 則 ： ^
str_britain_name|聯 合 王 國 
str_france_name|法 蘭 西 帝 國 
str_prussia_name|普 魯 士 王 國 
str_russia_name|俄 羅 斯 帝 國 
str_austria_name|奧 地 利 帝 國 
str_rhine_name|萊 茵 邦 聯 
str_infantry|步 兵 
str_cavalry|騎 兵 
str_specialists|專 業 兵 
str_ranker|士 兵 
str_equipment|裝 備 
str_random|隨 機 
str_howitzer|榴 彈 炮 
str_cannon|加 農 炮 
str_all_fire_now|全 體 開 火 ！ 
str_left_fire_now|左 翼 開 火 ！ 
str_middle_fire_now|中 間 開 火 ！ 
str_right_fire_now|右 翼 開 火 ！ 
str_fire_at_my_command|聽 命 開 火 ！ 
str_use_melee_weapons|使 用 近 戰 武 器 
str_use_ranged_weapons|使 用 遠 程 武 器 
str_melee_weapons|近 戰 武 器 
str_ranged_weapons|遠 程 武 器 
str_formation|隊 形 
str_very_tight|非 常 密 集 
str_tight|密 集 
str_loose|鬆 散 
str_very_loose|非 常 鬆 散 
str_form_1_row|列 成 1排 
str_form_reg0_rows|列 成 {reg0}排 
str_confirm_quit_mission|你 真 的 要 退 出 當 前 的 任 務 （ 任 務 進 度 將 丟 失 ） ？ 
str_no_troop|空 缺 
str_morning|早 晨 
str_noon|中 午 
str_evening|傍 晚 
str_night|夜 晚 
str_timeofday|時 間 ： 
str_fog_none|無 
str_fog_light|弱 
str_fog_medium|中 
str_fog_thick|厚 
str_fog_amount|霧 量 ： 
str_rain_amount|雨 量 ： 
str_mm_stakes_construct|大 型 拒 馬 
str_mm_stakes2_construct|木 樁 
str_sandbags_construct|沙 袋 
str_chevaux_de_frise_tri_construct|小 型 拒 馬 
str_gabion_construct|土 筐 
str_fence_construct|柵 欄 
str_plank_construct|木 板 
str_earthwork1_construct|簡 易 土 壘 
str_explosives_construct|炸 藥 箱 
str_reg6_build_points|現 有 建 造 點 數 ： {reg6}
str_reg7_build_points_cost|需 要 ： {reg7}建 造 點 數 
str_repair_prop|修 復 
str_destructible_object|可 摧 毀 物 品 
str_build_prop|建 造 物 品 
str_dig_prop|挖 （ 按 X填 ） 
str_undig_prop|填 （ 按 X挖 ） 
str_construct_deconstruct|建 造 /拆 毀 
str_ignite|點 燃 ！ 
str_invalid_flag_selection|選 擇 一 個 你 的 隊 伍 控 制 的 旗 幟 。 
str_invalid_prop_select|沒 有 足 夠 的 建 造 點 數 ！ 
str_invalid_prop_place|你 不 能 將 該 物 品 架 置 在 這 裡 ！ 
str_sail_brit|海 王 星 號 水 手 
str_sail_fren|無 畏 號 水 手 
str_select_track|選 擇 曲 目 ： 
str_music_calls|命 令 ： 
str_bagpipe_extras|附 加 曲 目 （ 風 笛 獨 有 ） ： 
str_play_together|允 許 “ 一 起 演 奏 ” 
str_drum_britain_1|不 列 顛 擲 彈 兵 
str_drum_britain_2|我 留 在 身 后 的 女 孩 
str_drum_britain_3|利 利 布 勒 羅 
str_drum_britain_4|哈 勒 赫 勇 士 
str_drum_britain_5|統 治 吧 ！ 不 列 顛 尼 亞 ！ 
str_drum_france_1|在 戰 場 上 
str_drum_france_2|沖 鋒 
str_drum_france_3|利 戈 頓 起 牀 鼓 
str_drum_france_4|擲 彈 兵 
str_drum_france_5|放 慢 腳 步 
str_drum_prussia_1|約 克 軍 團 進 行 曲 
str_drum_prussia_3|霍 亨 弗 里 德 伯 格 進 行 曲 
str_drum_prussia_4|普 魯 士 洛 克 進 行 曲 
str_drum_prussia_5|軍 樂 隊 遊 行 進 行 曲 
str_drum_prussia_6|軍 禮 進 行 曲 
str_drum_russia_1|擲 彈 兵 進 行 曲 
str_drum_russia_2|伊 茲 邁 洛 夫 斯 基 近 衛 團 進 行 曲 
str_drum_russia_3|縱 隊 沖 鋒 進 行 曲 
str_drum_russia_4|普 列 奧 布 拉 仁 斯 基 近 衛 團 進 行 曲 
str_drum_russia_5|謝 苗 諾 夫 斯 基 近 衛 團 進 行 曲 
str_drum_austria_1|奧 地 利 擲 彈 兵 進 行 曲 
str_drum_austria_2|科 堡 進 行 曲 
str_drum_austria_3|帕 朋 海 默 進 行 曲 
str_drum_austria_4|巴 黎 入 城 進 行 曲 
str_drum_austria_5|歐 根 親 王 
str_drum_highland_1|所 有 的 藍 帽 都 已 越 過 邊 境 
str_drum_highland_2|美 麗 的 鄧 迪 
str_drum_signal_1|宿 營 ， 熄 燈 
str_drum_signal_2|停 火 
str_drum_signal_3|鼓 手 鳴 鼓 
str_fife_britain_1|不 列 顛 擲 彈 兵 
str_fife_britain_2|我 留 在 身 后 的 女 孩 
str_fife_britain_3|利 利 布 勒 羅 
str_fife_britain_4|哈 勒 赫 勇 士 
str_fife_britain_5|統 治 吧 ！ 不 列 顛 尼 亞 ！ 
str_fife_france_1|在 戰 場 上 
str_fife_france_2|沖 鋒 
str_fife_france_3|利 戈 頓 起 床 鼓 
str_fife_france_4|擲 彈 兵 
str_fife_france_5|放 慢 腳 步 
str_fife_prussia_1|約 克 軍 團 進 行 曲 
str_fife_prussia_2|霍 亨 弗 里 德 伯 格 進 行 曲 
str_fife_prussia_3|普 魯 士 洛 克 進 行 曲 
str_fife_prussia_4|軍 樂 隊 遊 行 進 行 曲 
str_fife_prussia_5|軍 禮 進 行 曲 
str_fife_russia_1|擲 彈 兵 進 行 曲 
str_fife_russia_2|伊 茲 邁 洛 夫 斯 基 近 衛 團 進 行 曲 
str_fife_russia_3|縱 隊 沖 鋒 進 行 曲 
str_fife_russia_4|普 列 奧 布 拉 仁 斯 基 近 衛 團 進 行 曲 
str_fife_russia_5|謝 苗 諾 夫 斯 基 近 衛 團 進 行 曲 
str_fife_austria_1|奧 地 利 擲 彈 兵 進 行 曲 
str_fife_austria_2|科 堡 進 行 曲 
str_fife_austria_3|帕 朋 海 默 進 行 曲 
str_fife_austria_4|巴 黎 入 城 進 行 曲 
str_fife_austria_5|歐 根 親 王 
str_bugle_britain_1|不 列 顛 的 靴 子 
