trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_russian_hussar|Sumskoy Gusarskiy Polk
trp_russian_hussar_pl|Hussar
trp_russian_hussar_nco|Sumskiy Hussar Regiment
trp_russian_hussar_nco_pl|Flaggenträger
trp_russian_hussar_officer|Sumskiy Hussar Regiment
trp_russian_hussar_officer_pl|Offizier
trp_russian_hussar_trumpet|Sumskiy Hussar Regiment
trp_russian_hussar_trumpet_pl|Trompetenspieler
trp_russian_uhlan|Litovskiy Ulanskiy Polk
trp_russian_uhlan_pl|Lanzenreiter
trp_russian_uhlan_nco|Lithuanian Uhlans
trp_russian_uhlan_nco_pl|Colour Bearer
trp_russian_uhlan_officer|Lithuanian Uhlans
trp_russian_uhlan_officer_pl|Officer
trp_russian_uhlan_trumpet|Lithuanian Uhlans
trp_russian_uhlan_trumpet_pl|Trumpeter
trp_russian_cossack|Donskoy Kazachiy Polk
trp_russian_cossack_pl|Lanzenreiter
trp_russian_cossack_nco|Don Cossacks
trp_russian_cossack_nco_pl|Flaggenträger
trp_russian_cossack_officer|Don Cossacks
trp_russian_cossack_officer_pl|Offizier
trp_russian_dragoon|Kievskiy Dragunskiy Polk
trp_russian_dragoon_pl|Dragoner
trp_russian_dragoon_nco|Kiev Dragoon Regiment
trp_russian_dragoon_nco_pl|Flaggenträger
trp_russian_dragoon_officer|Kiev Dragoon Regiment
trp_russian_dragoon_officer_pl|Offizier
trp_russian_dragoon_trumpet|Kiev Dragoon Regiment
trp_russian_dragoon_trumpet_pl|Trompetenspieler
trp_russian_horse_guard|Kavalergardskiy Polk
trp_russian_horse_guard_pl|Kürassiere
trp_russian_horse_guard_nco|Chevaliers-Gardes
trp_russian_horse_guard_nco_pl|Flaggenträger
trp_russian_horse_guard_officer|Chevaliers-Gardes
trp_russian_horse_guard_officer_pl|Offizier
trp_russian_horse_guard_trumpet|Chevaliers-Gardes
trp_russian_horse_guard_trumpet_pl|Trompetenspieler
trp_russian_arty|8-ya Batarejnaya Rota
trp_russian_arty_pl|Artillerie
trp_russian_arty_guard|Artillery Guard
trp_russian_arty_guard_pl|Artillery Guard
trp_russian_arty_nco|Artillerie
trp_russian_arty_nco_pl|Artillerie Zug
trp_russian_arty_officer|Artillerie
trp_russian_arty_officer_pl|Offizier
trp_russian_medic|Khirurg
trp_russian_medic_pl|Surgeon
trp_russian_sapper|Saper
trp_russian_sapper_pl|Pionier
trp_kutuzov|Feldmarshal Mikhail Kutuzov
trp_kutuzov_pl|General
trp_austrian_infantry|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_pl|Linieninfanterie
trp_austrian_infantry_nco|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_nco_pl|Flaggenträger
trp_austrian_infantry_officer|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_officer_pl|Offizier
trp_austrian_infantry_drum|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_drum_pl|Trommler
trp_austrian_infantry_flute|Infantrie Regiment Erzherzog Rudolf Nr. 14
trp_austrian_infantry_flute_pl|Flötenspieler
trp_austrian_infantry2|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_pl|Linieninfanterie
trp_austrian_infantry2_nco|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_nco_pl|Flaggenträger
trp_austrian_infantry2_officer|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_officer_pl|Offizier
trp_austrian_infantry2_drum|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_drum_pl|Trommler
trp_austrian_infantry2_flute|Infantrie Regiment Freiherr von Wacquant Nr. 62
trp_austrian_infantry2_flute_pl|Flötenspieler
trp_austrian_grenzer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_pl|Line/Leichte Infanterie
trp_austrian_grenzer_nco|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_nco_pl|Flaggenträger
trp_austrian_grenzer_officer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_officer_pl|Offizier
trp_austrian_grenzer_drum|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_drum_pl|Trommler
trp_austrian_grenzer_flute|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_flute_pl|Flötenspieler
trp_austrian_grenadier|Grenadier Battalion Purcell
trp_austrian_grenadier_pl|Garde zu Fuss
trp_austrian_grenadier_nco|Grenadier Battalion Purcell
trp_austrian_grenadier_nco_pl|Flaggenträger
trp_austrian_grenadier_officer|Grenadier Battalion Purcell
trp_austrian_grenadier_officer_pl|Offizier
trp_austrian_grenadier_drum|Grenadier Battalion Purcell
trp_austrian_grenadier_drum_pl|Trommler
trp_austrian_grenadier_flute|Grenadier Battalion Purcell
trp_austrian_grenadier_flute_pl|Flötenspieler
trp_austrian_infantry_rifle|Jaeger Battalion 2
trp_austrian_infantry_rifle_pl|Jäger
trp_austrian_infantry_rifle_nco|Jaeger Battalion 2
trp_austrian_infantry_rifle_nco_pl|Sergeant
trp_austrian_infantry_rifle_officer|Jaeger Battalion 2
trp_austrian_infantry_rifle_officer_pl|Offizier
trp_austrian_infantry_rifle_horn|Jaeger Battalion 2
trp_austrian_infantry_rifle_horn_pl|Hornist
trp_austrian_hussar|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_pl|Hussar
trp_austrian_hussar_nco|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_nco_pl|Flaggenträger
trp_austrian_hussar_officer|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_officer_pl|Offizier
trp_austrian_hussar_trumpet|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_trumpet_pl|Trompetenspieler
trp_austrian_uhlan|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_pl|Lanzenreiter
trp_austrian_uhlan_nco|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_nco_pl|Flaggenträger
trp_austrian_uhlan_officer|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_officer_pl|Offizier
trp_austrian_uhlan_trumpet|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_trumpet_pl|Trompetenspieler
trp_austrian_light_horse|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_pl|Leichtes Kavallerie
trp_austrian_light_horse_nco|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_nco_pl|Flaggenträger
trp_austrian_light_horse_officer|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_officer_pl|Offizier
trp_austrian_light_horse_trumpet|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_trumpet_pl|Trompetenspieler
trp_austrian_dragoon|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_pl|Dragoner
trp_austrian_dragoon_nco|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_nco_pl|Flaggenträger
trp_austrian_dragoon_officer|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_officer_pl|Offizier
trp_austrian_dragoon_trumpet|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_trumpet_pl|Trompetenspieler
trp_austrian_cuirassier|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_pl|Kürassiere
trp_austrian_cuirassier_nco|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_nco_pl|Flaggenträger
trp_austrian_cuirassier_officer|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_officer_pl|Offizier
trp_austrian_cuirassier_trumpet|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_trumpet_pl|Trompetenspieler
trp_austrian_arty|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_pl|Artillerie
trp_austrian_arty_guard|Artillery Guard
trp_austrian_arty_guard_pl|Artillery Guard
trp_austrian_arty_nco|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_nco_pl|Artillerie Zug
trp_austrian_arty_officer|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_officer_pl|Offizier
trp_austrian_medic|Sanitaeter
trp_austrian_medic_pl|Surgeon
trp_austrian_sapper|Pionier-Battalion Nr. 1
trp_austrian_sapper_pl|Pionier
trp_schwarzenberg|Karl Philipp, Furst zu Schwarzenberg
trp_schwarzenberg_pl|General
trp_rhine_infantry_bavaria|2. Infanterie-Regiment Kronprinz, Bayern 
trp_rhine_infantry_bavaria_pl|Linieninfanterie 
trp_rhine_infantry_bavaria_nco|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_nco_pl|Farbträger 
trp_rhine_infantry_bavaria_officer|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_officer_pl|Offizier 
trp_rhine_infantry_bavaria_drum|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_drum_pl|Drummer 
trp_rhine_infantry_bavaria_flute|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_flute_pl|Fifer 
trp_rhine_infantry_wurttemberg|Infanterie-Reg. Nr.2 Herzog Wilhelm, Württemberg 
trp_rhine_infantry_wurttemberg_pl|Linieninfanterie 
trp_rhine_infantry_wurttemberg_nco|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_nco_pl|Farbträger 
trp_rhine_infantry_wurttemberg_officer|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_officer_pl|Offizier 
trp_rhine_infantry_wurttemberg_drum|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_drum_pl|Schlagzeuger 
trp_rhine_infantry_wurttemberg_flute|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_flute_pl|Fifer 
trp_rhine_infantry_saxony|Infanterie-Regiment Prinz Friedrich August, Sachsen 
trp_rhine_infantry_saxony_pl|Linieninfanterie 
trp_rhine_infantry_saxony_nco|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_nco_pl|Farbträger 
trp_rhine_infantry_saxony_officer|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_officer_pl|Offizier 
trp_rhine_infantry_saxony_drum|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_drum_pl|Schlagzeuger 
trp_rhine_infantry_saxony_flute|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_flute_pl|Fifer 
trp_rhine_infantry_wurttemberg2|Infanterie-Reg. No.4 von Franquemont, Württemberg 
trp_rhine_infantry_wurttemberg2_pl|Linieninfanterie 
trp_rhine_infantry_wurttemberg2_nco|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_nco_pl|Farbträger 
trp_rhine_infantry_wurttemberg2_officer|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_officer_pl|Offizier 
trp_rhine_infantry_wurttemberg2_drum|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_drum_pl|Schlagzeuger 
trp_rhine_infantry_wurttemberg2_flute|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_flute_pl|Fifer 
trp_rhine_grenadier_guard|Grenadiere de la Garde, Westphalen 
trp_rhine_grenadier_guard_pl|Fußschutz 
trp_rhine_grenadier_guard_nco|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_nco_pl|Farbträger 
trp_rhine_grenadier_guard_officer|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_officer_pl|Offizier 
trp_rhine_grenadier_guard_drum|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_drum_pl|Schlagzeuger 
trp_rhine_grenadier_guard_flute|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_flute_pl|Fifer 
trp_rhine_light_infantry_hessen|Infanterie-Reg. Groß- und Erbprinz, Hessen-Darmstadt 
trp_rhine_light_infantry_hessen_pl|Leichte Infanterie 
trp_rhine_light_infantry_hessen_nco|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_nco_pl|Farbträger 
trp_rhine_light_infantry_hessen_officer|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_officer_pl|Offizier 
trp_rhine_light_infantry_hessen_horn|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_horn_pl|Hornist 
trp_rhine_light_infantry_bavaria|7. Leichtes Infanterie-Bataillon, Bayern 
trp_rhine_light_infantry_bavaria_pl|Leichte Infanterie / Kampfschütze 
trp_rhine_light_infantry_bavaria_nco|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_nco_pl|Sergeant 
trp_rhine_light_infantry_bavaria_officer|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_officer_pl|Offizier 
trp_rhine_light_infantry_bavaria_horn|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_horn_pl|Hornist 
trp_rhine_mounted_jaeger|Reitende Jaeger, Nassau 
trp_rhine_mounted_jaeger_pl|Hussar 
trp_rhine_mounted_jaeger_nco|Nassauer berittener Jäger 
trp_rhine_mounted_jaeger_nco_pl|Sergeant 
trp_rhine_mounted_jaeger_officer|Nassauer Berittener Jäger 
trp_rhine_mounted_jaeger_officer_pl|Offizier 
trp_rhine_mounted_jaeger_trumpet|Nassauer berittener Jäger 
trp_rhine_mounted_jaeger_trumpet_pl|Trompeter 
trp_rhine_uhlan|Ulanen Regiment Prinz Clemens, Sachsen 
trp_rhine_uhlan_pl|Lancer 
trp_rhine_uhlan_nco|Sächsischer Ulan 
trp_rhine_uhlan_nco_pl|Farbträger 
trp_rhine_uhlan_officer|Sächsischer Ulan 
trp_rhine_uhlan_officer_pl|Offizier 
trp_rhine_uhlan_trumpet|Sächsischer Ulan 
trp_rhine_uhlan_trumpet_pl|Trompeter 
trp_rhine_light_dragoon|Leichtes Dragoner-Regiment, Baden 
trp_rhine_light_dragoon_pl|Leichtes Pferd 
trp_rhine_light_dragoon_nco|Badner Leichter Dragoon 
trp_rhine_light_dragoon_nco_pl|Farbträger 
trp_rhine_light_dragoon_officer|Badner Leichter Dragoon trp_rhine_light_dragoon_officer_pl|Offizier 
trp_rhine_light_dragoon_trumpet|Badner Leichter Dragoon 
trp_rhine_light_dragoon_trumpet_pl|Trompeter 
trp_rhine_cuirassier|1er Regiment de Cuirassiers, Westphalen 
trp_rhine_cuirassier_pl|Kürassier 
trp_rhine_cuirassier_nco|Westfälischer Kürassier 
trp_rhine_cuirassier_nco_pl|Farbträger 
trp_rhine_cuirassier_officer|Westfälischer Kürassier 
trp_rhine_cuirassier_officer_pl|Offizier 
trp_rhine_cuirassier_trumpet|Westfälischer Kürassier 
trp_rhine_cuirassier_trumpet_pl|Trompeter 
trp_rhine_garde_du_corps|Garde du Corp, Sachsen 
trp_rhine_garde_du_corps_pl|Schwere Kavallerie 
trp_rhine_garde_du_corps_nco|Sächsischer Pferdewächter 
trp_rhine_garde_du_corps_nco_pl|Farbträger 
trp_rhine_garde_du_corps_officer|Saxon Horse Guard 
trp_rhine_garde_du_corps_officer_pl|Offizier 
trp_rhine_garde_du_corps_trumpet|Sächsische Pferdewache 
trp_rhine_garde_du_corps_trumpet_pl|Trompeter 
trp_rhine_arty|Artillerie-Regiment, Bayern 
trp_rhine_arty_pl|Artillerie 
trp_rhine_arty_guard|Artillerieschutz, Bayern 
trp_rhine_arty_guard_pl|Artillerieschutz 
trp_rhine_arty_nco|Bayerischer Artillerist 
trp_rhine_arty_nco_pl|Artilleriezug 
trp_rhine_arty_officer|Bayerischer Artillerist 
trp_rhine_arty_officer_pl|Offizier 
trp_rhine_medic|Medecin de 2e classe, Frankreich 
trp_rhine_medic_pl|Chirurg 
trp_rhine_sapper|Pioniere, Berg 
trp_rhine_sapper_pl|Ingenieur 
trp_friedrich_august|Friedrich August I., König von Sachsen 
trp_friedrich_august_pl|Kommandant 
trp_british_arty_commander|Königliche Fußartillerie
trp_british_arty_commander_pl|Offizier
trp_british_arty_alt_commander|Königliche Fußartillerie
trp_british_arty_alt_commander_pl|Offizier
trp_french_arty_commander|L'Artillerie
trp_french_arty_commander_pl|Offizier
trp_french_arty_alt_commander|L'Artillerie
trp_french_arty_alt_commander_pl|Offizier
trp_prussian_arty_commander|36. Regiment der Fußartillerie
trp_prussian_arty_commander_pl|Offizier
trp_prussian_arty_alt_commander|36. Regiment der Fußartillerie
trp_prussian_arty_alt_commander_pl|Offizier
trp_russian_arty_commander|Artillerie
trp_russian_arty_commander_pl|Offizier
trp_russian_arty_alt_commander|Artillerie
trp_russian_arty_alt_commander_pl|Offizier
trp_austrian_arty_commander|Prinz zu Lothringen 7 Artillerie
trp_austrian_arty_commander_pl|Vertreter
trp_austrian_arty_alt_commander|Prinz zu Lothringen 7 Artillerie
trp_austrian_arty_alt_commander_pl|Offizier
trp_rhine_arty_commander|Artillerie, Bayern. 
trp_rhine_arty_commander_pl|Offizier 
trp_rhine_arty_alt_commander|Artillerie, Bayern. 
trp_rhine_arty_alt_commander_pl|Offizier 
trp_quick_battle_troop_britain_1|Arthur Wellesley
trp_quick_battle_troop_britain_1_pl|General
trp_quick_battle_troop_france_1|Napoleon Bonaparte
trp_quick_battle_troop_france_1_pl|Emperor
trp_quick_battle_troop_prussia_1|Gebhard von Blucher
trp_quick_battle_troop_prussia_1_pl|General
trp_quick_battle_troop_russia_1|Mikhail Kutuzov
trp_quick_battle_troop_russia_1_pl|General
trp_quick_battle_troop_austria_1|Karl Philipp
trp_quick_battle_troop_austria_1_pl|General
trp_quick_battle_troop_rhine_1|Friedrich August
trp_quick_battle_troop_rhine_1_pl|General
trp_companion_1|Raphael Martin
trp_companion_1_pl|Raphael Martin
trp_companion_2|Clement Bernard
trp_companion_2_pl|Clement Bernard
trp_companion_3|Maxim Munnig Schmidt
trp_companion_3_pl|Maxime Petit
trp_companion_4|Alexandre Durand
trp_companion_4_pl|Alexandre Durand
trp_companion_5|Antoine Richard
trp_companion_5_pl|Antoine Richard
trp_companion_6|Alexis Moreau
trp_companion_6_pl|Alexis Moreau
trp_companion_7|Jules Dubois
trp_companion_7_pl|Jules Dubois
trp_companion_8|Matteo Robert
trp_companion_8_pl|Matteo Robert
trp_companion_9|Julien Laurent
trp_companion_9_pl|Julien Laurent
trp_companion_10|Samuel Simon
trp_companion_10_pl|Samuel Simon
trp_companion_11|Noe Michel
trp_companion_11_pl|Noe Michel
trp_companion_12|Corentin Leroy
trp_companion_12_pl|Corentin Leroy
trp_companion_13|Jeremy Garcia
trp_companion_13_pl|Jeremy Garcia
trp_companion_14|Charles Lefebvre
trp_companion_14_pl|Charles Lefebvre
trp_companion_15|Eliott Roux
trp_companion_15_pl|Eliott Roux
trp_companion_16|Theo David
trp_companion_16_pl|Theo David
trp_companion_17|Romain Bertrand
trp_companion_17_pl|Romain Bertrand
trp_companion_18|Quentin Fournier
trp_companion_18_pl|Quentin Fournier
trp_companion_19|Girard Baptiste
trp_companion_19_pl|Girard Baptiste
trp_companion_20|Valentin Bonnet
trp_companion_20_pl|Valentin Bonnet
trp_companion_21|Nico Kamps
trp_companion_21_pl|Nicolas Morel
trp_companion_22|Mael Rousseau
trp_companion_22_pl|Mael Rousseau
trp_companion_23|Pierre Lambert
trp_companion_23_pl|Pierre Lambert
trp_companion_24|Marius Blanc
trp_companion_24_pl|Marius Blanc
trp_companion_25|Remi Thomas
trp_companion_25_pl|Remi Thomas
trp_companion_26|Benjamin Aguillon
trp_companion_26_pl|Benjamin Aguillon
trp_companion_27|Maxence Beauregard
trp_companion_27_pl|Maxence Beauregard
trp_companion_28|Axel Lemieux
trp_companion_28_pl|Axel Lemieux
trp_companion_29|Jules Plantier
trp_companion_29_pl|Jules Plantier
trp_companion_30|Martin Roche
trp_companion_30_pl|Martin Roche
trp_companions_end|companions end
trp_companions_end_pl|companions end
trp_walker_french_infantry|Infantryman
trp_walker_french_infantry_pl|Infantry
trp_walker_french_voltigeur|Voltigeur
trp_walker_french_voltigeur_pl|Voltigeurs
trp_walker_french_hussar|Hussar
trp_walker_french_hussar_pl|Hussar
trp_walker_french_officer|Offizier
trp_walker_french_officer_pl|officers
trp_walker_messenger|Messenger
trp_walker_messenger_pl|Messenger
trp_walker_peasant_male|Peasant
trp_walker_peasant_male_pl|Peasants
trp_walker_peasant_female|Peasant
trp_walker_peasant_female_pl|Peasants
trp_walkers_end|walkers end
trp_walkers_end_pl|walkers end
trp_camp_armorer|Tailor
trp_camp_weaponsmith|Weapon Merchant
trp_camp_horse_merchant|Horse Merchant
trp_merchants_end|merchants end
trp_merchants_end_pl|merchants end
