str_no_string|Kein String
str_already_to_many_players_class_s21|Es gibt bereits zu viele Spieler als {s21}. Wähle eine andere Einheit.
str_already_to_many_players_rank_mus|Es gibt bereits zu viele Spieler als Musikanten. Wähle eine andere Einheit.
str_already_to_many_players_rank_srg|Es gibt bereits zu viele Spieler als {s21}. Wähle einen anderen Rang.
str_already_to_many_players_rank_off|Es gibt bereits zu viele Spieler als {s21}. Wähle einen anderen Rang
str_chk_class_limits|Erlaube Einheitsbeschränkungen
str_chk_class_limits_player_count|Min. Spieleranzahl um Einheitenbeschränkungen einschalten zu lassen:
str_limit_grenadier|Limit für Garde zu Fuss (%):
str_limit_skirmisher|Limit für Leichte Infantrie (%):
str_limit_rifle|Limit für Gewehre von Leichter Infantrie (%):
str_limit_cavalry|Limit für Kavallerie (%):
str_limit_lancer|Limit für Lanzenreiter (%):
str_limit_hussar|Limit für Hussaren (%):
str_limit_dragoon|Limit für Dragoner (%):
str_limit_cuirassier|Limit für Kürassiere (%):
str_limit_heavycav|Limit für Schwere Kavallerie (%):
str_limit_artillery|Limit für Artillerie (%):
str_limit_rocket|Limit für Racketenwerfer (%):
str_limit_sapper|Limit für Pioniere (%):
str_limit_musician|Limit für Musikanten in der Einheit (nr):
str_limit_sergeant|Limit für Serangs in der Einheit (nr):
str_limit_officer|Limit für Käptains in der Einheit (nr):
str_limit_general|Limit für Generäle (nr):
str_build_points_team_1|Baupunkte erstes Team:
str_build_points_team_2|Baupunkte zweites Team:
str_allow_multiple_firearms|Erlaube das Tragen von mehreren Schusswaffen
str_enable_bonuses|Erlaube Bonuspunkte
str_bonus_strength|Bonus Stärke (%):
str_bonus_range|Bonusreiwchweite in Meter:
str_num_bots_per_squad|Bots pro Squad:
str_scale_squad_size|Größe des Squads:
str_max_num_bots|Maximale Botanzahl:
str_chance_of_falling_off_horse|Chance auf Runterfallen, wenn Pferd getroffen (%):
str_damage_from_horse_dying|Schaden wenn Reiter fällt (%):
str_admin_start_map_s0_s1_s2_s5_s6|{s0} Changed the map to {s1} with gamemode {s2} and with the nations {s5} and {s6}.
str_admin_set_max_num_players_s0_reg1|{s0} Changed the maximum number of players to {reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1|{s0} Changed the number of bots for the {s1} to {reg1}.
str_admin_set_friendly_fire_s0_s9|{s0} Set allow ranged friendly fire to {s9}.
str_admin_set_melee_friendly_fire_s0_s9|{s0} Set allow melee friendly fire to {s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1|{s0} Set the friendly fire damage to self ratio to {reg1} %.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1|{s0} Set the friendly fire damage to friend ratio to {reg1} %.
str_admin_set_ghost_mode_s0_s1|{s0} Set ghost mode to {s1}.
str_admin_set_control_block_dir_s0_s1|{s0} Set control block direction to {s1}.
str_admin_set_combat_speed_s0_s1|{s0} Set the combat speed to {s1}.
str_admin_set_respawn_count_s0_s1|{s0} Set the defender spawn count to {s1}.
str_admin_set_add_to_servers_list_s0_s9|{s0} Set add server to servers list to {s9}.
str_admin_set_respawn_period_s0_reg1|{s0} Changed the respawn period to {reg1} seconds.
str_admin_set_game_max_minutes_s0_reg1|{s0} Changed the map timelimit to {reg1} minutes.
str_admin_set_round_max_seconds_s0_reg1|{s0} Changed the round timelimit to {reg1} seconds.
str_admin_set_player_respawn_as_bot_s0_s9|{s0} Set players respawn as bots to {s9}.
str_admin_set_game_max_points_s0_reg1|{s0} Changed the game max points to {reg1}.
str_admin_set_point_gained_from_flags_s0_reg1|{s0} Changed points gained from flags to {reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1|{s0} Changed points gained from capturing a flag to {reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1|{s0} Set the initial gold multiplier to {reg1} %.
str_admin_set_battle_earnings_multiplier_s0_reg1|{s0} Set the combat gold multiplier to {reg1} %.
str_admin_set_round_earnings_multiplier_s0_reg1|{s0} Set the round gold bonus multiplier to {reg1} %.
str_admin_set_server_name_s1_s0|{s1} Set the server name to {s0}
str_admin_set_game_password_s1_s0|{s1} Set the server password to {s0}
str_admin_set_welcome_message_s1|{s1} Changed the server welcome message.
str_admin_set_welcome_message_s1_s0|{s1} Set the server welcome message to {s0}.
str_admin_set_valid_vote_ratio_s0_reg1|{s0} Set the valid vote ratio to {reg1} %.
str_admin_set_auto_team_balance_limit_s0_s1|{s0} Set the auto team balance limit to {s1}.
str_admin_set_num_bots_voteable_s0_reg1|{s0} Changed maximum number of votable bots to {reg1}.
str_admin_set_factions_voteable_s0_s9|{s0} Set nations voteable to {s9}.
str_admin_set_maps_voteable_s0_s9|{s0} Set maps voteable to {s9}.
str_admin_set_kick_voteable_s0_s9|{s0} Set kick voteable to {s9}.
str_admin_set_ban_voteable_s0_s9|{s0} Set ban voteable to {s9}.
str_admin_set_allow_player_banners_s0_s9|{s0} Set allow individual banners to {s9}.
str_admin_set_force_default_armor_s0_s9|{s0} Set force minimum armor to {s9}.
str_admin_set_disallow_ranged_weapons_s0_s9|{s0} Set disallow ranged weapons to {s9}.
str_admin_set_mod_variable_auto_kick_s0_s9|{s0} Set auto-kick/ban for teamkills to {s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1|{s0} Set the ammount of teamkills before auto-kick/ban to {reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9|{s0} Set automatic killing of stray horses to {s9}.
str_admin_set_mod_variable_auto_swap_s0_s9|{s0} Set auto-swap teams at siege and battle to {s9}.
str_admin_set_use_class_limits_s0_s9|{s0} Set use class limits to {s9}.
str_admin_set_class_limit_player_count_s0_reg1|{s0} Set minimum players to enable class limits to {reg1} players.
str_admin_set_limit_grenadier_s0_reg1|{s0} Set the class limit for Grenadiers to {reg1} % of the team.
str_admin_set_limit_skirmisher_s0_reg1|{s0} Set the class limit for Light Infantry to {reg1} % of the team.
str_admin_set_limit_rifle_s0_reg1|{s0} Set the class limit for Riflemen to {reg1} % of the Light Infantry.
str_admin_set_limit_cavalry_s0_reg1|{s0} Set the class limit for Horsemen to {reg1} % of the team.
str_admin_set_limit_lancer_s0_reg1|{s0} Set the class limit for Lancers to {reg1} % of the Horsemen.
str_admin_set_limit_hussar_s0_reg1|{s0} Set the class limit for Hussars to {reg1} % of the Horsemen.
str_admin_set_limit_dragoon_s0_reg1|{s0} Set the class limit for Dragoons to {reg1} % of the Horsemen.
str_admin_set_limit_cuirassier_s0_reg1|{s0} Set the class limit for Cuirassiers to {reg1} % of the Horsemen.
str_admin_set_limit_heavycav_s0_reg1|{s0} Set the class limit for Non-Armoured Heavy Cavalry to {reg1} % of the Horsemen.
str_admin_set_limit_artillery_s0_reg1|{s0} Set the class limit for Artillery to {reg1} % of the team.
str_admin_set_limit_rocket_s0_reg1|{s0} Set the class limit for Rocketeers to {reg1} % of the team.
str_admin_set_limit_sapper_s0_reg1|{s0} Set the class limit for Sappers to {reg1} % of the team.
str_admin_set_limit_musician_s0_reg1|{s0} Set the limit for the Musician rank to {reg1} persons per Unit.
str_admin_set_limit_sergeant_s0_reg1|{s0} Set the limit for the Sergeant rank to {reg1} persons per Unit.
str_admin_set_limit_officer_s0_reg1|{s0} Set the limit for the Officer rank to {reg1} persons per Unit.
str_admin_set_limit_general_s0_reg1|{s0} Set the limit for Generals to {reg1} persons per nation.
str_admin_set_build_points_team_1_s0_reg1|{s0} Set the buildpoints for the first team to {reg1} points.
str_admin_set_build_points_team_2_s0_reg1|{s0} Set the buildpoints for the second team to {reg1} points.
str_admin_set_squad_size_s0_reg1|{s0} Set the squad size to {reg1} bots per squad.
str_admin_set_scale_squad_size_s0_s9|{s0} Set scale squad size to team ratio to {s9}.
str_admin_set_max_num_bots_s0_reg1|{s0} Setzte die maximale Botanzahl auf {reg1}.
str_admin_set_allow_multiple_firearms_s0_s9|{s0} Set allow carrying of multiple firearms to {s9}.
str_admin_set_enable_bonuses_s0_s9|{s0} Set use bonuses to {s9}.
str_admin_set_bonus_strength_s0_reg1|{s0} Set the strength of bonuses to {reg1}%.
str_admin_set_bonus_range_s0_reg1|{s0} Set the range of bonuses to {reg1} meters.
str_admin_set_fall_off_horse_s0_reg1|{s0} Set the chance to fall off the horse when hit to {reg1}%.
str_admin_set_horse_dying_s0_reg1|{s0} Set the damaged dealt to rider when horse dies to {reg1}%.
str_mute_all|Stelle alle Spieler stumm
str_unmute_all|Lasse alle Spieler sprechen
str_slay_player|Töte Spieler
str_slay_player_s2_s3|{s2} Tötete Spieler {s3}.
str_slay_all|Töte alle
str_slay_all_s2|{s2} Tötete alle.
str_freeze_player|Erstarre Spieler
str_freeze_player_s2_s3|{s2} frierte Spieler {s3} ein.
str_freeze_all|Lasse alle Spieler erstarren
str_freeze_all_s2|{s2} lässt alle Spieler erstarren
str_swap_player|Spieler bewegen
str_swap_player_s2_s3|{s2} bewegte Spieler {s3} in das andere Team.
str_swap_all|Bewege alle
str_swap_all_s2|{s2} bewegte alle in das andere Team.
str_forceautobalance_all|Erzwinge Ausbalancierung
str_forceautobalance_all_s2|{s2} Erzwang Ausbalancierung
str_spec_player|Bewege Spieler in die Zuschauerliste
str_spec_player_s2_s3|{s2} Bewegte Spieler {s3} in die Zuschauerliste.
str_spec_all|Bewege alle
str_spec_all_s2|{s2} Bewegte alle in die Zuschauerliste
str_kick_player_s2_s3|{s2} warf Spieler {s3} vom Server.
str_ban_player_s2_s3|{s2} verbannte Spieler {s3} vom Server.
str_ban_player_temp|Verbanne Spieler für 30 Minuten
str_ban_player_temp_s2_s3|{s2} verbannte Spieler {s3}.
str_ban_hammer_s2_s3|St. {s2} knallte den Bannhammer genau in {s3}'s Gesicht, gute Reise!
str_admin_cheats|Cheats
str_choose_a_cheat_type|Wähle einen Cheat:
str_cheat_spawn_hammer|Erschaffe Bannhammer
str_cheat_spawn_hammer_s2|{s2} erschuf einen Bannhammer
str_cheat_spawn_hammer_2_s2|Und St. {s2} hob den Bannhammer hoch und sagte: 'O Herr, Segne diesen Heiligen Bannhammer, dass mit seiner hilfe meine Feinde in kleine Stücke brechen mögen.' Und der Herr grinste.
str_cheat_spawn_shotgun|Erschaffe Schrotflinte
str_cheat_spawn_shotgun_s2|{s2} erschuf Schrotflinte
str_cheat_spawn_rocketlauncher|Erschaffe Raktenwerfer
str_cheat_spawn_rocketlauncher_s2|{s2} erschuf Raketenwerfer
str_cheat_spawn_grenade|Erschaffe Heilige Handgranate
str_cheat_spawn_grenade_s2|{s2} erschuf Heilige Handgranate
str_cheat_spawn_grenade_2_s2|Und St. {s2} hob die Granate hoch und sagte: 'O Herr, Segne diese Heilige Granate, dass ich mit ihrer hilfe meine Feinde in kleine Stücke zu sprengen vermag.' Und der Herr grinste.
str_cheat_spawn_horse|Erschaffe Adminpferd
str_cheat_spawn_horse_s2|{s2} erschuf Adminpferd
str_cheat_beacon_player|Zeiger Spieler
str_cheat_beacon_player_s2_s3|{s2} Setze Zeiger nach Spieler {s3}.
str_cheat_heal_player|Heile Spieler
str_cheat_heal_player_s2_s3|{s2} heilte Spieler {s3}.
str_cheat_heal_all|Heile alle
str_cheat_heal_all_s2|{s2} heilte alle.
str_cheat_ammo_player|Lade Munition nach
str_cheat_ammo_player_s2_s3|{s2} lud {s3}'s Munition nach.
str_cheat_ammo_all|Lade aller Munition nach
str_cheat_ammo_all_s2|{s2} Lud alle Munition.
str_cheat_tele_to_player|Teleportiere zu Spieler
str_cheat_tele_to_player_s2_s3|{s2} Teleportierte zu Spieler {s3}.
str_cheat_tele_bring_player|Bringe Spieler
str_cheat_tele_bring_player_s2_s3|{s2} Teleportierte Spieler {s3} zu sich selbst.
str_cheat_tele_wall|Teleportiere durch Objekte
str_cheat_tele_wall_s2|{s2} Teleportierte.
str_admin_chat|Admin Chat
str_admin_chat_intern|Internen Admin Chat
str_admin_chat_s1_s0|*Admin*[{s1}]: {s0}
str_inter_admin_chat_s1_s0|[{s1}]: {s0}
str_chk_auto_kick|Erlaube auto-kick/ban
str_num_max_teamkills_before_kick|Erlaubte Teamkills bevor Rauswurf
str_chk_auto_horse|Elraube das töten von wilden Pferden
str_chk_auto_swap|Erlaube automatischen Teamwechesel im Spielmodus Siege und Battle
str_reset_map|Resette Karte
str_reset_map_s2|{s2} Resettete die Karte.
str_console_command|Admin Console
str_player_kicked_cheating_s2|{s2} Wurde aufgrund von "Cheating" automatisch vom Server geworfen.
str_next_page|Naechste Seite
str_auto_assign|Auto-Auswahl
str_begin|Beginn
str_game_rules|Spiel Regeln:^
str_britain_name|England
str_france_name|Frankreich
str_prussia_name|Preußen
str_russia_name|Russland
str_austria_name|Österreich
str_rhine_name|Rheinbund
str_infantry|Infanterie
str_cavalry|Kavallerie
str_specialists|Spezialisten
str_ranker|Einfacher Soldat
str_equipment|Ausrüstung:
str_random|Zufällig
str_howitzer|Haubitze
str_cannon|Kanone
str_all_fire_now|Alle, Feuer!
str_left_fire_now|Linke Flanke, Feuer!
str_middle_fire_now|Mitte, Feuer!
str_right_fire_now|Rechte Flanke, Feuer!
str_fire_at_my_command|Feuer auf meinen Befehl!
str_use_melee_weapons|Nutze Nahkampfwaffen!
str_use_ranged_weapons|Nutze Fernkampfwaffen!
str_melee_weapons|Nahkampfwaffen
str_ranged_weapons|Feuerwaffen
str_formation|Formation
str_very_tight|Sehr eng
str_tight|Eng
str_loose|Locker
str_very_loose|Sehr Locker
str_form_1_row|Forme eine Reihe
str_form_reg0_rows|Forme {reg0} Reihen
str_confirm_quit_mission|Do you really want to quit the current mission (mission progress will be lost)?
str_no_troop|Frei
str_morning|Morgen
str_noon|Nachmittag
str_evening|Abend
str_night|Nacht
str_timeofday|Uhrzeit:
str_fog_none|Nichts
str_fog_light|Leicht
str_fog_medium|Mittel
str_fog_thick|Dicht
str_fog_amount|Nebel:
str_rain_amount|Regen:
str_mm_stakes_construct|Große Chevaux de Frise
str_mm_stakes2_construct|Holzpfähle
str_sandbags_construct|Sandsäcke
str_chevaux_de_frise_tri_construct|Kleine Chevaux de Frise
str_gabion_construct|Gabion
str_fence_construct|Zaun
str_plank_construct|Planke
str_earthwork1_construct|Einfacher Erdwall
str_explosives_construct|Explosive Kiste
str_reg6_build_points|Derzeitige Baupunkte: {reg6}
str_reg7_build_points_cost|Kosten: {reg7} Baupunkte
str_repair_prop|Reparieren
str_destructible_object|Zerstörbares Objekt
str_build_prop|Baue Objekt
str_dig_prop|Ausheben
str_undig_prop|Schützengraben
str_construct_deconstruct|Bauen/Zerstören
str_ignite|Anzünden!
str_invalid_flag_selection|Wähle eine von deinen Team kontrollierte Flagge!
str_invalid_prop_select|Nicht genug Baupunkte
str_invalid_prop_place|Du kannst dies nicht hier Platzieren!
str_sail_brit|Seemann, HMS Neptune
str_sail_fren|Seemann, Intrepide
str_select_track|Selektiere das Stück:
str_music_calls|Befehle:
str_bagpipe_extras|Zusätzliche Stücke (Nur Dudelsack):
str_play_together|Erlaube 'Gemeinsames Spiel'
str_drum_britain_1|Britishe Grenadiere
str_drum_britain_2|The Girl I Left Behind Me
str_drum_britain_3|Lilliburlero
str_drum_britain_4|Men of Harlech
str_drum_britain_5|Rule Britannia
str_drum_france_1|Aux Champs
str_drum_france_2|La Charge
str_drum_france_3|La Diane ou Rigodon
str_drum_france_4|La Grenadiere
str_drum_france_5|Le Pas Cadence
str_drum_prussia_1|York'scher Marsch
str_drum_prussia_3|Hohenfriedberger Marsch
str_drum_prussia_4|Preussischer Lockmarsch
str_drum_prussia_5|Parademarsch der Spielleute
str_drum_prussia_6|Praesentiermarsch
str_drum_russia_1|Pohod Grenaderskij
str_drum_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_drum_russia_3|Marsh Kolonni Idushej v Ataku
str_drum_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_drum_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_drum_austria_1|Oestereeichischer Grenadiermarsch
str_drum_austria_2|Coburger Marsch
str_drum_austria_3|Pappenheimer Marsch
str_drum_austria_4|Pariser Einzugsmarsch
str_drum_austria_5|Prinz von Eugen
str_drum_highland_1|All the Blue Bonnets Are O'er the Border
str_drum_highland_2|Bonnie Dundee
str_drum_signal_1|Camp, Taps
str_drum_signal_2|Cease fire
str_drum_signal_3|Drummer Call
str_fife_britain_1|British Grenadiers
str_fife_britain_2|The Girl I Left Behind Me
str_fife_britain_3|Lilliburlero March
str_fife_britain_4|Men of Harlech
str_fife_britain_5|Rule Britannia
str_fife_france_1|Aux Champs
str_fife_france_2|La Charge
str_fife_france_3|La Diane ou Rigodon
str_fife_france_4|La Grenadiere
str_fife_france_5|Le Pas Cadence
str_fife_prussia_1|York'scher Marsch
str_fife_prussia_2|Hohenfriedberger Marsch
str_fife_prussia_3|Preussischer Lockmarsch
str_fife_prussia_4|Parademarsch der Spielleute
str_fife_prussia_5|Praesentiermarsch
str_fife_russia_1|Pohod Grenaderskij
str_fife_russia_2|Pohod Leib Gvardii Izmailovskogo Polka
str_fife_russia_3|Marsh Kolonni Idushej v Ataku
str_fife_russia_4|Pohod Leib Gvardii Preobrazhenskogo Polka
str_fife_russia_5|Pohod Leib Gvardii Semenovskogo Polka
str_fife_austria_1|Oestereeichischer Grenadiermarsch
str_fife_austria_2|Coburger Marsch
str_fife_austria_3|Pappenheimer Marsch
str_fife_austria_4|Pariser Einzugsmarsch
str_fife_austria_5|Prinz von Eugen
str_bugle_britain_1|British Boots
str_bugle_britain_2|British Light Infantry
str_bugle_france_1|Dans le Hussards
str_bugle_france_2|La Marche
str_bugle_prussia_1|Althessischer Reitermarsch
str_bugle_prussia_2|Fehrbelliner Reitermarsch
str_bugle_prussia_3|Marsch der Freiwilligen Jaeger
str_bugle_russia_1|Pohod Mushketerskij
str_bugle_russia_2|Pohod Artillerijskij i dlia Saperov
str_bugle_russia_3|Pohod Egerskij
str_bugle_austria_1|Strauch Marsch
str_bugle_austria_2|Frohes Leben Marsch
str_bugle_signal_1|Assemble the Men
str_bugle_signal_2|Extend Lines
str_bugle_signal_3|Close Ranks
str_bugle_signal_4|On Enemy
str_bugle_signal_5|Open Fire
str_bagpipes_britain_1|All the Blue Bonnets Are O'er the Border
str_bagpipes_britain_2|Bonnie Dundee
str_bagpipes_extra_1|Black Bear
str_bagpipes_extra_2|Amazing Grace
str_bagpipes_extra_3|Balmoral
str_bagpipes_extra_4|Bonnie Dundee
str_bagpipes_extra_5|Cock o' the North
str_bagpipes_extra_6|Highland Cathedral
str_bagpipes_extra_7|My Home
str_bagpipes_extra_8|Scotland the Brave
str_bagpipes_extra_9|Skye Boat Song
str_piano_tune_1|Beethoven - Fur Elise
str_piano_tune_2|Beethoven - Ecossaise
str_piano_tune_3|Erik Satie - Gymnopedie 3
str_piano_tune_4|Beethoven - Laendler
str_piano_tune_5|Lift Motif
str_piano_tune_6|Bach - Prelude
str_piano_tune_7|Wagner - Bridal Chorus
str_piano_tune_8|Schubert - Ave Maria
str_organ_tune_1|Bach - Toccata and Fugue
str_organ_tune_2|Bach - Toccata and Fugue 2
str_organ_tune_3|Bach - Prelude and Fugue
str_organ_tune_4|Buxtehude - Prelude
str_organ_tune_5|Tiny Fugue
str_organ_tune_6|Wagner - Bridal Chorus
str_organ_tune_7|Bach - Chromatic Fuge
str_organ_tune_8|Bach - Chromatic Fantasia
str_flag_reg3|Flag {reg3}
str_mp_arabian_harbour_flag_1|Small Inn
str_mp_arabian_harbour_flag_2|Backyard
str_mp_arabian_harbour_flag_3|Port
str_mp_arabian_harbour_flag_4|Lighthouse
str_mp_arabian_harbour_flag_5|Marketplace
str_mp_arabian_village_flag_1|Wine Maker's Village
str_mp_arabian_village_flag_2|Farmer's Village
str_mp_arabian_village_flag_3|Fortified Town
str_mp_ardennes_flag_1|Ferme du Fresnois
str_mp_ardennes_flag_2|Ferme de la Grange Dimiere
str_mp_ardennes_flag_3|Watchtower
str_mp_ardennes_flag_4|Fisherman's Hut
str_mp_ardennes_flag_5|Ferme de Bray
str_mp_ardennes_flag_6|Dead Forest
str_mp_ardennes_flag_7|Rocks
str_mp_avignon_flag_1|Camp
str_mp_avignon_flag_2|Town
str_mp_avignon_flag_3|Mill
str_mp_avignon_flag_4|Village
str_mp_borodino_flag_1|Town
str_mp_borodino_flag_2|Village
str_mp_borodino_flag_3|Redoubt
str_mp_borodino_flag_4|Mill
str_mp_borodino_flag_5|Shevradino
str_mp_borodino_flag_6|Great Redoubt
str_mp_borodino_flag_7|Small Redoubt
str_mp_columbia_hill_farm_flag_1|Forest
str_mp_columbia_hill_farm_flag_2|Barn
str_mp_columbia_hill_farm_flag_3|Farmhouse
str_mp_columbia_hill_farm_flag_4|Vineyard
str_mp_european_city_flag_1|Church
str_mp_european_city_flag_2|Square
str_mp_european_city_flag_3|Vince's Corner
str_mp_european_city_flag_4|Street
str_mp_french_farm_flag_1|Forest
str_mp_french_farm_flag_2|Redoubt
str_mp_french_farm_flag_3|Farm
str_mp_hungarian_plains_flag_1|The Weavery
str_mp_hungarian_plains_flag_2|The Town
str_mp_hungarian_plains_flag_3|The Windmill
str_mp_hungarian_plains_flag_4|The Abandoned House
str_mp_hungarian_plains_flag_5|The Shack
str_mp_hungarian_plains_flag_6|The Estate
str_mp_landshut_flag_1|Landshut
str_mp_landshut_flag_2|The Road to Abensberg
str_mp_landshut_flag_3|Landshut Outskirts
str_mp_landshut_flag_4|The Bridge
str_mp_landshut_flag_5|The Blockhouse
str_mp_landshut_flag_6|The Farm
str_mp_landshut_flag_7|The Crossing
str_mp_russian_village_flag_1|Logger's Village
str_mp_russian_village_flag_2|Hunter's Village
str_mp_russian_village_flag_3|russian village
str_mp_minden_flag_1|Basecamp
str_mp_minden_flag_2|Minden
str_mp_minden_flag_3|Hahlen
str_mp_minden_flag_4|Netsband Farm
str_mp_minden_flag_5|Stemmer
str_mp_minden_flag_6|Todtenhausen Inn
str_mp_minden_flag_7|Malbergen Chapel
str_mp_minden_flag_8|Neuland
str_mp_minden_flag_9|Finter Reie
str_mp_oaksfield_flag_1|Headquaters  1
str_mp_oaksfield_flag_2|Headquaters  2
str_mp_oaksfield_flag_3|Wheat Farm
str_mp_oaksfield_flag_4|Market
str_mp_oaksfield_flag_5|Oakstown
str_mp_quatre_bras_flag_1|Pireaumont
str_mp_quatre_bras_flag_2|Quatre Bras
str_mp_quatre_bras_flag_3|Bossu Woods
str_mp_quatre_bras_flag_4|Petit Pireaumont
str_mp_quatre_bras_flag_5|Gemioncourt
str_mp_river_crossing_flag_1|Redoubt 1
str_mp_river_crossing_flag_2|Redoubt 2
str_mp_river_crossing_flag_3|Town of Martinitz
str_mp_roxburgh_flag_1|Fisherman's Market
str_mp_roxburgh_flag_2|Riverside Village
str_mp_roxburgh_flag_3|Lakeside Villa
str_mp_roxburgh_flag_4|Makers Village
str_mp_roxburgh_flag_5|Middleton’s Town
str_mp_roxburgh_flag_6|Shrine
str_mp_roxburgh_flag_7|Lumberjack's Lodge
str_mp_schemmerbach_flag_1|Schmmerbach Farm
str_mp_schemmerbach_flag_2|Schemmerbach Bridge
str_mp_schemmerbach_flag_3|River Crossing
str_mp_schemmerbach_flag_4|Hemp Field
str_mp_slovenian_village_flag_1|Road to slovenian village
str_mp_slovenian_village_flag_2|Harbour
str_mp_slovenian_village_flag_3|slovenian village
str_mp_slovenian_village_flag_4|Forest
str_mp_slovenian_village_flag_5|River
str_mp_champs_elysees_flag_1|West Avenue
str_mp_champs_elysees_flag_2|East Avenue
str_mp_champs_elysees_flag_3|South-West Quarter
str_mp_champs_elysees_flag_4|South-East Quarter
str_mp_champs_elysees_flag_5|North-East Quarter
str_mp_champs_elysees_flag_6|North-West Quarter
str_mp_champs_elysees_flag_7|Arc de Triomphe
str_mp_fort_vincey_flag_1|Fort Whittington
str_mp_fort_vincey_flag_2|The Small Redoubt
str_mp_fort_vincey_flag_3|The Advanced Redoubt
str_mp_fort_vincey_flag_4|The Trench
str_mp_fort_vincey_flag_5|The Great Redoubt
str_mp_swamp_flag_1|The Camp
str_mp_swamp_flag_2|Siegburg
str_mp_swamp_flag_3|The Bridge
str_mp_swamp_flag_4|Swamp Island
str_mp_swamp_flag_5|Main Road
str_mp_swamp_flag_6|Graveyard
str_mp_swamp_flag_7|Fisherman's House
str_mp_walloon_farm_flag_1|East Camp
str_mp_walloon_farm_flag_2|West Camp
str_mp_walloon_farm_flag_3|East Hill
str_mp_walloon_farm_flag_4|Farm
str_mp_walloon_farm_flag_5|West Hill
str_mp_walloon_farm_flag_6|Redoubt
str_scene_making_welcome_message|Welcome to the scene editing gamemode.^Here you can create new scenes or edit existing ones.^^Prop settings:^^# Weather props:^spr mm weather time      # var1 = time of day 0-23; Default = 15 (hours)^spr mm weather rain      # var1 = rain type; 1 = rain 2 = snow, var2 = rain amount 0-25^spr mm weather clouds    # var1 = cloud amount 0-100; Default = 30^spr mm weather fog       # var1 = fog distance in meters x 10 where fog completely blocks visibility. 1-127^spr mm weather thunder   # var1 = thunder type: 0 = none 1 = thunder only 2 = thunder & lighting,^                         # var2 = thunder frequency 0-100 ; the higher value the more thunder.^^# Door props:^All openable doors       # var1 = Team ownership; 1 = Team1 can open, 2 = Team2 can open; else all can open.^^# Cannon setting props:^spr mm spawn with cannon # If added to the map artillery sargeants spawn with the cannon.^
str_tutorial_info_1|Gottverdammt! Das ist Kaffe! Ich sagte TEEEEEEEE!!!... Ich sage! Du da! Willkomen im Tutorial von Mount&Blade: Napoleonic Wars, mein guter Mann!^ Nun, um das Training zu beginnen, nutze die 'WASD' Tasten auf die Position durch den Pfeil angedeutet Zeiger gehen. Sie können mit der Maus umsehen, umso besser, um die Stelle mit Französisch! Eh? Bleeehaha!
str_tutorial_info_2|Sehen Sie das herrliche Stück britischer Ingenieur vor Ihnen? Schauen Sie sich die Muskete, und drücken Sie 'F', um ihn abzuholen!
str_tutorial_info_3|Wonderful! Sie sind bewaffnet, Sir! Nun wollen wir tun, einige Schäden an diesen Zielen vor Ihnen. ^ Halten Sie die linke Maustaste, um Ihre Muskete zielen und mit der Maus die Richtung Ihrer Zielsetzung zu ändern. Beachten Sie, dass Musketen etwas unberechenbar, oder mehr auf den Punkt, schrecklich ungenau sind. Bleahaha! ^ Sobald Sie zufrieden mit Ihrem Ziel sind, können Sie fortfahren, sich von der linken Maustaste, um zu feuern!
str_tutorial_info_4|Bad luck! Es scheint, Sie haben das Ziel verfehlt. Zeit, um Ihre Waffe zu laden und es erneut versuchen ^ zu laden, klicken Sie die linke Maustaste gedrückt und warten Sie für Ihren Charakter zu beenden Nachladen -. Es dauert ein paar Sekunden ist so geduldig. Denken Sie jedoch daran, Sie können sich nicht bewegen beim Nachladen. ^ Sobald du neu geladen haben, eine weitere Aufnahme locht den Zielen. Keine Sorge, wenn Sie vergessen haben, können Sie sich immer neu zu laden und erneut versuchen.
str_tutorial_info_5|Well done sir! Now, if you wish, you may keep practicing;^ otherwise, if you feel you have gotten the hang of firing, you may move on to the next area on the left, where the arrow is pointing.
str_tutorial_info_6|Well done sir! If you wish, sir, you may reload your weapon and fire again.^ To reload, click the left mouse button and wait for your character to finish reloading - it will take a couple of seconds so be patient. Remember though, you cannot move while reloading.^Once you feel that you have gotten the hang of it, you may move on to the next area on the left, where the arrow is pointing.
str_tutorial_info_7|There are times in battle when it is preferable to get up close and personal with old Frenchie, and that is why your musket is equipped with a bayonet.^However, your musket is currently in 'firing mode'; to use the bayonet you need to change to 'melee mode'. The button to toggle between the modes is 'X'. Press it now.
str_tutorial_info_8|Excellent. You are now in melee mode and ready to charge those dummies with your bayonet.^BUT! Before you do that, there is another important matter you should know about.^You do not have to stand up all the time, you can also crouch. Press 'Z' to do so.
